SMILES,ChEMBL,target,metric
Cc1cc(c(C)cc1Cl)S(=O)(=O)Nc2cccc(O)c2,CHEMBL3314624,6.0,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4ccc5ccn(c5c4)S(=O)(=O)c6ccccc6,CHEMBL2041380,6.0,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4cccc(NS(=O)(=O)c5cccc(O)c5)c4,CHEMBL2041373,6.0,pIC50
Oc1cccc(c1)c2ccc(s2)c3ccc(O)c(CCC(=O)Nc4ccccc4)c3,CHEMBL572165,6.01,pIC50
CN1[C@@H]([C@@H](O)c2ccc3OCOc3c2)[C@H](CC1=O)c4ccccc4,CHEMBL188242,6.02,pIC50
CN1[C@@H]([C@H](O)c2ccc(s2)C(=O)c3ccccc3)[C@H](CC1=O)c4ccccc4,CHEMBL213769,6.02,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4ccc(cc4)N5CCOCC5,CHEMBL1650657,6.02,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4cccc(O)c4,CHEMBL1650652,6.02,pIC50
CN(Cc1cccc(O)c1)S(=O)(=O)c2ccc(cc2)c3cccc(O)c3,CHEMBL2436738,6.03,pIC50
Oc1cccc(c1)c2ccc(s2)c3ccc(O)c(F)c3,CHEMBL577338,6.03,pIC50
CN(C(=O)c1ccc(s1)c2cccc(C)c2)c3ccc(C)cc3,CHEMBL3342513,6.05,pIC50
CO[C@H]([C@H]1[C@H](CC(=O)N1C)c2ccccc2)c3cccc(Cl)c3,CHEMBL189469,6.05,pIC50
COc1ccc(cc1)[C@H]2CC(=O)N(C)[C@H]2[C@@H](O)c3ccc(s3)c4ccccc4,CHEMBL365651,6.05,pIC50
CN1[C@@H]([C@@H](O)c2cccc(c2)C(F)(F)F)[C@H](CC1=O)c3ccccc3,CHEMBL188202,6.06,pIC50
COc1ccc(cc1)[C@H]2CC(=O)N(C)[C@H]2[C@H](O)c3ccc(s3)c4ccccc4,CHEMBL214463,6.06,pIC50
Cc1cc(ccc1O)c2csc(c2)c3cccc(O)c3,CHEMBL569862,6.06,pIC50
Oc1cccc(c1)c2ccc(cc2)c3ccc(O)c(F)c3,CHEMBL570117,6.06,pIC50
Cc1cc(sc1c2cccc(O)c2)c3cccc(O)c3,CHEMBL572171,6.07,pIC50
CC(C)COc1cccc(c1)c2ccc(s2)C(=O)c3cccc(O)c3,CHEMBL3298954,6.08,pIC50
CN(Cc1cccc(O)c1)C(=O)c2csc(c2)c3cccc(O)c3,CHEMBL3289861,6.08,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4cccc(NS(=O)(=O)c5ccc(F)cc5)c4,CHEMBL2041372,6.08,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4cccc(NS(=O)(=O)c5ccc(cc5)C#N)c4,CHEMBL2041369,6.08,pIC50
COc1cccc(c1)[C@H](O)[C@H]2[C@H](CC(=O)N2C)c3ccccc3,CHEMBL188446,6.09,pIC50
CN(Cc1cccc(O)c1)C(=O)c2ccc(s2)c3ccc(cc3)C#N,CHEMBL1915957,6.1,pIC50
CN1[C@@H]([C@@H](O)C#Cc2ccc(C)cc2)[C@H](CC1=O)c3ccccc3,CHEMBL361091,6.1,pIC50
COc1cc(ccc1O)c2ccc(s2)C(=O)c3cccc(O)c3,CHEMBL1277803,6.1,pIC50
CCc1cc(ccc1O)c2ccc(s2)C(=O)c3cccc(O)c3,CHEMBL1277884,6.11,pIC50
CN(C(=O)c1ccc(s1)c2ccc(C)cc2)c3ccc(C)cc3,CHEMBL3342514,6.11,pIC50
CN1[C@@H]([C@H](O)c2ccc(s2)c3ccccc3)[C@H](CC1=O)c4ccc(F)cc4,CHEMBL384713,6.12,pIC50
Cc1cc(ccc1O)c2cccc(n2)C(=O)c3ccc(F)c(O)c3,CHEMBL1928172,6.12,pIC50
Oc1cccc(c1)C(=O)c2ccc(s2)c3ccc(NS(=O)(=O)c4cccc(c4)C#N)cc3,CHEMBL3629437,6.12,pIC50
Oc1cccc(c1)C(=O)c2cccc(n2)c3ccc(O)c(Cl)c3,CHEMBL1928171,6.12,pIC50
CN(Cc1cccc(O)c1)C(=O)c2cc(cs2)c3cccc(O)c3,CHEMBL3289865,6.13,pIC50
Oc1cccc(c1)c2ccc(s2)c3cccc(O)c3,CHEMBL511530,6.13,pIC50
Oc1cccc(c1)c2ccc3c(c(O)ccc3c2)c4cccc(NS(=O)(=O)c5ccccc5F)c4,CHEMBL2041370,6.13,pIC50
COc1cccc(c1)c2ccc(s2)C(=O)N(C)c3cccc(c3)C(F)(F)F,CHEMBL2324373,6.14,pIC50
Cc1cc(ccc1O)c2cc(cs2)C(=O)c3cccc(O)c3,CHEMBL1277523,6.14,pIC50
CN(C(=O)c1ccc(s1)c2ccccc2C)c3cccc(C)c3,CHEMBL3342509,6.15,pIC50
Oc1cccc(c1)C(=O)c2ccc(s2)c3ccc(NS(=O)(=O)c4ccc(Br)cc4OC(F)(F)F)cc3,CHEMBL3627738,6.15,pIC50
CC(=O)Nc1cccc(c1)c2ccc3c(O)cccc3c2,CHEMBL1644047,6.16,pIC50
