SMILES,ChEMBL,target,metric
CN1CCCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1,pecazine,7.01000023,pAC50
CC(CN1c2ccccc2Sc3ccccc13)N(C)C,promethazine,6.44000006,pAC50
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,olanzapine,6.42999983,pAC50
[O-][N+]1=C(S)C=CC=C1,pyrithione,6.36000013,pAC50
COc1cc(\C=N/Nc2nc3ccccc3[nH]2)cc(OC)c1OC,CHEMBL3193000,6.0,pAC50
Cc1ccc(NC2CCCN(C2)C(=O)c3cn4cc(Cl)ccc4n3)cc1C,CHEMBL1320828,6.0,pAC50
COc1cccc(c1)c2noc(Cn3nc(C)c(c3C)[N+](=O)[O-])n2,CHEMBL1562643,6.01,pAC50
COc1ccc(CSC2=NC(=CC(=O)N2CC(C)C)O)cc1F,CHEMBL1393850,6.02,pAC50
Nc1ccc2nc(NC(=O)C3CCCCC3)sc2c1,CHEMBL1391694,6.02,pAC50
COc1cc(\C=C\2/SC(=NC2=O)N3CCC(C)CC3)ccc1O,CHEMBL1462751,6.03,pAC50
Cc1cc(C)c(cc1C)S(=O)(=O)Nc2ccc(O)cc2,CHEMBL1594342,6.03,pAC50
Clc1ccc2[nH]c3c(NCCCN4CCCC4=O)ncnc3c2c1,CHEMBL1565575,6.03,pAC50
CC1CCN(CC1)C(=S)c2ccc(cc2)N(C)C,CHEMBL1491681,6.04,pAC50
CCCCC(=O)NNC(=O)N1c2ccccc2Sc3ccccc13,CHEMBL1722434,6.04,pAC50
CCN(CC)c1ccc(\C=N\NC(=O)CNC(=O)c2ccccn2)cc1,CHEMBL3192488,6.04,pAC50
COc1ccccc1NC(=O)Nc2ncccc2C,CHEMBL1492549,6.04,pAC50
Cc1nn(c(Cl)c1\C=N\Nc2ccc(Cl)c(c2)C(=O)O)c3ccccc3,CHEMBL3191171,6.04,pAC50
NC(=O)Nc1ccc(Nc2ccccc2)cc1,CHEMBL1454784,6.04,pAC50
O=C(Nc1ccc2snnc2c1)N3CCN(CC3)c4ccccc4,CHEMBL1455653,6.04,pAC50
Sc1nc(c[nH]1)c2ccccc2,CHEMBL1531403,6.04,pAC50
CN(C)c1ccc(\C=C\c2nnnn2c3ccccc3)cc1,CHEMBL1607208,6.05,pAC50
COc1cc(\C=N\Nc2ccccc2)ccc1O,CHEMBL304953,6.05,pAC50
COc1ccc(Cc2nc3ccccc3n2CC(=O)N\N=C\c4ccc(O)cc4)cc1OC,CHEMBL3190136,6.05,pAC50
Cl.Cc1ccc2nc(cn2c1)c3ccc(O)c(O)c3,CHEMBL1300836,6.05,pAC50
CCN(CC)c1ccc(NC(=O)c2cccnc2)c(C)c1,CHEMBL1605436,6.06,pAC50
COc1cc(SC)ccc1C(=O)Nc2c(Cl)cncc2Cl,CHEMBL1430126,6.06,pAC50
O=C(CC#N)Nc1ccc(cc1)C(=O)Nc2cccnc2,CHEMBL1733170,6.06,pAC50
O=C(NN=C1CCC(=NNC(=O)c2cccnc2)CC1)c3cccnc3,CHEMBL1508164,6.06,pAC50
O=C(Nc1ccc(Nc2ccccc2)cc1)C3CC3,CHEMBL1489834,6.06,pAC50
CCCC(=O)Nc1ccc(cc1)c2csc(NNC(=O)C)n2,CHEMBL1459961,6.07,pAC50
COc1cc(\C=N\n2c(C)nnc2S)ccc1OCc3ccccc3,CHEMBL3208621,6.07,pAC50
Oc1ccc(\C=N\n2cc(nc2S)c3ccccc3)cc1,CHEMBL1979530,6.07,pAC50
[O-][N+](=O)c1cccc(NC(=O)c2[nH]ncc2Cl)c1,CHEMBL1391443,6.07,pAC50
CCN(CC)c1ccc(NC(=O)c2c(OC)cccc2OC)c(C)c1,CHEMBL1547699,6.08,pAC50
CCN(CC)c1ccc(\C=N/NC(=O)N)cc1,CHEMBL3213363,6.08,pAC50
CN(C)NC(=O)c1ccsc1NC(=O)c2ccc(cc2)S(=O)(=O)N3CCCC3,CHEMBL1440054,6.08,pAC50
COc1ccc(\C=N\Nc2ccc(cc2)C(=O)O)cc1Br,CHEMBL3190653,6.08,pAC50
COc1ccc(c(OC)c1)S(=O)(=O)N\N=C(\C)/c2ccncc2,CHEMBL3195917,6.08,pAC50
C[C@H](N)CN1CCc2ccc(Br)cc12.OC(=O)\C=C\C(=O)O,CHEMBL1256648,6.08,pAC50
Cc1ccc2[nH]c(nc2c1)c3cccc(N)c3,CHEMBL1527186,6.08,pAC50
Nc1ccc(cc1)c2nc3ccc(cc3s2)C(=O)O,CHEMBL1468011,6.08,pAC50
Oc1ccc(\C=N\N=C\2/C(=O)Nc3ccccc23)cc1O,CHEMBL607979,6.08,pAC50
CN(C)c1ccc(CN(Cc2occc2)C(=O)c3occc3)cc1,CHEMBL1588746,6.09,pAC50
CN(CCCNC(=O)c1cccc(c1)N2CCCC2=O)c3ccccc3,CHEMBL1488901,6.09,pAC50
