SMILES,ChEMBL,target,metric
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1,pazopanib,6.21,pKd
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1,nintedanib,7.03,pKd
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4ncc(F)c(N)n4,CHEMBL3690515,7.53,pIC50
CCNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)C#Cc4cncn4C,CHEMBL3694657,7.54,pIC50
COc1cc2[nH]c(cc2cc1Cl)C(=O)c3cnn(c3N)c4ccc5[nH]c(C)nc5c4,CHEMBL3681303,7.54,pIC50
COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N4C[C@@H](C)N[C@@H](C)C4)n[nH]2)cc(OC)c1,CHEMBL3348846,7.57,pIC50
Cc1nc2cc(ccc2[nH]1)n3ncc(C(=O)c4cc5ccc(cc5[nH]4)c6cccnn6)c3N,CHEMBL3681246,7.57,pIC50
FC(F)(F)CNC(=O)Nc1cccc(c1)c2cnc3cc(ccn23)c4cncnc4,CHEMBL3690406,7.57,pIC50
Cc1oc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)N)c4,CHEMBL3694717,7.58,pIC50
CC(C)COC(=O)Nc1nc(ncc1F)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4,CHEMBL3694666,7.59,pIC50
COCCNc1cccc2[nH]c(cc12)C(=O)c3cnn(c3N)c4ccc5[nH]c(C)nc5c4,CHEMBL3681281,7.59,pIC50
Fc1cnc(nc1NC2CC2)c3ccn4c(cnc4c3)c5cccc(NC(=O)NCC(F)(F)F)c5,CHEMBL3690532,7.59,pIC50
[O-][N+](=O)c1ccccc1c2n[nH]cc2\C=C\3/C(=O)Nc4ccccc34,CHEMBL2347053,7.6,pIC50
