SMILES,ChEMBL,target,metric
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,adenosine phosphate,6.85,pIC50
CC(C)Cn1c(nc2c(N)c(Br)cc(Br)c12)c3oc(cc3)P(=O)(O)O,CHEMBL572202,6.0,pIC50
CCc1c([nH]c2c(cc(CC(C)C)cc12)[N+](=O)[O-])C(=O)O,CHEMBL3127628,6.0,pIC50
CNC(=O)c1oc(N)nc1c2oc(cc2)P(=O)(O)O,CHEMBL3218208,6.0,pIC50
CNc1nc(c(CC(C)C)s1)c2oc(cc2)P(=O)(O)O,CHEMBL1649986,6.0,pIC50
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,CHEMBL29197,6.0,pIC50
Cc1nc2c(Cc3cccc(OCP(=O)(O)O)c23)s1,CHEMBL603409,6.0,pIC50
FC(F)(F)Oc1cccc(c1)S(=O)(=O)NC(=O)Nc2ncc(Br)s2,CHEMBL594668,6.0,pIC50
Nc1cccc2c1nc(c3oc(cc3)P(=O)(O)O)n2CC45CCC(CC4)C5,CHEMBL571839,6.0,pIC50
Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O,CHEMBL752,6.0,pIC50
CCc1oc(CC(C)C)c(n1)c2oc(cc2)P(=O)(O)O,CHEMBL3218444,6.02,pIC50
Nc1nc(C(=O)NCP(=O)(O)O)c(s1)c2cccs2,CHEMBL1650216,6.02,pIC50
Cc1ccc(cc1)S(=O)(=O)NC(=O)\N=C/2\NC=C(Br)S2,CHEMBL595067,6.04,pIC50
OP(=O)(O)COc1cccc2Cc3sc(Cl)nc3c12,CHEMBL596870,6.04,pIC50
CC(C)(CCl)Cn1c(nc2c(N)ncnc12)c3oc(cc3)P(=O)(O)O,CHEMBL484332,6.05,pIC50
CC(C)Cn1c(nc2c(N)ccc(Cl)c12)c3oc(cc3)P(=O)(O)O,CHEMBL572062,6.05,pIC50
COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OC,CHEMBL304929,6.05,pIC50
CSc1nc(c(CC(C)C)s1)c2oc(cc2)P(=O)(O)O,CHEMBL1649984,6.05,pIC50
Nc1oc(Cc2ccccc2)c(n1)c3oc(cc3)P(=O)(O)O,CHEMBL3218214,6.05,pIC50
OC(=O)CCc1c([nH]c2c(ccc(Cl)c12)[N+](=O)[O-])C(=O)O,CHEMBL3393934,6.06,pIC50
CC(C)(C)C(=O)c1oc(N)nc1c2oc(cc2)P(=O)(O)O,CHEMBL3218209,6.07,pIC50
CCC(CC)n1c(nc2c(N)c(F)ccc12)c3oc(cc3)P(=O)(O)O,CHEMBL571840,6.07,pIC50
CCC[S+]([O-])c1sc(N)nc1c2oc(cc2)P(=O)(O)O,CHEMBL1650199,6.07,pIC50
Cc1cccc(c1)S(=O)(=O)NC(=O)NCCOCCNC(=O)NS(=O)(=O)c2cccc(C)c2,CHEMBL456543,6.08,pIC50
Nc1nc2c(CCc3ccc(CP(=O)(O)O)cc23)s1,CHEMBL567030,6.08,pIC50
COCCc1sc(cc1C)S(=O)(=O)NC(=O)Nc2cc(Br)cc3nccn23,CHEMBL1778446,6.09,pIC50
CC(C)(C)Cn1c(nc2c(N)ncnc12)c3oc(cc3)P(=O)(O)O,CHEMBL482735,6.1,pIC50
CC(C)Cn1c(nc2c(N)ncnc12)c3oc(cc3)P(=O)(O)O,CHEMBL482734,6.1,pIC50
Nc1cccc2c1nc(c3oc(cc3)P(=O)(O)O)n2CC4CC4,CHEMBL583908,6.1,pIC50
Nc1cccc2c1nc(c3oc(cc3)P(=O)(O)O)n2CC4CCC4,CHEMBL571844,6.1,pIC50
OP(=O)(O)COc1cccc2Cc3sc(Br)nc3c12,CHEMBL597068,6.11,pIC50
COCCc1sc(cc1C)S(=O)(=O)NC(=O)Nc2cc(cc(N)n2)C(F)(F)F,CHEMBL1778453,6.12,pIC50
Nc1cccc(c1)S(=O)(=O)NC(=O)Nc2ncc(Br)s2,CHEMBL595304,6.14,pIC50
CC(C)Cc1ccc(c2[nH]c(C(=O)O)c(CCC(=O)O)c12)[N+](=O)[O-],CHEMBL3393950,6.16,pIC50
CC(C)c1cccc(c1)S(=O)(=O)NC(=O)Nc2ncc(Br)s2,CHEMBL608398,6.16,pIC50
COc1ccc2c(nc(c3oc(cc3)P(=O)(O)O)n2CC(C)C)c1N,CHEMBL583139,6.16,pIC50
CSc1nc(N)c2nc(c3oc(cc3)P(=O)(O)O)n(CC(C)C)c2n1,CHEMBL507312,6.16,pIC50
OC(=O)CCc1c([nH]c2c(ccc(Nc3ccccc3)c12)[N+](=O)[O-])C(=O)O,CHEMBL3393951,6.16,pIC50
CC(=O)OCCc1sc(cc1C)S(=O)(=O)NC(=O)Nc2cc(c(F)c(N)n2)C(F)(F)F,CHEMBL1778556,6.17,pIC50
Clc1cccc(c1)S(=O)(=O)NC(=O)Nc2cc(Cl)cc(Cl)c2,CHEMBL1778441,6.19,pIC50
CC(C)Cc1nc(C)oc1c2oc(cc2)P(=O)(O)O,CHEMBL3218438,6.22,pIC50
COCCc1sc(cc1C)S(=O)(=O)NC(=O)Nc2cc(c(F)c(N)n2)C(F)(F)F,CHEMBL1778454,6.22,pIC50
CC(C)c1oc(N)nc1C(=O)OCP(=O)(O)O,CHEMBL3218451,6.24,pIC50
COc1cc(c2cccc(N)c2)c3oc(NS(=O)(=O)c4cc(Cl)ccc4Cl)nc3c1,CHEMBL205792,6.24,pIC50
Nc1nc(c(CN2CCOCC2)s1)c3oc(cc3)P(=O)(O)O,CHEMBL1650189,6.25,pIC50
Cc1cccc(c1)S(=O)(=O)NC(=O)NCCCCNC(=O)NS(=O)(=O)c2cccc(C)c2,CHEMBL516135,6.27,pIC50
Brc1cnc(NC(=O)NS(=O)(=O)c2cc3COCCc3s2)s1,CHEMBL585961,6.28,pIC50
CC(=O)OCCc1sc(cc1C)S(=O)(=O)NC(=O)Nc2cc(cc(C)n2)C(F)(F)F,CHEMBL1778559,6.28,pIC50
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC,CHEMBL63676,6.28,pIC50
COCCc1sc(cc1C)S(=O)(=O)NC(=O)Nc2cc(cc(C)n2)C(F)(F)F,CHEMBL1778557,6.28,pIC50
CC(C)Cc1sc(nc1c2oc(cc2)P(=O)(O)O)C(=S)N,CHEMBL1649989,6.3,pIC50
CC(C)Cc1scnc1c2oc(cc2)P(=O)(O)O,CHEMBL1649981,6.3,pIC50
CC(C)Cn1c(nc2c(N)c(O)ccc12)c3oc(cc3)P(=O)(O)O,CHEMBL576128,6.3,pIC50
Nc1nc(c(CO)s1)c2oc(cc2)P(=O)(O)O,CHEMBL1649995,6.3,pIC50
CC(C)Cc1cc(c2[nH]c(C(=O)O)c(CCC(=O)O)c2c1)[N+](=O)[O-],CHEMBL3393955,6.35,pIC50
CC(C)Cn1c(nc2c(N)c(Cl)cc(Cl)c12)c3oc(cc3)P(=O)(O)O,CHEMBL578624,6.35,pIC50
Nc1nc(cs1)c2oc(cc2)P(=O)(O)O,CHEMBL1649993,6.35,pIC50
Clc1ccc(s1)S(=O)(=O)NC(=O)Nc2ncc(Br)s2,CHEMBL594445,6.36,pIC50
Cc1cc(sc1CCO)S(=O)(=O)NC(=O)Nc2cc(c(F)c(N)n2)C(F)(F)F,CHEMBL1778555,6.38,pIC50
Cc1oc(N)nc1C(=O)OCP(=O)(O)O,CHEMBL3218448,6.38,pIC50
CCc1sc(NC(=O)NS(=O)(=O)c2cc(C)c(CCO)s2)nc1C,CHEMBL600654,6.39,pIC50
