SMILES,ChEMBL,target,metric
CC(C)[C@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL1808928,6.01,pKi
NC(=N)N[C@H]1C[C@@H](NC(=N)N)[C@@H](C[C@@H]1OC(=O)Nc2ccc(NC(=N)N)cc2)OC(=O)Nc3ccc(NC(=N)N)cc3,CHEMBL451430,6.09,pKi
CC(C)[C@H](NC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc3ccc(cc3)C(=N)N,CHEMBL1808925,6.15,pKi
CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(CN)cc2,CHEMBL571109,6.2,pKi
CCc1ccc(NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NCC(=O)Oc2ccccc2)C(C)C)cc1,CHEMBL2049018,6.2,pKi
C[C@@H](O)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)CN(CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)C(=O)N,CHEMBL3126395,6.23,pKi
C\C(=N\NC(=N)N)\c1cc(NC(=O)COc2cc(cc(c2)\C(=N/NC(=N)N)\C)\C(=N/NC(=N)N)\C)cc(c1)\C(=N\NC(=N)N)\C,CHEMBL1645024,6.24,pKi
CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCCCN,CHEMBL569320,6.26,pKi
CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NCC(=O)Oc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCCCN,CHEMBL2049016,6.26,pKi
C\C(=N/NC(=N)N)\c1cc(NC(=O)CCCNC(=N)N)cc(c1)\C(=N\NC(=N)N)\C,CHEMBL1644915,6.34,pKi
NC(=N)N[C@@H]1C[C@H](Nc2ccc(NC(=N)N)c3ccccc23)[C@H](C[C@H]1Oc4ccc(NC(=N)N)c5ccccc45)Oc6ccc(NC(=N)N)c7ccccc67,CHEMBL451882,6.37,pKi
NC(=N)NCCC[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL1808922,6.39,pKi
NC(=N)N[C@H]1C[C@@H](NC(=N)N)[C@@H](C[C@@H]1Oc2ccc(NC(=N)N)cc2NC(=N)N)Oc3ccc(NC(=N)N)c4ccccc34,CHEMBL448513,6.39,pKi
CCCCCCCCCCN[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCC(=O)N[C@H](C(C)C)C(=O)NCC(=O)OC,CHEMBL132154,6.43,pKi
COC(=O)[C@@H](CC(C)C)NC(=O)CNC(=O)[C@H](NC(=O)CCC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)C(C)C)C(C)C,CHEMBL337198,6.46,pKi
CCCCCCCCCCN[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)CCC(=O)N[C@H](C(C)C)C(=O)NCC(=O)N[C@H](CC(C)C)C(=O)OC,CHEMBL410994,6.48,pKi
CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL1808923,6.55,pKi
CC(C)[C@H](NC(=O)[C@H](CCCNC(=O)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N,CHEMBL1808924,6.62,pKi
