SMILES,ChEMBL,target,metric
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\C(=O)N4CCN(C)CC4)cc3,CHEMBL3675728,7.09,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)n4cc(CC5(O)CCN(CC5)C(=O)OC(C)(C)C)nn4,CHEMBL3675742,7.11,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)c4oc(nn4)C5CCNCC5,CHEMBL3675743,7.13,pIC50
CCc1nc2c(C)cc(C)nc2n1Cc3ccc4Nc5ccc(CN6CCCCC6)cc5CCc4c3,CHEMBL3810385,7.17,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(OCCN4CCN[C@@H](COC)C4)cc3,CHEMBL3675736,7.23,pIC50
CCc1nc2c(C)cc(C)nc2n1Cc3ccc(\C=C\CN4CCN(CC4)C(C)C)cc3,CHEMBL3675746,7.26,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(CCC(=O)N4CCN(CC4)C(=O)OC(C)(C)C)cc3,CHEMBL3675729,7.27,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(OC[C@@H]4CC[C@@H](CC4)NC(=O)[C@H]5NCC[C@H]5O)cc3,CHEMBL3675733,7.27,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN(CC4)C(=O)[C@H](CO)NC)cc3,CHEMBL3675725,7.29,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(CCCC4(O)CCN(CC4)C(=O)OC(C)(C)C)cc3,CHEMBL3670933,7.33,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\C4(O)CCN(CC4)C(=O)OC(C)(C)C)cc3,CHEMBL3670930,7.35,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(OCCN4CCN(CC4)C(=O)OC(C)(C)C)cc3,CHEMBL3675735,7.36,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CC4(O)CCNCC4)cc3,CHEMBL3670932,7.36,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)n4cc(CN5CCNCC5)cn4,CHEMBL3675740,7.37,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN(CC4)C(=O)CN)cc3,CHEMBL3670940,7.42,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)n4cc(CN5CCNCC5)nn4,CHEMBL3675741,7.42,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(OC[C@@H]4CC[C@H](N)CC4)cc3,CHEMBL3675732,7.46,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN(CC4)C(=O)[C@H]5NCC[C@H]5O)cc3,CHEMBL3675726,7.46,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CC4(O)CCN(CC4)C(=O)CN(C)C(=O)OC(C)(C)C)cc3,CHEMBL3670936,7.47,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CC4(O)CN(C4)C(=O)OC(C)(C)C)cc3,CHEMBL3670931,7.47,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCC(CC4)c5nnnn5C)cc3,CHEMBL3670941,7.48,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN[C@H](COC)C4)cc3,CHEMBL3670939,7.48,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN(C[C@@H](O)CO[Si](C)(C)C(C)(C)C)CC4)cc3,CHEMBL3675727,7.52,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN[C@H](CO)C4)cc3,CHEMBL3670937,7.55,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)n4cc(CN5CCC(N)CC5)cn4,CHEMBL3675739,7.59,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CC4(O)CCN(C[C@@H](O)CO)CC4)cc3,CHEMBL3670935,7.62,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(OCC4CCNCC4)cc3,CHEMBL3675730,7.66,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)n4cc(CN5CC(N)C5)cn4,CHEMBL3675738,7.68,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(OCC4CCN(CC4)C(=O)[C@H]5NCC[C@H]5O)cc3,CHEMBL3675731,7.72,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN[C@@H](C)C4)cc3,CHEMBL3670938,7.72,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\C[C@]4(O)CCN[C@@H](C)C4)cc3,CHEMBL3670934,7.82,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)c4oc(nn4)C5CCN(CC5)C(=O)[C@H](CO)NC,CHEMBL3675745,7.82,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(CCCN4CCN(CC4)C(C)C)cc3,CHEMBL3639746,7.89,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCNCC4)cc3,CHEMBL3675724,8.0,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(\C=C\CN4CCN(C)[C@@H](CN(C)C)C4)cc3,CHEMBL3670942,8.16,pIC50
CCc1nn2c(C)cc(C)nc2c1Cc3ccc(cc3)c4oc(nn4)[C@@H]5CC[C@@H](N)CC5,CHEMBL3675744,8.3,pIC50
