SMILES,ChEMBL,target,metric
COc1cccc(c1)C(=O)O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](OC(=O)c4cccc(OC)c4)[C@H]3O)[C@@H]2O,CHEMBL509915,6.16,pKd
CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)C(=O)Nc4cccc5ccccc45)[C@H](O)[C@H]1NC(=O)C,CHEMBL1253741,6.18,pKd
OCC1O[C@@H](S[C@@H]2CCCC(C2O)n3cc(nn3)c4ccsc4)C(O)[C@H]([C@H]1O)n5cc(nn5)c6ccsc6,CHEMBL3680814,6.26,pKd
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OCCOCCOCCn3cc(CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)nn3)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,CHEMBL3590105,6.3,pKd
CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc4ccccc4c3)[C@H]2O)[C@H](O)[C@H]1NC(=O)C,CHEMBL1254013,6.32,pKd
CCCNC(=O)c1cn(nn1)C2CCC[C@@H](O[C@@H]3OC(CO)[C@H](O)[C@@H](C3O)n4cc(nn4)C(=O)NCCC)C2O,CHEMBL3680810,6.37,pKd
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)C(=O)NCc4ccccc4)[C@H](O)[C@H]([C@H]1O)n5cc(nn5)C(=O)NCc6ccccc6,CHEMBL1253743,6.41,pKd
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)c4ccc(Oc5ccccc5)cc4)[C@H](O)[C@H]([C@H]1O)n6cc(nn6)c7ccc(Oc8ccccc8)cc7,CHEMBL2313338,6.44,pKd
CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3cc4ccccc4cc3C(=O)O)[C@H]2O)[C@H](O)[C@H]1NC(=O)C,CHEMBL502911,6.52,pKd
COCCNC(=O)c1cn(nn1)[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@@H]([C@H]3O)n4cc(nn4)C(=O)NCCOC)[C@@H]2O,CHEMBL1253745,6.6,pKd
OCC1O[C@@H](S[C@@H]2CCCC(C2O)n3cc(nn3)c4ccccc4F)C(O)[C@H]([C@H]1O)n5cc(nn5)c6ccccc6F,CHEMBL3680811,6.64,pKd
OCC1O[C@@H](S[C@@H]2CCCC(C2O)n3cc(nn3)c4ccc(F)cc4)C(O)[C@H]([C@H]1O)n5cc(nn5)c6ccc(F)cc6,CHEMBL3680813,6.68,pKd
CCCNC(=O)c1cn(nn1)C2CCC[C@@H](S[C@@H]3OC(CO)[C@H](O)[C@@H](C3O)n4cc(nn4)C(=O)NCCC)C2O,CHEMBL3680815,6.72,pKd
OCC1O[C@@H](S[C@@H]2CCCC(C2O)n3cc(nn3)c4cccc(F)c4)C(O)[C@H]([C@H]1O)n5cc(nn5)c6cccc(F)c6,CHEMBL3680812,6.82,pKd
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)C(=O)NCCc4ccccc4)[C@H](O)[C@H]([C@H]1O)n5cc(nn5)C(=O)NCCc6ccccc6,CHEMBL1253726,6.82,pKd
CC(O)CNC(=O)c1cn(nn1)[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@@H]([C@H]3O)n4cc(nn4)C(=O)NCC(C)O)[C@@H]2O,CHEMBL1253744,6.92,pKd
CNC(=O)c1cn(nn1)[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@@H]([C@H]3O)n4cc(nn4)C(=O)NC)[C@@H]2O,CHEMBL1253923,6.92,pKd
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)C(=O)NCC=C)[C@H](O)[C@H]([C@H]1O)n4cc(nn4)C(=O)NCC=C,CHEMBL1253187,7.19,pKd
COc1cc(OC)cc(c1)C(=O)N[C@H]2[C@@H](O)[C@@H](CO)O[C@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](NC(=O)c4cc(OC)cc(OC)c4)[C@H]3O)[C@@H]2O,CHEMBL1253217,7.3,pKd
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)c4ccccc4)[C@H](O)[C@H]([C@H]1O)n5cc(nn5)c6ccccc6,CHEMBL2313627,7.36,pKd
OC[C@@H]1O[C@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc(cc3)[N+](=O)[O-])[C@H]2O)[C@@H](O)[C@H](NC(=O)c4ccc(cc4)[N+](=O)[O-])[C@@H]1O,CHEMBL502635,7.48,pKd
CCCCNC(=O)c1cn(nn1)[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@@H]([C@H]3O)n4cc(nn4)C(=O)NCCCC)[C@@H]2O,CHEMBL1253742,7.54,pKd
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)n3cc(nn3)c4cccc(O)c4)[C@H](O)[C@H]([C@H]1O)n5cc(nn5)c6cccc(O)c6,CHEMBL2313626,7.66,pKd
