SMILES,ChEMBL,target,metric
CC(C)C1=CC=CC(C(C)C)=C1O,propofol,5.39,pEC50
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,pentobarbital,4.06,pIC50
CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,zolpidem,7.5735,pKi
CCN(C(C)=O)C1=CC(=CC=C1)C1=CC=NC2=C(C=NN12)C#N,zaleplon,5.7889,pEC50
CC1=NN=C2CN=C(C3=CC(Cl)=CC=C3N12)C1=C(Cl)C=CC=C1,triazolam,9.02,pKi
OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,oxazepam,7.745,pIC50
OC1N=C(C2=CC(Cl)=CC=C2NC1=O)C1=C(Cl)C=CC=C1,lorazepam,8.456,pIC50
CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1,flumazenil,9.0969,pKi
CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1,diazepam,7.65,pKi
CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1,chlordiazepoxide,6.3372,pKi
CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12,alprazolam,7.9208,pEC50
CC1=NC=C2CN=C(C3=CC(Cl)=CC=C3N12)C1=C(F)C=CC=C1,midazolam,8.2596,pKi
CN1CCN(CC1)C(=O)OC1N(C(=O)C2=C1N=CC=N2)C1=CC=C(Cl)C=N1,zopiclone,6.7496,pKi
CN1C(=O)NC(=O)[C@](CC=C)(C1=O)c2cccc(c2)C3(N=N3)C(F)(F)F,CHEMBL2163548,5.41,pIC50
CCCc1c(CO)nnn1c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL235407,5.46,pKi
CCCc1c(C)nnn1c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL428023,6.27,pKi
CCCc1nnn(c1CCC)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL235406,6.89,pKi
CCc1c(C)nnn1c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL236470,7.15,pKi
CCCc1c(CCl)nnn1c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL395137,7.18,pKi
CCCc1c(CC)nnn1c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL235405,7.33,pKi
FC(F)(F)c1cc(Cl)c(c(Cl)c1)n2cc(cn2)C3(N=N3)C(F)(F)F,CHEMBL329306,7.55,pIC50
Nc1c([S+]([O-])C(F)(F)F)c(nn1c2c(Cl)cc(cc2Cl)C(F)(F)F)C#N,CHEMBL101326,7.55,pIC50
CCCc1nnn(c1C)c2c(Br)cc(cc2Br)C(F)(F)F,CHEMBL396305,7.87,pKi
CCCc1nnn(c1CC)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL236671,8.09,pKi
CCc1nnn(c1C)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL392035,8.15,pKi
CCc1nnn(c1CC)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL392036,8.37,pKi
CCCc1nnn(c1CO)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL395136,8.6,pKi
CCCc1nnn(c1C)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL236471,8.71,pKi
Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,CHEMBL15891,9.05,pIC50
CCCc1nnn(c1CCl)c2c(Cl)cc(cc2Cl)C(F)(F)F,CHEMBL235623,9.18,pKi
ClC1=C(Cl)[C@@]2(Cl)[C@@H]3COS(=O)OC[C@@H]3[C@]1(Cl)C2(Cl)Cl,CHEMBL1890408,9.33,pIC50
