SMILES,ChEMBL,target,metric
Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,lindane,7.04,pIC50
NCCCC(O)=O,aminobutyric acid,6.57000017,pEC50
CCCCP(=O)(O)C1=CC[C@H](N)C1,CHEMBL446306,5.01,pIC50
NC1CC=C(C1)C(=O)N,CHEMBL2398115,5.02,pIC50
NC1=NCC(CN1)C(=O)O,CHEMBL3322886,5.09,pEC50
NC1CC=C(C1)C(=O)O,CHEMBL2398121,5.18,pIC50
NCc1cnn(O)c1,CHEMBL2315213,5.51,pEC50
NC1=NCC(CC1)C(=O)O,CHEMBL3322882,5.64,pEC50
NCc1onc(O)c1,CHEMBL273481,5.64,pEC50
CP(=O)(O)C1=CCNCC1,CHEMBL397209,5.65,pIC50
NCCCC(=O)O,CHEMBL96,6.0,pEC50
ClC1=C(Cl)[C@@]2(Cl)[C@@H]3COS(=O)OC[C@@H]3[C@]1(Cl)C2(Cl)Cl,CHEMBL1890408,6.1,pIC50
