SMILES,ChEMBL,target,metric
[H]N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(O)=O,glucagon,9.0,pEC50
CC(C)(C)[C@@H]1CC[C@@]2(CC1)N=C(C(=O)N2[C@H](CCC3(C)CC3)c4ccc(cc4)C(=O)NCc5nn[nH]n5)c6cc(Cl)cc(Cl)c6,CHEMBL3238215,7.0,pIC50
CC(c1ccc(cc1)C(=O)NCCC(=O)O)n2nc(cc2c3ccc(OC(F)(F)F)cc3)c4cc(Cl)cc(Cl)c4,CHEMBL2159334,7.0,pIC50
CCCC(Nc1cnc(nc1)n2cc(cn2)C(F)(F)F)c3ccc(cc3)C(=O)NCCC(=O)O,CHEMBL2381823,7.0,pKi
COc1ccc(cc1)c2cc([nH]c2c3ccncc3)c4ccc(Cl)cc4,CHEMBL155694,7.0,pIC50
COc1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,CHEMBL276063,7.0,pIC50
COc1ccc2cc(ccc2c1)c3cc(nn3C(C)c4ccc(cc4)C(=O)NCCC(=O)O)c5cc(Cl)cc(Cl)c5,CHEMBL3799802,7.0,pIC50
COc1cncc(c1)c2nn(C(C)c3ccc(cc3)C(=O)NCCC(=O)O)c4cc(ccc24)c5ccc(OC(F)(F)F)cc5,CHEMBL3616677,7.0,pIC50
Clc1ccc(cc1)c2cc(C3CCCCC3)c([nH]2)c4ccncc4,CHEMBL160735,7.0,pIC50
Fc1ccc(cc1)c2[nH]c(nc2c3ccncc3)c4ccc(I)cc4,CHEMBL314181,7.0,pIC50
Fc1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,CHEMBL316264,7.0,pIC50
OC(=O)CCNC(=O)c1ccc(CN(c2ccc3CCCc3c2)c4nc(cs4)c5ccc(Cl)c(Cl)c5)cc1,CHEMBL491352,7.0,pIC50
Oc1ccc(cc1)c2[nH]c(nc2c3ccccc3)c4ccc(Br)cc4,CHEMBL84373,7.0,pIC50
OC(=O)CCNC(=O)c1ccc(CC(c2ccc(OC(F)(F)F)cc2)c3nc(cs3)c4ccc(Cl)cc4)cc1,CHEMBL493020,7.01,pIC50
OC(=O)CCNC(=O)c1ccc(cn1)c2cc(F)ccc2CNc3ccc(c(F)c3)c4ccc(cc4)C(F)(F)F,CHEMBL3675844,7.01,pKi
OCc1ccc(c(CNc2ccc(cc2)c3ccc(Cl)c(Cl)c3)c1)c4ccc(nc4)C(=O)NCCC(=O)O,CHEMBL3675848,7.01,pKi
CC(C)(C)c1ccc(cc1)N(Cc2ccc(cc2)C(=O)NCCC(=O)O)C(=O)Nc3ccc(OC(F)(F)F)cc3,CHEMBL219384,7.02,pIC50
C[C@@H](N1C(=O)C(=N[C@@]12CC[C@@H](CC2)C(C)(C)C)c3cc(Cl)cc(Cl)c3)c4ccc(cc4)C(=O)NCCC(=O)O,CHEMBL3237895,7.02,pIC50
C[C@@H](N1C(=O)C(=N[C@@]12CC[C@@H](CC2)C(C)(C)C)c3ccc(Cl)c(Cl)c3)c4ccc(cc4)C(=O)NCCC(=O)O,CHEMBL3237908,7.02,pIC50
Cc1cc(ccc1F)c2ccc(NCc3cc(F)c(F)cc3c4ccc(nc4)C(=O)NCCC(=O)O)cc2C#N,CHEMBL3675891,7.02,pKi
OC(=O)CCNC(=O)c1ccc(CC(c2ccc(Cl)cc2)c3nc(cs3)c4ccc(cc4)C(F)(F)F)cc1,CHEMBL491920,7.02,pIC50
OC(=O)CCNC(=O)c1ccc(CN(c2ccc3CCCc3c2)c4nc(cs4)c5ccc(OC(F)(F)F)cc5)cc1,CHEMBL446821,7.02,pIC50
OC(=O)CCNC(=O)c1ccc(Cn2nc(cc2c3cc(Cl)cc(Cl)c3)c4ccc(OC(F)(F)F)cc4)cc1,CHEMBL1644181,7.02,pIC50
OC(=O)CCNC(=O)c1ccc(cn1)c2c(CNc3ccc(cc3)c4ccc(Cl)cc4)cccc2C(F)(F)F,CHEMBL3675851,7.02,pKi
OC(=O)CCNC(=O)c1ccc(cn1)c2ccccc2CNc3ccc(cc3)c4ccc(cc4)C(F)(F)F,CHEMBL3675805,7.02,pKi
Oc1ccc(cc1Cl)C(=O)N\N=C\c2ccc(CN3CCN(Cc4ccc(Cl)cc4)CC3)c5ccccc25,CHEMBL152579,7.02,pIC50
CC(C)c1ccc(cc1C)N(Cc2ccc(cc2)C(=O)NCCC(=O)O)c3nc(cs3)c4ccc(cc4)C(F)(F)F,CHEMBL523847,7.03,pIC50
