SMILES,ChEMBL,target,metric
CCCCCCCCn1cc(CN[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,CHEMBL1085392,6.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc3ccccc3c2,CHEMBL3354022,6.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCNC(=O)C2CCc3ccccc3C2,CHEMBL2414881,6.0,pKi
O[C@@H]1[C@@H](O)[C@H]2CC[C@](O)(N2)[C@H]1O,CHEMBL526330,6.0,pIC50
CC1CCC(CC1)C(=O)Nc2ccc3nc(cc(C)c3c2)N4CCN(CC4)c5ncccn5,CHEMBL259330,6.01,pKi
CCOc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3,CHEMBL237560,6.02,pIC50
OC1C(O)C2OC(=NC2C1O)Nc3ccccc3,CHEMBL86865,6.03,pIC50
OCCCCCCCCCCn1cc(CN[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1,CHEMBL1766489,6.05,pKi
O[C@H]1CN2CCC(O)C2[C@@H](O)[C@@H]1O,CHEMBL421040,6.05,pKi
CC(C)CCCN1CC[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL3669176,6.06,pKi
COc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3,CHEMBL429079,6.06,pAC50
OC[C@H]1N\C(=N/OC(=O)Nc2cccs2)\[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3787337,6.08,pIC50
Cl.CCCCCCCCCN(CCCCCCCCC)[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2164233,6.09,pKi
CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL408500,6.1,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL3354053,6.1,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(cc3)C(F)(F)F,CHEMBL3354052,6.1,pIC50
CCCCCCCCCN[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL2219956,6.11,pIC50
CCOc1ccccc1Nc2nc(NCCO)nc(n2)N3CCCC3,CHEMBL441134,6.11,pIC50
Cl.CCCCCCCCCN[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL2163840,6.11,pIC50
O[C@@H]1[C@@H](O)[C@H](O)[C@@H](NCc2cn(CCC(c3ccccc3)c4ccccc4)nn2)[C@H](O)[C@H]1O,CHEMBL1766470,6.11,pKi
OC[C@H]1CNC[C@@H](O)[C@@H]1O,CHEMBL206468,6.13,pIC50
OCCNc1nc(Nc2cc(Cl)ccc2O)nc(n1)N3CCCC3,CHEMBL237350,6.14,pIC50
Clc1ccc(CN(CCCNC(=S)NCCCc2c[nH]cn2)c3ccc(Br)cn3)cc1Cl,CHEMBL103769,6.15,pIC50
CCCCCCCCCCCCNC(=O)O\N=C\1/N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3786086,6.16,pIC50
CCCCCCCCCN1[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2N(CCCCCCCCC)C1=O,CHEMBL2012656,6.16,pKi
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3cccc(c3)C#N,CHEMBL3354046,6.16,pIC50
Cl.CCCCCCCCCN[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC,CHEMBL2164228,6.17,pIC50
Cl.CCCCCCCCCN[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OCCCCCCCCC,CHEMBL2164229,6.17,pIC50
O[C@@H]1CNC[C@H](Cc2ccccc2)[C@H]1O,CHEMBL3684927,6.18,pIC50
Cl.Cl.CCCCCCCCCN[C@@H]1[C@H](N)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3216774,6.19,pIC50
COc1ccccc1c2ccc(COCCCCCN3C[C@H](O)[C@@H](O)[C@H](O)[C@H]3CO)cc2,CHEMBL3354044,6.22,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3C#N,CHEMBL3354047,6.22,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3F,CHEMBL3354050,6.22,pIC50
CCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1089185,6.25,pIC50
Clc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)C(=O)Nc3cccs3,CHEMBL264147,6.26,pKi
OC[C@H]1N[C@H](CNC(=O)c2cccc3ccccc23)[C@@H](O)[C@H]1O,CHEMBL3350093,6.26,pKi
CCN(CC)c1cc(C)c2cc(NC(=O)C3CCC(C)CC3)ccc2n1,CHEMBL258515,6.29,pKi
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@H]5CO,CHEMBL3354018,6.3,pIC50
CCCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651633,6.3,pIC50
CCCCCCCCOCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1651632,6.3,pIC50
CN(C)c1cccc2c(cccc12)S(=O)(=O)NCCO,CHEMBL27943,6.3,pKi
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCC(=O)NC23CC4CC(CC(C4)C2)C3,CHEMBL2170199,6.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(Cl)cc3,CHEMBL3354051,6.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc4OCOc4c3,CHEMBL3354054,6.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc3ccc4cccc5ccc2c3c45,CHEMBL3354024,6.3,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC\C=C/C23CC4CC(CC(C4)C2)C3,CHEMBL3354015,6.3,pIC50
CC1CCC(CC1)C(=O)Nc2ccc3nc(cc(C)c3c2)N4CCCCC4,CHEMBL260290,6.35,pIC50
Cl.CCCCCCCCCO[C@H]1[C@@H](N)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2164232,6.35,pIC50
Cl.O[C@@H]1CN[C@H](CCSCCCC(=O)N2CCOCC2)[C@H](O)[C@H]1O,CHEMBL2029785,6.35,pKi
OC[C@@H]1[C@@H](O)[C@H](O)CCN1CC2CCNCC2,CHEMBL3669171,6.36,pKi
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2C3CC4CC(CC2C4)C3,CHEMBL3354019,6.4,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(F)cc3,CHEMBL3354048,6.4,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccccc3,CHEMBL3354025,6.4,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCNC(=O)CC(c2ccccc2)(c3ccccc3)c4ccccc4,CHEMBL2414882,6.4,pKi
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCNC(=O)CC2c3ccccc3c4ccccc24,CHEMBL2414880,6.4,pKi
OC[C@@H]1[C@@H](O)[C@H](O)[C@]2(O)CC[C@H]1N2,CHEMBL1682493,6.4,pIC50
OCCNc1nc(Nc2cc(ccc2O)c3ccccc3)nc(n1)N4CCCC4,CHEMBL427852,6.43,pIC50
