SMILES,ChEMBL,target,metric
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3ccsc3,CHEMBL1277272,5.0,pEC50
CC(C)S(=O)(=O)NCc1ccc(cc1)n2nc(c3CCCCc23)C(F)(F)F,CHEMBL1649678,5.0,pEC50
FC(F)(F)c1nn(c2CCCCc12)c3ccc(CN4CCCS4(=O)=O)cc3,CHEMBL1649680,5.0,pEC50
FC(F)(F)c1nn(c2CCCCc12)c3ccc(CNS(=O)(=O)C4CC4)cc3,CHEMBL1649679,5.0,pEC50
FC(F)(F)c1nn(c2CCCCc12)c3ccc(cc3)C(=O)N4CCCC4,CHEMBL1649659,5.0,pEC50
FC(F)(F)c1nn(c2CCOCc12)c3ccc(CN4CCCC4=O)cc3,CHEMBL1649681,5.0,pEC50
CCN(CC1=CC(=O)N2C(=N1)SC(=C2C3CC3)C)c4ccc(F)cc4,CHEMBL3799325,5.01,pEC50
CCN1CNS(=O)(=O)c2ncccc12,CHEMBL103741,5.01,pKd
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(CCc4ccccc4)ccc3c5nnn[nH]5,CHEMBL3085838,5.02,pKi
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(Cc4ccccc4)ccc3c5nnn[nH]5,CHEMBL3085837,5.02,pKi
CCN(CC1=CC(=O)N2C(=N1)SC(=C2C(=O)C)C)c3ccc(F)cc3,CHEMBL3798757,5.03,pEC50
NC(Cc1nonc1O)C(=O)O,CHEMBL1094129,5.03,pEC50
CCNC(=O)C1=C(C)SC2=NC(=CC(=O)N12)Cn3nc(cc3OCC)C(F)(F)F,CHEMBL3799759,5.04,pEC50
FC(F)(F)C1=C([C@@H]2C[C@H]2C#N)N3C(=O)C=C(Cn4nc(cc4Cl)C(F)(F)F)N=C3S1,CHEMBL3799213,5.04,pEC50
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Sc3cccc(c3)C(=O)O,CHEMBL2440692,5.05,pKi
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3C(=O)O)c4ccccc4,CHEMBL2440699,5.06,pKi
CCN(CC1=CC(=O)N2C(=N1)SC(=C2C3CCC3)C)c4ccc(F)cc4,CHEMBL3798166,5.07,pEC50
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccccc3c4nn[nH]n4,CHEMBL189985,5.08,pKi
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3ccc(Cl)cn3,CHEMBL1214451,5.1,pEC50
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3cccc(c3)S(=O)(=O)N(C)C,CHEMBL1214203,5.1,pEC50
CCN1C[C@H](NS(=O)(=O)C(C)C)[C@H](C1)c2ccc(cc2)c3ccc(cc3)C#N,CHEMBL1290275,5.1,pEC50
CS(=O)(=O)NCc1ccc(cc1)n2nc(c3CCCCc23)C(F)(F)F,CHEMBL1649676,5.1,pEC50
CS(=O)(=O)N[C@H]1Cc2ccc(Cn3cc(CO)c(n3)C(F)(F)F)cc2C1,CHEMBL1642167,5.1,pEC50
NS(=O)(=O)C1=CC2=C(NC(NS2(=O)=O)C2CC3CC2C=C3)C=C1Cl,cyclothiazide,5.12,pEC50
[O-][n+]1onc2cc3NC(=O)C(=O)Nc3cc12,CHEMBL462490,5.12,pIC50
CCN(CC1=CC(=O)N2N=C(C)SC2=N1)c3ccccc3,CHEMBL3797274,5.13,pEC50
CC(C)S(=O)(=O)N[C@H]1Cc2ccc(cc2C1)c3ccc(F)nc3,CHEMBL1214399,5.19,pEC50
CCNC(=O)C1=C(C)SC2=NC(=CC(=O)N12)Cn3nc(cc3C4CC4)C(F)(F)F,CHEMBL3797897,5.19,pEC50
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3cccc(Cl)c3c4nnn[nH]4,CHEMBL3088058,5.19,pKi
CC(C)N1C[C@H](NS(=O)(=O)C(C)C)[C@H](C1)c2ccc(cc2)c3cccc(NS(=O)(=O)C)c3,CHEMBL1290059,5.2,pEC50
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3ccc(F)cn3,CHEMBL1214448,5.2,pEC50
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3cccc(CC(=O)C)c3,CHEMBL1214259,5.2,pEC50
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c2ccc(cc2)c3cccc(c3)C(=O)C,CHEMBL1290504,5.2,pEC50
CC(C)S(=O)(=O)N[C@H]1CN(C[C@@H]1c2ccc(cc2)c3ccc(cc3)C#N)c4ccccc4,CHEMBL1290391,5.21,pEC50
Cc1ccc(c(N[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1)c4nnn[nH]4,CHEMBL3088065,5.21,pKi
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3ccccc3c4nn[nH]n4,CHEMBL191249,5.22,pKi
CCN1CNS(=O)(=O)c2cc(F)ccc12,CHEMBL411612,5.25,pKd
CCN(CC1=CC(=O)N2C(=N1)SC(=C2C(C)O)C)c3ccc(F)cc3,CHEMBL3799832,5.26,pEC50
CC1=C([C@@H]2C[C@H]2CO)N3C(=O)C=C(COc4ccc(F)cc4)N=C3S1,CHEMBL3800265,5.27,pEC50
Cl.Cc1ccc(c(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1)c4nnn[nH]4,CHEMBL3088062,5.28,pKi
CC(C)S(=O)(=O)NC1Cc2ccc(cc2C1)c3ccc(F)nc3,CHEMBL1214338,5.3,pEC50
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c2ccc(cc2)c3ccc(F)nc3,CHEMBL1289062,5.3,pEC50
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c2ccc(cc2)c3ccc(cc3)C#N,CHEMBL1290166,5.3,pEC50
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1c2ccc(cc2)c3cccc(c3)S(=O)(=O)C,CHEMBL1290392,5.3,pEC50
