SMILES,ChEMBL,target,metric
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,felbamate,4.284,pIC50
CC12CC3CC(C)(C1)CC(N)(C3)C2,memantine,5.26,pIC50
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1,ketamine,6.38000011,pKi
NC12CC3CC(CC(C3)C1)C2,amantadine,4.98000002,pKi
N=C(NCc1ccccc1)c2ccccc2,CHEMBL350615,5.0,pKi
Cc1ccc(COC(=O)N2CCC(COc3ncccn3)CC2)cc1,CHEMBL217915,5.13,pKi
OC1CN=C(NC1c2ccccc2)c3ccc(OC(F)(F)F)cc3,CHEMBL247716,5.13,pKi
Clc1cccc(CNC(=N)c2ccccc2)c1,CHEMBL159498,5.38,pKi
FC(F)(F)Oc1ccc(cc1)C2=NCCCC(N2)c3ccccc3,CHEMBL391389,5.38,pKi
Clc1cccc(CNC(=N)c2ccccc2Cl)c1,CHEMBL349709,5.41,pKi
CS(=O)(=O)c1ccc(cc1)C(=N)NCc2ccccc2,CHEMBL159847,5.46,pKi
Cc1ccc(CC(=O)N2CCC(CCNc3ncccn3)CC2)cc1,CHEMBL218478,5.5,pKi
N#C\N=C(/NCc1ccccc1)\NN2CCC(CNc3ncccn3)CC2,CHEMBL438994,5.51,pKi
Fc1ccc2[nH]c(nc2c1CN3CCOCC3)c4ccccc4,CHEMBL2010888,5.6,pIC50
CN(CC1CCN(CC1)C(=O)OCc2ccc(C)cc2)c3ncccn3,CHEMBL218463,5.68,pKi
Fc1cccc(c1)C(=N)NCc2cccc(Cl)c2,CHEMBL351010,5.7,pKi
N=C(NCc1ccccc1)c2ccc(cc2)c3ccccc3,CHEMBL349067,5.75,pKi
Oc1ccc2[nH]c(Cc3ccccc3)nc2c1CN4CCCC4,CHEMBL2010879,5.8,pIC50
O=C(OCc1ccc(cc1)C#C)N2CCC(CNc3ncccn3)CC2,CHEMBL217992,5.9,pKi
O=C(NCc1ccccc1)N2CCC(CNc3ncccn3)CC2,CHEMBL218460,5.93,pKi
COc1ccc(C\N=C(/N)\c2ccc(OC(F)(F)F)cc2)cc1,CHEMBL160013,5.96,pKi
CCC1CCCCN1Cc2c(F)ccc3[nH]c(nc23)c4ccccc4,CHEMBL2010887,6.0,pIC50
Clc1ccc(cc1)C(=N)NCc2ccccc2,CHEMBL161977,6.01,pKi
CC(C)NCc1c(F)ccc2[nH]c(nc12)c3ccccc3,CHEMBL2010886,6.1,pIC50
Clc1cccc(CNC(=N)c2cccc(Cl)c2)c1,CHEMBL162081,6.1,pKi
Oc1ccc2[nH]c(nc2c1CNCc3occc3)c4cccc(F)c4F,CHEMBL2013206,6.1,pIC50
O=C(CN1CCC(Cc2ccccc2)CC1)c3c[nH]c4ccccc34,CHEMBL444384,6.11,pIC50
CC(C)(C)c1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,CHEMBL217940,6.14,pKi
CN1C(=O)N(C)c2cc3CC(CCCc3cc12)NCCCc4ccccc4,CHEMBL3797704,6.16,pKi
FC(F)(F)c1ccc(cc1)C(=N)NCc2cccc(c2)C(F)(F)F,CHEMBL348360,6.16,pKi
Oc1ccc2[nH]c(nc2c1CNCc3cccs3)c4cccc(F)c4F,CHEMBL2013205,6.2,pIC50
Fc1ccc(cc1)C(=N)NCc2cccc(Cl)c2,CHEMBL159879,6.22,pKi
CC(OC(=O)N1CCC(CNc2ncccn2)CC1)c3ccccc3,CHEMBL425642,6.27,pKi
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3ccccc3OC(F)(F)F,CHEMBL247115,6.3,pKi
FC(F)(F)c1ccc(cc1)C(=N)NCc2ccccc2,CHEMBL159530,6.32,pKi
COc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,CHEMBL217904,6.34,pKi
C(N1CCCCC1)c2cccc3[nH]c(nc23)c4ccccc4,CHEMBL2010880,6.4,pIC50
CN1CCN(Cc2c(O)ccc3[nH]c(nc23)c4ccccc4)CC1,CHEMBL2013203,6.4,pIC50
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3ccccc3C(F)(F)F,CHEMBL247114,6.45,pKi
O=C(CCc1ccccc1)N2CCC(CNc3ncccn3)CC2,CHEMBL217955,6.51,pKi
FC(F)(F)Oc1ccc(cc1)C2=NCC(N2)c3cccc(Cl)c3,CHEMBL247717,6.53,pKi
C(CN1CCC(CNc2ncccn2)CC1)Cc3ccccc3,CHEMBL218075,6.58,pKi
CN(C)Cc1c(O)ccc2[nH]c(nc12)c3ccccc3,CHEMBL2013202,6.6,pIC50
Cc1ccccc1COC(=O)N2CCC(CNc3ncccn3)CC2,CHEMBL425462,6.64,pKi
O=C(OCCc1ccccc1)N2CCC(CNc3ncccn3)CC2,CHEMBL219114,6.64,pKi
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3cc(Cl)cc(Cl)c3,CHEMBL247113,6.65,pKi
O=C(OCc1ccccc1)N2CCC(Cc3nc4ccccc4[nH]3)CC2,CHEMBL218546,6.66,pKi
Cc1cccc(COC(=O)N2CCC(CNc3ncccn3)CC2)c1,CHEMBL218104,6.69,pKi
Fc1ccc2[nH]c(nc2c1CN3CCCCCC3)c4ccccc4,CHEMBL2010885,6.7,pIC50
O=C(OCc1ccccc1)N2CCC(CNc3nncs3)CC2,CHEMBL219113,6.72,pKi
O=C(OCc1ccccc1)N2CCC(CNc3cccnc3)CC2,CHEMBL218067,6.75,pKi
Clc1ccc(cc1)C(=N)NCc2cccc(Cl)c2,CHEMBL161871,6.8,pIC50
Fc1cccc(COC(=O)N2CCC(CNc3ncccn3)CC2)c1,CHEMBL374865,6.82,pKi
O=C(OCc1ccccc1)N2CCC(CNc3nccs3)CC2,CHEMBL218547,6.91,pKi
FC(F)(F)Oc1ccc(cc1)C(=N)NCc2ccccc2,CHEMBL161421,6.92,pKi
Clc1cccc(CNC(=N)c2ccc(Cl)c(Cl)c2)c1,CHEMBL159818,6.96,pIC50
C(Cc1ccc(OCc2ccccc2)cc1)Nc3ccncc3,CHEMBL48029,7.03,pKi
C[C@@H]([C@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2,CHEMBL49623,7.03,pKd
Fc1ccc2[nH]c(nc2c1CN3CCCC3)c4ccccc4,CHEMBL2010883,7.1,pIC50
Fc1ccc2[nH]c(nc2c1CN3CCCCC3)c4ccccc4,CHEMBL2010884,7.1,pIC50
Oc1ccc2[nH]c(nc2c1CN3CCC(CC3)c4ccccc4)c5ccccc5,CHEMBL2013201,7.1,pIC50
COc1ccccc1C2CN=C(N2)c3ccc(OC(F)(F)F)c(Cl)c3,CHEMBL397784,7.13,pKi
O=C(OCc1ccccc1)N2CCC(CNc3ccncn3)CC2,CHEMBL218068,7.13,pKi
FC(F)(F)Oc1ccc(cc1)C(=N)NCc2ccccc2C(F)(F)F,CHEMBL159279,7.14,pKi
FC(F)(F)Oc1ccc(cc1Cl)C2=NCC(N2)c3cccc(Cl)c3,CHEMBL429475,7.18,pKi
C(NC1CCc2ccccc2CC1)c3ccccc3,CHEMBL3357785,7.24,pKi
FC(F)(F)Oc1ccccc1CNC(=N)c2ccc(Cl)c(Cl)c2,CHEMBL161876,7.24,pIC50
FC(F)(F)c1ccc(cc1)C(=N)NCc2ccccc2Cl,CHEMBL421976,7.25,pKi
CCCNCc1c(O)ccc2[nH]c(nc12)c3ccccc3,CHEMBL2013199,7.4,pIC50
Cc1ccc(cc1)c2nc3c(CNC4CC4)c(O)ccc3[nH]2,CHEMBL2013207,7.4,pIC50
Oc1ccc2[nH]c(nc2c1CN3CCOCC3)c4ccccc4,CHEMBL2013200,7.4,pIC50
O=C(OCc1ccccc1)N2CCC(CNc3ccccn3)CC2,CHEMBL218017,7.43,pKi
FC(F)(F)c1ccc(cc1)C(=N)NCc2cccc(Cl)c2,CHEMBL159558,7.5,pIC50
Oc1ccc2[nH]c(nc2c1CNC3CCCC3)c4ccccc4,CHEMBL2013198,7.5,pIC50
[O-][S+](CCN1CCC(Cc2ccc(F)cc2)CC1)c3ccc4NC(=O)Oc4c3,CHEMBL219631,7.52,pKi
FC(F)(F)Oc1ccc(cc1)C(=N)NCc2cc(Cl)cc(Cl)c2,CHEMBL161180,7.62,pIC50
COc1cccc(C\N=C(/N)\c2ccc(OC(F)(F)F)cc2)c1,CHEMBL349727,7.64,pKi
O=C(OC1Cc2ccccc2C1)N3CCC(CNc4ncccn4)CC3,CHEMBL221133,7.64,pKi
O=C(OCc1ccccc1)N2CCC(CNc3ncccn3)CC2,CHEMBL435316,7.64,pKi
C(Cc1ccccc1)NC2CCc3ccccc3CC2,CHEMBL3357786,7.7,pKi
CC(C(O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2,CHEMBL305187,7.7,pIC50
Fc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,CHEMBL218275,7.75,pKi
Fc1ccccc1COC(=O)N2CCC(CNc3ncccn3)CC2,CHEMBL221605,7.75,pKi
C(CCc1ccccc1)CNC2CCc3ccccc3CC2,CHEMBL3357787,7.77,pKi
C(CNC1CCc2ccccc2CC1)Cc3ccccc3,CHEMBL296601,7.8,pKi
COc1ccc2C(O)CC(CCc2c1)NCCCc3ccccc3,CHEMBL3357783,7.8,pKi
O=C(OCc1ccccc1)N2CCC(CNc3cnccn3)CC2,CHEMBL220660,7.85,pKi
OC(CN1CCC(Cc2ccc(F)cc2)CC1)c3ccc(Cl)cc3,CHEMBL28564,7.89,pKi
Oc1ccc2[nH]c(nc2c1CN3CCCC3)c4cccc(F)c4F,CHEMBL2013204,7.9,pIC50
C1Cc2ccccc2CCC1N3CCN(CC3)c4ccccc4,CHEMBL3357789,7.92,pKi
O=C(OCc1ccccc1)N2CCC(CNc3ccncc3)CC2,CHEMBL219060,7.98,pKi
COc1ccc2CCC(CCc2c1)NCCCc3ccccc3,CHEMBL3357784,8.0,pKi
C[C@@H]([C@@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2,CHEMBL319706,8.0,pKi
N=C(NCc1ccccc1)\C=C\c2ccccc2,CHEMBL158874,8.05,pKi
Cc1cc(C)cc(C\N=C(/N)\c2ccc(cc2)C(F)(F)F)c1,CHEMBL162080,8.06,pIC50
FC(F)(F)Oc1ccc2C(=N)N(Cc3cccc(Cl)c3)Cc2c1,CHEMBL247718,8.1,pKi
Oc1ccc2[nH]c(nc2c1CN3CCCC3)c4ccccc4,CHEMBL2013197,8.1,pIC50
Oc1ccc2[nH]c(nc2c1CN3CCCCC3)c4ccccc4,CHEMBL2013195,8.1,pIC50
Oc1ccc2[nH]c(nc2c1CN3CCCCCC3)c4ccccc4,CHEMBL2013196,8.1,pIC50
CC(C)c1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,CHEMBL386184,8.11,pKi
[O-][N+](=O)c1ccc2CCC(CCc2c1)NCc3ccccc3,CHEMBL3735173,8.12,pKi
C1CN(CCC1c2ccccc2)C3CCc4ccccc4CC3,CHEMBL3357788,8.16,pKi
C1C[C@@H](CC[C@H]1NC2CCc3ccccc3CC2)c4ccccc4,CHEMBL3357792,8.24,pKi
COc1ccccc1C\N=C(/N)\c2ccc(OC(F)(F)F)cc2,CHEMBL159560,8.24,pKi
COc1ccc2C(O)CN(CCCCc3ccccc3)CCc2c1,CHEMBL1289403,8.27,pKi
