SMILES,ChEMBL,target,metric
CCn1c(c(C)c2ccccc12)c3ccc(OC)cc3,CHEMBL3104263,5.0,pIC50
N[C@@H](C[C@@H](CC(=C)Cl)C(=O)O)C(=O)O,CHEMBL299449,5.08,pKi
CCCCCC[C@H](C[C@H](N)C(=O)O)C(=O)O,CHEMBL62053,5.14,pKi
N[C@@H](C[C@@H](C\C=C\c1ccc(Br)cc1)C(=O)O)C(=O)O,CHEMBL301915,5.14,pKi
OC(=O)C[C@H]1[C@@H](CN[C@@H]1C(=O)O)C(=C)c2ccccc2,CHEMBL121194,5.16,pKi
CCn1c(cc2cc(OC)ccc12)c3ccccc3,CHEMBL3104262,5.17,pIC50
COc1cccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)c1,CHEMBL305346,5.2,pKi
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CNCCCc4ccccc4)c3)[N+](=O)[O-],CHEMBL429540,5.21,pKi
CCn1c(c(C)c2cc(OC)ccc12)c3ccccc3,CHEMBL3104264,5.22,pIC50
CSc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1,CHEMBL300368,5.22,pKi
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(c3)C(=O)O)[N+](=O)[O-],CHEMBL293613,5.24,pKi
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)c2ccccc2)C(=O)O)C(=O)O,CHEMBL292896,5.25,pKi
C\C=C/C[C@H](C[C@H](N)C(=O)O)C(=O)O,CHEMBL61307,5.27,pKi
N[C@@H](C[C@@H](C\C=C\c1ccc(Cl)cc1)C(=O)O)C(=O)O,CHEMBL58590,5.33,pKi
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)C#N)C(=O)O)C(=O)O,CHEMBL293829,5.35,pKi
Cc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1,CHEMBL292745,5.36,pKi
N[C@@H](C[C@@H](C\C=C\c1cccc2ccccc12)C(=O)O)C(=O)O,CHEMBL61751,5.36,pKi
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CN4CCN(Cc5ccccc5)CC4)c3)[N+](=O)[O-],CHEMBL63861,5.39,pKi
N[C@@H](C[C@@H](C\C=C\c1ccc(Cl)c(Cl)c1)C(=O)O)C(=O)O,CHEMBL293118,5.4,pKi
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3cccc3)[N+](=O)[O-],CHEMBL268284,5.41,pKi
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)[N+](=O)[O-])C(=O)O)C(=O)O,CHEMBL60168,5.42,pKi
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CN4CCC(CC4)c5ccccc5)c3)[N+](=O)[O-],CHEMBL416685,5.44,pKi
C\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O,CHEMBL294139,5.49,pKi
OC(=O)C[C@H]1[C@@H](CN[C@@H]1C(=O)O)C(=C)c2cccc(c2)c3ccccc3,CHEMBL121510,5.51,pKi
CC\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O,CHEMBL304434,5.53,pKi
N[C@@H](C[C@@H](C\C=C\Cl)C(=O)O)C(=O)O,CHEMBL60406,5.54,pKi
C\C=C(\C[C@H](N)C(=O)O)/C(=O)O,CHEMBL52514,5.6,pKi
CCC[C@H](C[C@H](N)C(=O)O)C(=O)O,CHEMBL61997,5.61,pKi
OC(=O)C[C@H]1[C@H](CN[C@@H]1C(=O)O)C(=C)c2cccc(OCCC(c3ccccc3)c4ccccc4)c2,CHEMBL330771,5.62,pKi
CC(=C)c1ccc(cc1)C(=C)[C@@H]2CN[C@@H]([C@H]2CC(=O)O)C(=O)O,CHEMBL332126,5.64,pKi
N[C@@H](C[C@@H](CC=C)C(=O)O)C(=O)O,CHEMBL62057,5.74,pKi
