SMILES,ChEMBL,target,metric
C(Cc1nnc(s1)c2ccc3[nH]cnc3c2)c4ccc5OCOc5c4,CHEMBL2418776,6.0,pIC50
C(Sc1oc(nn1)c2ccc3[nH]cnc3c2)c4ccncc4,CHEMBL2418785,6.0,pKi
COc1ccc(cc1OC)\N=C(/S)\CCCCn2ccnc2,CHEMBL382344,6.0,pKi
COc1cccc(CCn2cc(nn2)c3ccc4[nH]cnc4c3)c1,CHEMBL2418783,6.0,pIC50
Cc1cn(CCCN2C(=S)Nc3sc(C)c(c4ccccc4)c3C2=O)cn1,CHEMBL3703774,6.01,pKi
S=C(NCCCn1ccnc1)Nc2ccc(OCc3ccccc3)cc2,CHEMBL201574,6.01,pKi
Cc1cn(CCCN2C(=S)Nc3sc4CCCCCc4c3C2=O)cn1,CHEMBL3703772,6.02,pKi
C(Oc1ccccc1)c2oc(nn2)c3ccc4[nH]cnc4c3,CHEMBL2418798,6.03,pKi
CCOc1ccc(N\C(=N\CCCn2ccnc2)\S)cc1,CHEMBL201039,6.05,pKi
O=C1N(CCCn2ccnc2)C(=S)Nc3sc4CCCCCCc4c13,CHEMBL3703781,6.05,pKi
S=C1Nc2sc3CCCCCCc3c2CN1CCCn4ccnc4,CHEMBL574137,6.05,pKi
O=C1NCC(N1c2ccn3ccnc3c2)c4ccc(cc4)c5ccccc5,CHEMBL3659479,6.06,pIC50
CC(C)c1ccc(N\C(=N\C#N)\NCCCn2ccnc2)cc1,CHEMBL565716,6.08,pKi
Cc1cncn1CCCNC(=S)Nc2ccc3CCCC(O)c3c2,CHEMBL2392799,6.09,pIC50
O=C1NC(=O)C2(Cc3ccccc3C2)N1c4ccc5[nH]cnc5c4,CHEMBL3677294,6.09,pIC50
Cc1cncn1CCCNC(=S)Nc2ccc3CCCC(=O)c3c2,CHEMBL2392797,6.1,pIC50
C(Sc1oc(nn1)c2ccc3[nH]cnc3c2)c4ccccc4,CHEMBL2418792,6.11,pKi
COc1ccc(CCn2cc(nn2)c3ccc4[nH]cnc4c3)cc1OC,CHEMBL2418784,6.11,pIC50
COc1ccc(N\C(=N\C[C@H](C)Cn2ccnc2)\S)cc1OC,CHEMBL201139,6.12,pKi
Cc1cncn1CCCNC(=S)Nc2ccc3cccnc3c2,CHEMBL2392779,6.12,pIC50
COc1cc(N\C(=N\CCCn2ccnc2)\S)cc(OC)c1,CHEMBL383660,6.13,pKi
O=C1NC(=O)N(C1c2ccccc2)c3ccc4[nH]cnc4c3,CHEMBL3677281,6.13,pIC50
COc1ccc(CCc2nnc(s2)c3ccc4[nH]cnc4c3)cc1OC,CHEMBL2418773,6.14,pIC50
COc1ccc(CCc2oc(nn2)c3ccc4[nH]cnc4c3)c(OC)c1,CHEMBL2418802,6.15,pKi
Cc1cncn1CCCNC(=S)Nc2ccc3c(c2)ncn3C,CHEMBL2392806,6.15,pIC50
Fc1ccc(CCc2oc(nn2)c3ccc4[nH]cnc4c3)c(F)c1,CHEMBL2418769,6.15,pKi
COc1ccc(N\C(=N\C#N)\NCCCn2ccnc2)cc1,CHEMBL579184,6.16,pKi
COc1ccc(N\C(=N\CCCn2ccnc2)\S)cc1,CHEMBL201092,6.16,pKi
COc1cccc(CCc2nnc(s2)c3ccc4[nH]cnc4c3)c1OC,CHEMBL2418775,6.16,pIC50
O=C1CNC(=S)N1CCCn2ccnc2,CHEMBL201537,6.16,pKi
Cc1cn(CCCN2C(=S)Nc3sc(C)c(C)c3C2=O)cn1,CHEMBL3703767,6.17,pKi
COc1ccc(CCc2nnc(s2)c3ccc4[nH]cnc4c3)c(OC)c1,CHEMBL2418774,6.19,pKi
C(Cc1oc(nn1)c2ccc3[nH]cnc3c2)c4ccccc4,CHEMBL2418797,6.2,pKi
COc1ccc(CCn2cc(nn2)c3ccc4[nH]cnc4c3)cc1,CHEMBL2418782,6.2,pIC50
Cc1cn(CCCN2C(=S)Nc3sc4CCCCCCc4c3C2=O)cn1,CHEMBL3703773,6.2,pKi
Cc1cn(CCCN2C(=S)Nc3sc(Cc4ccccc4)cc3C2=O)cn1,CHEMBL3703775,6.21,pKi
N#C\N=C(/NCCCn1ccnc1)\Nc2ccc3OCCOc3c2,CHEMBL567615,6.21,pKi
O=C1N(CCCn2ccnc2)C(=S)Nc3sc4CCCc4c13,CHEMBL3703780,6.21,pKi
S=C1Nc2sc3CCCc3c2CN1CCCn4ccnc4,CHEMBL565695,6.21,pKi
C(Sc1oc(nn1)c2ccc3[nH]cnc3c2)c4ccc5ccccc5c4,CHEMBL2418793,6.22,pKi
COc1ccc(N\C(=C\[N+](=O)[O-])\NCCCn2ccnc2)cc1OC,CHEMBL582920,6.22,pKi
