SMILES,ChEMBL,target,metric
CN(C)CCNC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360517,6.13,pIC50
OCCNC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360516,6.39,pIC50
[O-][N+](=O)c1ccc(Sc2ccc(cc2)C(=O)NOC3CCCCO3)c4nonc14,CHEMBL3360514,6.52,pIC50
OC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360508,6.64,pIC50
NC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360510,6.7,pIC50
CN(C)C(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360512,6.72,pIC50
CCOC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360509,6.85,pIC50
CONC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360513,6.89,pIC50
OC(=O)c1cccc(Sc2ccc(c3nonc23)[N+](=O)[O-])c1,CHEMBL3360507,7.1,pIC50
CC(=O)NCCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360525,7.16,pIC50
OCC(O)CSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360533,7.16,pIC50
OCCNC(=O)CCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360526,7.22,pIC50
ONC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360511,7.3,pIC50
CC(C)(C)Sc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360532,7.4,pIC50
[O-][N+](=O)c1ccc(SCCN2CCC(=O)CC2)c3nonc13,CHEMBL3360527,7.4,pIC50
[O-][N+](=O)c1ccc(Sc2ccccc2)c3nonc13,CHEMBL2430537,7.4,pIC50
COC(=O)CCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360524,7.52,pIC50
CONC(=O)c1ccc(CCSc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360523,7.52,pIC50
OCCCCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360534,7.52,pIC50
[O-][N+](=O)c1ccc(SCCC(=O)N2CCC(=O)CC2)c3nonc13,CHEMBL3360528,7.52,pIC50
OC(=O)CCc1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360519,7.7,pIC50
[O-][N+](=O)c1ccc(SCCc2ccccc2)c3nonc13,CHEMBL3360504,7.7,pIC50
[O-][N+](=O)c1ccc(SCc2ccccc2)c3nonc13,CHEMBL2430532,7.7,pIC50
[O-][N+](=O)c1ccc(Sc2ccc(CCC(=O)NOCc3ccccc3)cc2)c4nonc14,CHEMBL3360520,7.7,pIC50
[O-][N+](=O)c1ccc(Sc2ccc(cc2)C(=O)NOCc3ccccc3)c4nonc14,CHEMBL3360515,7.7,pIC50
OC(=O)Cc1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360518,8.0,pIC50
OCCCCCCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL1234570,8.0,pIC50
[O-][N+](=O)c1ccc(SCCCc2ccccc2)c3nonc13,CHEMBL3360505,8.0,pIC50
COC(=O)C(CSc1ccc(c2nonc12)[N+](=O)[O-])NC(=O)OCc3ccccc3,CHEMBL3360530,8.1,pIC50
CCOC(=O)c1ccc(CSc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360521,8.16,pIC50
OC(=O)c1ccc(CSc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3352898,8.22,pIC50
OCCCCCCCCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360535,8.22,pIC50
COC(=O)C(CSc1ccc(c2nonc12)[N+](=O)[O-])NC(=O)OC(C)(C)C,CHEMBL3360529,8.3,pIC50
[O-][N+](=O)c1ccc(SCC2CCCCC2)c3nonc13,CHEMBL3360531,8.3,pIC50
[O-][N+](=O)c1ccc(SCc2ccc(cc2)C(=O)NOCc3ccccc3)c4nonc14,CHEMBL3360522,8.52,pIC50
