SMILES,ChEMBL,target,metric
CCC(=C)C(=O)c1ccc(OCC(=O)NCc2cc(CNC(=O)COc3ccc(C(=O)C(=C)CC)c(Cl)c3Cl)cc(c2)C(=O)N)c(Cl)c1Cl,CHEMBL212097,6.0,pIC50
CN(C)CCNC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360517,6.0,pIC50
[O-][N+](=O)c1ccc(SCc2ccccc2)c3nonc13,CHEMBL2430532,6.0,pIC50
[O-][N+](=O)c1ccc(Sc2ccc(cc2)C(=O)NOCc3ccccc3)c4nonc14,CHEMBL3360515,6.0,pIC50
CCCCCCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NC(C(=O)O)c1ccccc1,CHEMBL58507,6.07,pKi
NC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360510,6.1,pIC50
OCCCCCCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL1234570,6.1,pIC50
CCC(=C)C(=O)c1ccc(OCC(=O)NCC(=O)NCc2cc(CNC(=O)CNC(=O)COc3ccc(C(=O)C(=C)CC)c(Cl)c3Cl)cc(c2)C(=O)N)c(Cl)c1Cl,CHEMBL212685,6.15,pIC50
CC(=C)C(=O)c1ccc(OCc2onc(n2)c3ccc(F)cc3)cc1Cl,CHEMBL582973,6.16,pIC50
CC(=C)C(=O)c1ccc(OCc2onc(n2)c3ccc(cc3)C(F)(F)F)cc1Cl,CHEMBL570107,6.16,pIC50
CCOC(=O)c1ccc(CSc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360521,6.16,pIC50
OC(=O)CCc1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360519,6.16,pIC50
NC(CCC(=O)NC(CSC(C(=O)O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL195934,6.18,pKi
CCC(=C)C(=O)c1ccc(OCC(=O)NCCCC(=O)NCc2cc(CNC(=O)CCCNC(=O)COc3ccc(C(=O)C(=C)C)c(Cl)c3Cl)cc(c2)C(=O)N)c(Cl)c1Cl,CHEMBL211916,6.21,pIC50
CC(=C)C(=O)c1ccc(OCc2onc(n2)c3ccccc3)cc1Cl,CHEMBL565458,6.22,pIC50
CN(C)C(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360512,6.22,pIC50
COC(=O)C(CSc1ccc(c2nonc12)[N+](=O)[O-])NC(=O)OC(C)(C)C,CHEMBL3360529,6.22,pIC50
[O-][N+](=O)c1ccc(Sc2ccccc2)c3nonc13,CHEMBL2430537,6.22,pIC50
CONC(=O)c1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360513,6.3,pIC50
OCCCCCCCCSc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360535,6.3,pIC50
[O-][N+](=O)c1ccc(SCCCc2ccccc2)c3nonc13,CHEMBL3360505,6.3,pIC50
NC(CCC(=O)NC(CSCC(O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL197460,6.31,pKi
NC(CCC(=O)NC(CSCc1ccccc1)C(=O)NC(C(=O)O)c2ccccc2)C(=O)O,CHEMBL58951,6.38,pKi
COC(=O)C(CSc1ccc(c2nonc12)[N+](=O)[O-])NC(=O)OCc3ccccc3,CHEMBL3360530,6.4,pIC50
OC(=O)Cc1ccc(Sc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360518,6.4,pIC50
CC(C)(C)Sc1ccc(c2nonc12)[N+](=O)[O-],CHEMBL3360532,6.52,pIC50
[O-][N+](=O)c1ccc(SCC2CCCCC2)c3nonc13,CHEMBL3360531,6.52,pIC50
[O-][N+](=O)c1ccc(SCCc2ccccc2)c3nonc13,CHEMBL3360504,6.7,pIC50
[O-][N+](=O)c1ccc(SCc2ccc(cc2)C(=O)NOCc3ccccc3)c4nonc14,CHEMBL3360522,6.7,pIC50
CCC(=C)C(=O)c1ccc(OCC(=O)NCCCC(=O)NCCCC(=O)NCCCC(=O)NCc2cc(CNC(=O)CCCNC(=O)CCCNC(=O)CCCNC(=O)COc3ccc(C(=C)CC)c(Cl)c3Cl)cc(c2)C(=O)N)c(Cl)c1Cl,CHEMBL216505,6.85,pIC50
NC(CCC(=O)NC(CSCc1ccc(Cl)cc1)C(=O)NC(C(=O)O)c2ccccc2)C(=O)O,CHEMBL442360,6.92,pKi
CONC(=O)c1ccc(CCSc2ccc(c3nonc23)[N+](=O)[O-])cc1,CHEMBL3360523,7.0,pIC50
[O-][N+](=O)c1ccc(Sc2ccc(CCC(=O)NOCc3ccccc3)cc2)c4nonc14,CHEMBL3360520,7.0,pIC50
CCC(=C)C(=O)c1ccc(OCC(=O)NCCCCCC(=O)NCc2cc(CNC(=O)CCCCCNC(=O)COc3ccc(C(=O)C(=C)C)c(Cl)c3Cl)cc(c2)C(=O)N)c(Cl)c1Cl,CHEMBL209755,7.34,pIC50
CCC(=C)C(O)c1ccc(OCC(=O)NCCCCCCCC(=O)NCc2cc(CNC(=O)CCCCCCCCNC(=O)COc3ccc(C(=O)C(=C)CC)c(Cl)c3Cl)cc(c2)C(=O)N)c(Cl)c1Cl,CHEMBL379437,7.51,pIC50
