SMILES,ChEMBL,target,metric
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)NCCC(=O)O,CHEMBL306449,6.24,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)NCc4onc(O)c4,CHEMBL305418,6.44,pKi
CC[C@H](C)[C@H](NC(=O)C)C(=O)NC1=CC=CN(CC(=O)N[C@@H](CC(=O)O)C=O)C1=O,CHEMBL69482,6.88,pKi
CC[C@H](C)[C@H](NC(=O)C)C(=O)N[C@H]1CC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H](CC(=O)O)C=O,CHEMBL71937,6.91,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@@H](CC(=O)O)C(=O)c4nc5ccccc5s4,CHEMBL69027,7.07,pKi
CC[C@H](C)[C@H](NC(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@@H](CC(=O)O)C(=O)c4nc5ccccc5s4,CHEMBL436855,7.07,pKi
CC(C)[C@@H](C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)NCc4cn[nH]n4)c5ccccn5,CHEMBL304727,7.13,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)NCc4nn[nH]n4,CHEMBL303944,7.13,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)NCc4cn[nH]n4,CHEMBL306381,7.42,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@@H](CC(=O)O)C(=O)C(=O)OC,CHEMBL303031,7.8,pKi
CC[C@H](C)[C@H](NC(=O)Cc1ccccc1)C(=O)N[C@H]2CCc3cccc4C[C@H](N(C2=O)c34)C(=O)NCc5cn[nH]c5,CHEMBL71493,7.89,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@H](C=O)C(=O)O,CHEMBL304368,8.1,pKi
CC[C@H](C)[C@H](NC(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@@H](CC(=O)O)C=O,CHEMBL428244,8.1,pKi
CC[C@H](C)[C@H](N(C)C(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@@H](CC(=O)O)C(=O)c4oc(nn4)c5ccccc5,CHEMBL71654,8.16,pKi
CC[C@H](C)[C@H](NC(=O)C)C(=O)N[C@H]1CCc2cccc3C[C@H](N(C1=O)c23)C(=O)N[C@@H](CC(=O)O)C(=O)c4oc(nn4)c5ccccc5,CHEMBL255387,8.16,pKi
CC[C@H](C)[C@H](NC(=O)Cc1csc2ccccc12)C(=O)N[C@H]3CCc4cccc5C[C@H](N(C3=O)c45)C(=O)NCc6cn[nH]c6,CHEMBL306860,8.16,pKi
