SMILES,ChEMBL,target,metric
CCCCCCCCCCCCCCOC(COCCCCCCCCCC)COc1ccc(cc1)C2=NOC(=O)N2,CHEMBL220842,6.0,pIC50
COc1ccc2nc(Oc3ccccc3)cc(CC(=O)N)c2c1,CHEMBL43502,6.0,pIC50
CCCCCCCCCCCCCCCCCCOC(COCc1ccc(cc1)C#N)COc2ccc(CC3=NOC(=O)N3)cc2,CHEMBL223880,6.05,pIC50
Cc1cc(c(C)s1)c2cc(nn2C)C(=O)N,CHEMBL3337983,6.07,pIC50
Cc1sc2ccccc2c1c3cc(nn3C)C(=O)N,CHEMBL3337982,6.07,pIC50
CCCCCC\C=C\CC(=O)N[C@H](CSc1ccc2ccccc2c1)CC(=O)O,CHEMBL152031,6.1,pIC50
Cc1sccc1c2cc(n[nH]2)C(=O)N,CHEMBL3337979,6.2,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccc(Cl)cc3)cccc2n1Cc4ccccc4,CHEMBL514846,6.27,pIC50
NC(=O)c1cc([nH]n1)c2cc(Cl)sc2Cl,CHEMBL3337978,6.4,pIC50
CCCCCC\C=C\CC(=O)N[C@@H](CCC(=O)O)CSc1ccc2ccccc2c1,CHEMBL152402,6.42,pIC50
Cc1sc(cc1c2cc(n[nH]2)C(=O)N)c3ccccc3,CHEMBL3337977,6.46,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccc(C)cc3)cccc2n1Cc4ccccc4,CHEMBL475071,6.5,pIC50
Cc1cc(c(C)s1)c2cc(n[nH]2)C(=O)N,CHEMBL3337972,6.5,pIC50
CCCCCCCCCCCC(=O)c1c(O)c(C2CC(Oc3cc(O)ccc23)c4ccc(O)cc4)c(O)c(C(=O)CCCCCCCCCCC)c1O,CHEMBL444450,6.7,pIC50
Cc1sc2ccccc2c1c3cc(n[nH]3)C(=O)N,CHEMBL3337976,6.76,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3cccc(Cl)c3)cccc2n1Cc4ccccc4,CHEMBL477157,6.85,pIC50
CCCCCC\C=C\CC(=O)N[C@H](CSc1ccc(Cc2ccccc2)cc1)CC(=O)O,CHEMBL152921,6.92,pIC50
CCc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL148674,6.97,pIC50
CCc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cc4ccccc4c2n1Cc5ccccc5,CHEMBL446349,7.05,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OC(C)C(=O)NS(=O)(=O)c3ccccc3)cccc2n1Cc4ccccc4,CHEMBL477156,7.1,pIC50
CCc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cc(C)cc2n1Cc3ccccc3,CHEMBL208315,7.13,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3C(F)(F)F)cccc2n1Cc4ccccc4,CHEMBL477794,7.16,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cccc2n1Cc3ccccc3,CHEMBL504813,7.3,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)C(F)(F)F)cccc2n1Cc3ccccc3,CHEMBL477549,7.52,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cc4ccccc4c2n1Cc5ccccc5,CHEMBL506485,7.52,pIC50
CCc1c(C(=O)C(=O)N)c2c(OC(C)C(=O)O)cccc2n1Cc3ccccc3,CHEMBL148649,7.66,pIC50
CCc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cc3ccccc3c2n1Cc4ccccc4,CHEMBL515637,7.7,pIC50
CCc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cccc2n1Cc4ccccc4,CHEMBL514692,7.82,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3Cl)cccc2n1Cc4ccccc4,CHEMBL474874,7.85,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)c3ccccc3C)cccc2n1Cc4ccccc4,CHEMBL514656,7.96,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)O)cc3ccccc3c2n1Cc4ccccc4,CHEMBL514705,8.0,pIC50
CC(C)Cc1c(C(=O)C(=O)N)c2c(OCC(=O)NS(=O)(=O)C)cccc2n1Cc3ccccc3,CHEMBL477548,8.16,pIC50
