SMILES,ChEMBL,target,metric
CCCCc1cc(cc2CCNC(=O)c12)n3cc(C)c4C(=O)CC(C)(C)Cc34,CHEMBL3235357,6.0,pIC50
CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc3c(N)ncnc13,CHEMBL113690,6.0,pIC50
CN(Cc1ccc(CNS(=O)(=O)C)cc1)C(=O)c2cc3c(Cc4cccc(Cl)c4)n[nH]c3cc2O,CHEMBL2042883,6.0,pIC50
CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,CHEMBL109480,6.0,pEC50
CO[C@H]1C[C@H](C)CC2=C(NCCN3CCC3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1OC)\C)\C)C2=O,CHEMBL448261,6.0,pKd
CO[C@H]1C[C@H](C)CC2=C(NCCN3CCCC3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1OC)\C)\C)C2=O,CHEMBL506191,6.0,pKd
CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,CHEMBL278315,6.0,pKd
CC(C)(C)c1ccccc1N2CCN(CC(O)COCCOc3ccc(Br)cc3)CC2,CHEMBL3126062,6.01,pIC50
CN(Cc1ccc(Cl)c(F)c1)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O,CHEMBL2042864,6.01,pIC50
COc1cccc(CN(C)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O)c1,CHEMBL2042905,6.01,pIC50
CCCc1ccc(OCCOCC(O)CN2CCN(CC2)c3ccccc3C(C)(C)C)cc1,CHEMBL3126082,6.02,pIC50
CN1CCc2c(C1)n(c3CC(C)(C)CC(=O)c23)c4ccc(C(=O)N)c(NCC(C)(C)C)c4,CHEMBL3235344,6.03,pIC50
CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,CHEMBL383824,6.03,pIC50
Oc1cc(O)c(cc1Cl)C(=O)N2CCc3nc(ncc3C2)N4CCN(CC4)c5ncccn5,CHEMBL3235856,6.03,pIC50
CCc1ccc(OCCOCC(O)CN2CCN(CC2)c3ccccc3C(C)(C)C)cc1,CHEMBL3126058,6.04,pIC50
CCOc1ccc(cc1)c2c(C#N)c(N)nc3sc(C(=O)N)c(N)c23,CHEMBL554496,6.05,pIC50
CN(Cc1ccccc1F)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O,CHEMBL2042896,6.05,pIC50
Cc1ccc(cc1)c2nc(N)nc3ccc(Cl)cc23,CHEMBL2042887,6.05,pIC50
Nc1cc(ccn1)C(=O)NC2c3ccccc3c4c2cccc4c5nc6cnccc6[nH]5,CHEMBL1917729,6.05,pIC50
Cc1ccc(OCCOCC(O)CN2CCN(CC2)c3ccccc3C(C)(C)C)cc1,CHEMBL3126079,6.06,pIC50
CN(Cc1ccc(F)cc1)C(=O)c2cc3c(Cc4cccc(Cl)c4)n[nH]c3cc2O,CHEMBL2042879,6.1,pIC50
CO[C@H]1C[C@H](C)CC2=C(NCCF)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,CHEMBL421647,6.1,pKd
CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1OC)\C)\C)C2=O,CHEMBL506415,6.1,pKd
CO[C@H]1C[C@H](C)CC2=C(NCCc3c[nH]cn3)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O,CHEMBL501133,6.1,pKd
COc1ccc(CN(C)C(=O)c2cc3c(Cc4cccc(Cl)c4)n[nH]c3cc2O)cc1,CHEMBL2042880,6.1,pIC50
CN(Cc1ccccc1Br)C(=O)c2cc3c(Cc4cccc(C)c4)n[nH]c3cc2O,CHEMBL2042760,6.11,pIC50
CCOc1ccc(CN(C)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O)cc1,CHEMBL2042861,6.12,pIC50
CC(C)(C)c1ccccc1N2CCN(CC(O)COCCOc3ccc(Cl)cc3)CC2,CHEMBL3126076,6.13,pIC50
CCNC(=O)c1noc(c2cc(C(C)C)c(O)cc2O)c1C#Cc3ccc(cc3)C(C)(C)C,CHEMBL3600495,6.13,pIC50
CN(Cc1ccccc1C)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O,CHEMBL2042899,6.13,pIC50
CS(=O)(=O)c1ccc(CN2CCN(CC2)c3cn[nH]c3c4cc(Cl)c(O)cc4O)cc1,CHEMBL208239,6.13,pIC50
CCNC(=O)c1cc2c(nc(N)nc2s1)c3ccc(Cl)cc3,CHEMBL554503,6.14,pIC50
COCCNc1cc(ccc1C(=O)N)n2c3CN(C)CCc3c4C(=O)CC(C)(C)Cc24,CHEMBL3235337,6.14,pIC50
COc1ccc(CN(C)C(=O)c2cc3c(Cc4cccc(Cl)c4)n[nH]c3cc2O)cc1OC,CHEMBL2042881,6.14,pIC50
Cc1cn(c2CC(C)(C)CC(=O)c12)c3ccc4c(N)nc(C)nc4c3,CHEMBL2011845,6.14,pIC50
CN(Cc1cccc(F)c1)C(=O)c2cc3c(Cc4cccc(Cl)c4)n[nH]c3cc2O,CHEMBL2042878,6.15,pIC50
Cc1cn(c2CC(C)(C)CC(=O)c12)c3ccc4cnc(N)nc4c3,CHEMBL2011853,6.15,pIC50
Nc1nc2c3ccc(F)cc3nc(Cc4ccc5OCOc5c4)n2n1,CHEMBL3309988,6.16,pKi
Oc1ccc(NS(=O)(=O)c2cc(Cl)ccc2Cl)cc1c3c(O)ccc4ccccc34,CHEMBL371915,6.16,pIC50
CC(C)c1cc(c(O)cc1O)c2nnc(Nc3ccc4ncccc4c3)n2c5ccc6c(ccn6C)c5,CHEMBL3686076,6.17,pIC50
CCc1cc(c(O)cc1O)c2n[nH]c(C(=O)O)c2c3ccc4OCOc4c3,CHEMBL178130,6.17,pKd
COc1cc(CN(C)C(=O)c2cc3c(Cc4cccc(C)c4)n[nH]c3cc2O)ccc1Cl,CHEMBL2042765,6.17,pIC50
CN(Cc1ccccc1)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O,CHEMBL2042893,6.18,pIC50
COc1cc(Cc2nc3c(N)nc(F)nc3n2CCCC#C)c(Cl)c(OC)c1OC,CHEMBL112953,6.18,pIC50
CSc1nc(c2ccc(Cl)cc2C)c3nc[nH]c3n1,CHEMBL2158635,6.18,pKi
Cc1cn(c2CC(C)(C)CC(=O)c12)c3ccc4c(N)ncnc4c3F,CHEMBL2011847,6.18,pIC50
NCCNc1cc(F)cc2nc(Cc3ccc4OCOc4c3)n5nc(N)nc5c12,CHEMBL3310155,6.18,pKi
COc1ccc(OCCOCC(O)CN2CCN(CC2)c3ccccc3C(C)(C)C)cc1,CHEMBL3126081,6.19,pIC50
CC(C)c1cc(c(O)cc1O)c2onc(C(=O)N)c2C#CCN3CCOCC3,CHEMBL3600434,6.2,pIC50
CN(Cc1ccc(C)cc1)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O,CHEMBL2042859,6.2,pIC50
COc1nc(c2ccc(F)cc2C)c3c(c[nH]c3n1)C#N,CHEMBL2158622,6.2,pKi
CCNC(=O)c1noc(c1NC2CCCCC2)c3cc(Cl)c(O)cc3O,CHEMBL1941082,6.21,pIC50
CN(C(=O)c1cc2c(Cc3ccccc3)n[nH]c2cc1O)c4occc4,CHEMBL2042894,6.22,pIC50
CN(Cc1ccccc1Br)C(=O)c2cc3c(Cc4ccccc4)n[nH]c3cc2O,CHEMBL2042898,6.22,pIC50
Oc1cc(O)c(cc1Cl)c2n[nH]cc2N3CCN(Cc4ccccc4)CC3,CHEMBL251974,6.22,pIC50
