SMILES,ChEMBL,target,metric
COc1ccccc1c2csc(Nc3ccc(cc3)C(=O)O)n2,CHEMBL264951,6.0,pIC50
FC(F)(F)CN1CCC(CC1)NC(=O)c2ccc(nc2)N3CCNC(=O)C3,CHEMBL3425965,6.0,pKd
NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c3ccc(cc3)c4cccc(O)c4,CHEMBL1215370,6.0,pIC50
O=C(CCN1CCCCC1)Nc2cncc(c2)c3cccc4[nH]ccc34,CHEMBL3425957,6.0,pKd
o1nc(cc1c2cc[nH]n2)c3ccccc3,CHEMBL265720,6.04,pIC50
NCc1ccc2ccccc2c1c3ccc(cc3)C(=O)NCCN4CCOCC4,CHEMBL2035656,6.07,pIC50
CN(C)CCCC(=O)Nc1cncc(c1)c2cccc3[nH]ccc23,CHEMBL3425950,6.09,pIC50
NC(=O)c1ccc(nc1)c2cccc(F)c2,CHEMBL3425970,6.1,pKd
O=C(Nc1ccc(cc1)N2CCC(CC2)C(=O)N3CCOCC3)N4CCN(CC4)C(=O)c5ccsc5,CHEMBL3650218,6.14,pIC50
Oc1cccc(c1)c2ccc(s2)C(=O)NC(c3ccccc3)c4ccccc4,CHEMBL1215159,6.16,pIC50
c1ccc(cc1)c2ncc(s2)c3cc[nH]n3,CHEMBL261777,6.16,pIC50
Oc1ccc2ccccc2c1c3ccc(cc3)C(=O)NCCN4CCOCC4,CHEMBL2035654,6.18,pIC50
COCCCNC(=O)c1onc(n1)c2cccc3[nH]ccc23,CHEMBL3425952,6.19,pKd
C1CCC(C1)Nc2ncnc3[nH]ccc23,CHEMBL3134492,6.3,pIC50
CCNC(=O)N1Cc2cc(cnc2C1)c3c[nH]nc3C4CC4,CHEMBL3132878,6.3,pIC50
CN(C)CCC(=O)Nc1cncc(c1)c2cccc3[nH]ccc23,CHEMBL3425951,6.34,pIC50
O=C(NC1CCN(CC1)c2ccc(cc2)C(=O)NCCN3CCOCC3)N4CCN(CC4)C(=O)c5occc5,CHEMBL3698273,6.35,pIC50
O=C(Nc1ccc(cc1)N2CCC(CC2)C(=O)N3CCOCC3)N4CCN(CC4)C(=O)c5ccccc5,CHEMBL3650224,6.36,pIC50
FC(F)(F)CN1CCC(CC1)NC(=O)c2ccc(nc2)C3=CC=CC(=O)N3,CHEMBL3425968,6.4,pKd
FC(F)(F)CN1CCC(CC1)NC(=O)c2ccc(nc2)N3CCOCC3,CHEMBL3425963,6.4,pKd
O=C(Nc1ccc(cc1)N2CCC(CC2)C(=O)N3CCOCC3)N4CCN(CC4)C(=O)c5cccs5,CHEMBL3650217,6.47,pIC50
O=C(NC1CCN(CC1)c2ccc(cc2)C(=O)NCCN3CCOCC3)N4CCN(CC4)C(=O)c5ccc[nH]5,CHEMBL3698268,6.48,pIC50
O=C(NC1CCN(CC1)c2ccc(cc2)C(=O)NCCN3CCOCC3)N4CCN(CC4)C(=O)c5ccsc5,CHEMBL3698272,6.49,pIC50
COc1ccc2nc(NC(=O)N3CCN(CC3)C(=O)c4cccc(F)c4)sc2c1,CHEMBL3650196,6.5,pIC50
O=C(NC1CCCC1)N2Cc3cc(cnc3C2)c4c[nH]nc4C5CC5,CHEMBL3134496,6.5,pIC50
O=C(Nc1cncc(c1)c2cccc3[nH]ccc23)[C@@H]4CCC(=O)N4,CHEMBL3425955,6.52,pKd
O=C(Nc1ccc(cc1)N2CCN(CC2)C(=O)N3CCOCC3)c4cnc(Oc5ccccc5)nc4,CHEMBL2035649,6.55,pIC50
O=C(NCCN1CCOCC1)c2ccc(cc2)c3ccccn3,CHEMBL2035652,6.56,pIC50
Cc1ccc2nc(NC(=O)N3CCN(CC3)C(=O)c4cccc(F)c4)sc2c1,CHEMBL3650195,6.59,pIC50
