SMILES,ChEMBL,target,metric
COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC,cabozantinib,8.8860569,pIC50
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,crizotinib,9.26,pKd
COc1ccc2c(Oc3ccc(NC(=O)C4=C(N(C)N(C4=O)c5ccccc5)c6cc(C)on6)nc3)ccnc2c1,CHEMBL2032018,7.53,pIC50
Cc1c(nnn1c2ccc(F)c(Cl)c2)C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3,CHEMBL3774854,7.53,pIC50
CC(CO)O\N=C(/C)\c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1,CHEMBL3651388,7.54,pIC50
CN1CCN(Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3)CC1,CHEMBL447616,7.54,pIC50
COc1cc2c(Oc3ccc(NC(=O)N\N=C\c4ccccc4)cc3F)ccnc2cc1OCCCN5CCCCC5,CHEMBL2419657,7.54,pIC50
COc1cc2c(Oc3ccc(cc3F)C4=CN=C(Cc5ccccc5)N(C)C4=O)ccnc2cc1OCCCn6cncn6,CHEMBL502331,7.54,pKi
COc1ccc2c(Oc3ccc(NC(=O)C4=C(CNC(=O)OC(C)(C)C)N(C)N(C4=O)c5ccccc5)cc3F)ccnc2c1,CHEMBL2031904,7.54,pKi
C[C@H](c1ccc2ncccc2c1)c3noc4ncc(cc34)c5cnn(C)c5,CHEMBL3668208,7.54,pKi
C\C(=N/OCC(C)(C)O)\c1cnc2nnn(Cc3cc4cccnc4cc3F)c2n1,CHEMBL3648237,7.54,pIC50
C\C(=N/O[C@@H]1CCNC1)\c2cnc3nnn(Cc4cc5cccnc5cc4F)c3n2,CHEMBL3648239,7.54,pIC50
Cn1cc(cn1)c2cnc3C=Cc4ccc(CS(=O)(=O)NCc5ccccn5)cc4C(=O)c3c2,CHEMBL2323775,7.54,pIC50
Cn1cnc(c1)c2cc3cccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2,CHEMBL1823124,7.54,pIC50
Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2,CHEMBL254760,7.54,pIC50
O=C1NC=Cc2c(Cc3nnc4ccc(nn34)N5CCCCC5)cccc12,CHEMBL1922409,7.54,pIC50
OC(=O)c1ccc2NC(=O)\C(=N/NC(=O)Cc3ccc(O)c(Cl)c3)\c2c1Cl,CHEMBL1822559,7.54,pIC50
Oc1ccc(CC(=O)N\N=C\2/C(=O)Nc3ccc(F)cc23)cc1,CHEMBL1823264,7.54,pIC50
Oc1ccc(Cc2nnc3ccc(nn23)c4ccsc4)cc1,CHEMBL497117,7.54,pIC50
Oc1ccc(Cc2nnc3ccc(nn23)c4occc4)cc1,CHEMBL497119,7.54,pIC50
CC(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5cc(C)c(O)c(C)c5n4.OC(=O)C(F)(F)F,CHEMBL2032296,7.55,pIC50
CC(=O)N\N=C(/N)\c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,CHEMBL3674539,7.55,pIC50
CC1=NC2=C(C(C1[N+]#[C-])c3ccc4n[nH]c(C)c4c3)C(=O)OCC2(C)C,CHEMBL3685753,7.55,pIC50
CCNC(=S)N\N=C(/C)\c1ccc2ncc(Cc3cc4cccnc4cc3F)n2n1,CHEMBL3674491,7.55,pIC50
CC[C@@H](c1ccc2ncc(OC)cc2c1)c3nnc4c(F)cc(cn34)c5onc(C)c5,CHEMBL3414929,7.55,pIC50
CN(C)CCCOc1cnc(nc1)c2cccc(CN3N=C(C=CC3=O)c4cccnc4)c2,CHEMBL3402758,7.55,pIC50
CN(CCN1CCN(C)CC1)Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3,CHEMBL508395,7.55,pIC50
CN(CCN1CCN(N)CC1)Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3,CHEMBL1822005,7.55,pIC50
CN1CCN(CCCNC(=O)c2ccc3\C(=N\NC(=O)Cc4ccc5OCCc5c4)\C(=O)Nc3c2)CC1,CHEMBL1822364,7.55,pIC50
CNC(=O)\C=C\c1cnc2ccc(OC(C)c3c(Cl)ccc(F)c3Cl)cc2c1,CHEMBL598912,7.55,pIC50
CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)C)ncc2Cl,CHEMBL1642144,7.55,pIC50
CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)OCCCN(C)C)ncc2Cl,CHEMBL1642140,7.55,pIC50
CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)C(CC4(C)C)NC(=O)OC)c3)ncc2Cl.OC(=O)C(F)(F)F,CHEMBL1939485,7.55,pIC50
CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)[C@@H](CC4(C)C)NC(=O)COC)c3)ncc2Cl,CHEMBL1939488,7.55,pIC50
COC(=O)CO\N=C(/C)\c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,CHEMBL3648251,7.55,pIC50
COc1cc(N2C(=O)NC(=O)\C(=C/Nc3ccc(Oc4ccnc5cc(OCCCN6CCCCC6)c(OC)cc45)c(F)c3)\C2=O)c(OC)cc1Cl,CHEMBL3116241,7.55,pIC50
COc1cc2c(Oc3ccc(NC(=O)C4=C(C)N(C(=O)N4C)c5ccccc5)cc3F)ccnc2cc1OCCCN6CCC(C)CC6,CHEMBL3593683,7.55,pIC50
COc1ccc2c(Oc3ccc(NC(=O)C4=C(N(C)N(C4=O)c5ccccc5)C(C)(C)N)cc3F)ccnc2c1,CHEMBL2031908,7.55,pKi
C\C(=N/OCCO)\c1ccc2nnc(Cc3cc4cccnc4cc3F)n2n1,CHEMBL3651398,7.55,pIC50
Cc1n[nH]c2ccc(cc12)C3C(=C(NC(=C3[N+]#[C-])c4ccc(F)cc4)C(F)(F)F)C#N,CHEMBL3703574,7.55,pIC50
Cn1cc(cn1)c2cnc(Nc3cccc(CN4N=C(C=CC4=O)c5cccc(c5)S(=O)(=O)C)c3)nc2,CHEMBL3758647,7.55,pIC50
Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N5CC(F)C5)cc4C(=O)c3c2,CHEMBL1802912,7.55,pIC50
Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)C5(CC5)C(=O)Nc6ccccc6)cc4F)c3s2,CHEMBL465131,7.55,pIC50
Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2,CHEMBL464510,7.55,pIC50
Fc1cc(NC(=S)NC(=O)Cc2ccccc2)ccc1Oc3ccnc4cc(sc34)c5nccs5,CHEMBL402550,7.55,pIC50
Nc1ncc(cc1c2oc3cc(ccc3n2)c4cccnc4)c5cnn(c5)C6CCNCC6.OC(=O)C(F)(F)F,CHEMBL2032153,7.55,pIC50
O=C(CCc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cnn(c4)C5CCNCC5)NCc6ccccn6,CHEMBL1615181,7.55,pIC50
O=C1C=CC(=NN1C[C@@H]2CN(CCO2)c3ncc(cn3)c4ccc(OCCN5CCOCC5)cc4)c6cccc(c6)C#N,CHEMBL3335782,7.55,pIC50
COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccccc5F)c6cc(F)ccc6C4=O)cc3F)ccnc2cc1OCCCN7CCOCC7,CHEMBL2385182,7.56,pIC50
COc1ccc(cc1)N2C(=C(N(C)C2=O)C(=O)Nc3ccc(Oc4ccnc5cc(OCCCN6CCN(C)CC6)c(OC)cc45)c(F)c3)C,CHEMBL3593688,7.56,pIC50
CC(C)(C)OC(=O)N1CCC(CC1)n2cc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5c(Cl)nc6sccn56,CHEMBL564440,7.57,pIC50
CC(C)(C)OC(=O)N1CCN(CC1)c2cnc3ccn(c3c2)S(=O)(=O)c4c(Cl)nc5sccn45,CHEMBL550158,7.57,pIC50
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)C(C)(C)N)c3)ncc2Cl,CHEMBL3357447,7.57,pIC50
CCOC1=C(C(=O)Nc2ccc(Oc3ccnc(N)n3)c(F)c2)C(=O)N(C=C1)c4ccc(F)cc4,CHEMBL3260964,7.57,pIC50
CCS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4ccccc4,CHEMBL1802822,7.57,pIC50
CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccc(F)cc6)cc4F)c3s2,CHEMBL464211,7.57,pIC50
CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)N5CCN(C5=O)c6ccc(F)cc6)cc4F)c3s2,CHEMBL3260969,7.57,pIC50
CN(C)S(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cnn(CCCO)c4,CHEMBL1802833,7.57,pIC50
CN(C[C@@H]1COCCO1)S(=O)(=O)Nc2ccc3C=Cc4ncc(cc4C(=O)c3c2)c5cnn(C)c5,CHEMBL1822792,7.57,pKd
CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4c(NC(=O)C(CC4(C)C)NC(=O)COC)c3)ncc2Cl.OC(=O)C(F)(F)F,CHEMBL1939483,7.57,pIC50
CO\N=C(/C)\c1ccc2ncc(Cc3ccc4ncccc4c3)n2n1,CHEMBL3648224,7.57,pIC50
COc1cnc2c(NCc3nnc4c(F)cc(cn34)c5cc(C)ns5)ccnc2c1,CHEMBL3668182,7.57,pKi
C[C@@H](OC1=CNC(=O)C(=C1)C(=O)Nc2ccc(OCCN3CCOCC3)cc2)c4c(Cl)ccc(F)c4Cl,CHEMBL2376635,7.57,pIC50
C[C@@H](OC1=CNC(=O)C(=C1)C(=O)Nc2cnn(CCO)c2)c3c(Cl)ccc(F)c3Cl,CHEMBL2376637,7.57,pIC50
C[C@H](c1ccn2nccc2c1)n3nnc4ncc(nc34)c5cnn(CCO)c5,CHEMBL3334570,7.57,pIC50
Cc1cc2oc(nc2cc1O)c3cc(cnc3N)c4cnn(c4)C5CCNCC5.OC(=O)C(F)(F)F,CHEMBL2032276,7.57,pIC50
Fc1cc(F)cc(c1)C2=NN(C[C@@H]3CN(CCO3)c4ncc(cn4)c5cnn(c5)C6CCNCC6)C(=O)C=C2,CHEMBL3335761,7.57,pIC50
Nc1ncnc2ccc(Cc3nnc4ccc(nn34)c5ccccc5)cc12,CHEMBL3668155,7.57,pKi
O=C1NC=Cc2c(Cc3nnc4ccc(nn34)N5CCCC5)cccc12,CHEMBL1922408,7.57,pIC50
O=C1NC=Cc2c(Cc3nnc4ccc(nn34)c5cnn(c5)C6CCNCC6)cccc12,CHEMBL1922407,7.57,pIC50
CC(Sc1cc(cnc1N)c2ccc(nc2)N3CCN(C)CC3)c4c(Cl)ccc(F)c4Cl,CHEMBL2442136,7.58,pIC50
COc1cc2c(Oc3ccc(NC(=O)C4=C(C)N(C(=O)N4C)c5cccc(c5)C(F)(F)F)cc3F)ccnc2cc1OCCCN6CCC(C)CC6,CHEMBL3594099,7.58,pIC50
COc1cc2c(Oc3ccc(NC(=O)N\N=C\c4ccc(F)cc4Cl)cc3F)ccnc2cc1OCCCN5CCC(C)CC5,CHEMBL3763886,7.58,pIC50
COc1cnc2c(NCc3nnc4ccc(nn34)c5cnn[nH]5)ccnc2c1,CHEMBL3668145,7.58,pKi
CC(Oc1cc(cnc1N)c2cnn(c2)[C@H]3CCNC3)c4c(Cl)ccc(F)c4Cl,CHEMBL1825135,7.59,pKi
CC(Sc1cc(cnc1N)c2ccc(cc2)C(=O)N3CCN(C)CC3)c4c(Cl)ccc(F)c4Cl,CHEMBL2442140,7.59,pIC50
CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5O)cc4F)c3s2,CHEMBL584701,7.59,pIC50
CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6OC)cc4F)c3s2,CHEMBL462835,7.59,pIC50
