SMILES,ChEMBL,target,metric
CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,ranitidine,6.86,pKd
CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O,nizatidine,6.92,pKd
NC(=N)NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1,famotidine,7.93,pKd
CNC(NCCSCC1=C(C)NC=N1)=NC#N,cimetidine,6.14,pKd
CC(=O)OCC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1,roxatidine acetate,7.6,pKd
NCC[C@H]1C[C@H]1c2c[nH]cn2,CHEMBL418470,7.03,pEC50
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,CHEMBL588119,7.05,pKi
N\C(=N/C(=O)CCNC(=O)c1cc2ccccc2[nH]1)\NCCCc3c[nH]cn3,CHEMBL515428,7.08,pEC50
CN1CCc2c(C1)c3cccc4CCc5ccccc5n2c34,CHEMBL3104091,7.09,pKi
N\C(=N/C(=O)CCc1c[nH]c2ccccc12)\NCCCc3c[nH]cn3,CHEMBL514641,7.09,pEC50
CN1CCC2C(C1)c3cccc4SCc5ccccc5N2c34,CHEMBL3217984,7.1,pKi
N=C(NCCCc1c[nH]cn1)NC(=O)CC(c2ccccc2)c3ccccc3,CHEMBL471413,7.11,pEC50
CC(CC(=O)\N=C(/N)\NCCCc1c[nH]cn1)c2ccccc2,CHEMBL483406,7.17,pEC50
N\C(=N/C(=O)Cc1c[nH]c2ccccc12)\NCCCc3c[nH]cn3,CHEMBL474447,7.44,pEC50
N\C(=N/C(=O)CCCNC(=O)c1cc2ccccc2[nH]1)\NCCCc3c[nH]cn3,CHEMBL475620,7.52,pEC50
C\N=C(\NCCSCc1csc(N=C(N)N)n1)/NC#N,CHEMBL269646,7.66,pIC50
CN1CC2C(C1)c3cc(Cl)ccc3Oc4ccccc24.OC(=O)\C=C/C(=O)O,CHEMBL3544974,8.24,pKi
COc1nccnc1[C@H](C)C2=C(CCN(C)C)Cc3cc(F)ccc23,CHEMBL1090526,8.35,pKi
CNC(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,CHEMBL1627,8.77,pKi
CN(C)CCOc1cc(C)c2cc(NC(=O)COc3ccc(Cl)cc3Cl)ccc2n1,CHEMBL194837,9.06,pIC50
