SMILES,ChEMBL,target,metric
NC1=CC(F)=CC=C1NC(=O)C1=CC=C(CNC(=O)\C=C\C2=CC=CN=C2)C=C1,chidamide,7.0222764,pIC50
[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2,romidepsin,6.55,pIC50
ONC(=O)CCCCCCC(=O)Nc1ccccc1,vorinostat,8.89,pKi
CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1,panobinostat,9.0,pKi
ONC(=O)C=CC1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1,belinostat,9.07,pKi
CC(C)(C)C(CCCCC(=O)NO)CC(=O)Nc1ccccc1,CHEMBL2204664,6.0,pIC50
CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(\C=C\C(=O)Nc3ccccc3N)cc2,CHEMBL353629,6.0,pIC50
CC(C)[C@H]1NC(=O)C[C@@H](CCCCCC(=O)O)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](C)NC1=O,CHEMBL3352994,6.0,pKi
CCCN(CCO)Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)c3ccccc3,CHEMBL3689806,6.0,pIC50
CCCN(Cc1c(nc2cc(\C=C\C(=O)NO)ccn12)c3ccccc3)C(C)CC,CHEMBL3689812,6.0,pIC50
COCCNc1c(CC(C)(C)C)nc2ccc(\C=C\C(=O)NO)cn12,CHEMBL3689768,6.0,pIC50
COc1ccc(NC(=O)Nc2ccc(\C=C\C(=O)NO)cc2)cc1OC,CHEMBL148769,6.0,pIC50
COc1ccc(cc1)S(=O)(=O)Nc2ccc(\C=C\C(=O)Nc3ccccc3N)cc2,CHEMBL353658,6.0,pIC50
COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NCc3ccccc3)c4ncc([nH]4)c5ccc6ccccc6c5)c2c1,CHEMBL444232,6.0,pIC50
COc1ccc2nc(NCc3ccc(cc3)C(=O)Nc4ccccc4N)sc2c1,CHEMBL403467,6.0,pEC50
COc1ccc2nc(SCc3ccc(cc3)C(=O)Nc4ccccc4N)[nH]c2c1,CHEMBL254309,6.0,pEC50
Cn1ccnc1SCc2ccc(cc2)C(=O)Nc3ccccc3N,CHEMBL402382,6.0,pIC50
FC(F)(F)C(=O)c1ccc(s1)c2onc(Cc3cccs3)n2,CHEMBL504161,6.0,pIC50
Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3cc(CN=[N+]=[N-])cc(c3)N=[N+]=[N-])cc2)c4ccccc4,CHEMBL2057821,6.0,pIC50
Nc1ccc(cc1NC(=O)c2cccnc2)n3ccnc3,CHEMBL255804,6.0,pIC50
Nc1ccccc1NC(=O)CCCCCCC(=O)c2cccc(c2)c3ccccc3,CHEMBL317718,6.0,pIC50
Nc1ccccc1NC(=O)CCCCCCNC(=O)c2cccc(c2)c3ccccc3,CHEMBL260958,6.0,pIC50
Nc1ccccc1NC(=O)CCCCCN2C(=O)c3cccc4c(Br)ccc(C2=O)c34,CHEMBL97231,6.0,pIC50
Nc1ccccc1NC(=O)CCCCCN2C(=O)c3cccc4cc(O)cc(C2=O)c34,CHEMBL99398,6.0,pIC50
Nc1ccccc1NC(=O)\C=C\c2ccc(NS(=O)(=O)c3ccc(cc3)c4ccccc4)cc2,CHEMBL149172,6.0,pIC50
