SMILES,ChEMBL,target,metric
CC1(C)CC(CC(C)(C)N1)NC(=O)c2cc(F)c(Oc3ccccc3C#N)c(Br)c2,CHEMBL3264781,6.0,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3ccccc3C#N)c(F)c2,CHEMBL3264775,6.0,pIC50
CCN(C1CCOCC1)c2cccc3C(=O)NCC4=C(CCCCCCc23)C=C(C)NC4=O,CHEMBL3394231,6.0,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3ccccc3C#N)c(c2)C#N,CHEMBL3264777,6.03,pIC50
CCC(C)n1c(C)c(C(=O)NCc2c(C)cc(C)nc2O)c3ccccc13,CHEMBL3605451,6.03,pIC50
Cc1cc(ccc1Oc2ccccc2C#N)C(=O)NC3CC(C)(C)NC(C)(C)C3,CHEMBL3264776,6.04,pIC50
CC(C)n1ncc2c(cc(Br)nc12)C(=O)NCC3=C(C)C=C(C)NC3=O,CHEMBL3770418,6.05,pIC50
CCN(C1CCOCC1)c2cc(Cl)cc(C(=O)NCC3=C(CN(C)C)C=C(C)NC3=O)c2C,CHEMBL3769599,6.05,pIC50
COCCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3701003,6.05,pIC50
CC1CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3cccc(c4ccnnc4)c3C#N)c(Cl)c2,CHEMBL3264792,6.06,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3ccccc3C#N)c4ccccc24,CHEMBL3264774,6.08,pIC50
CC(c1ccccc1)c2ccc(cc2)C(=O)NCC3=C(C)C=C(C)NC3=O,CHEMBL3605441,6.1,pIC50
COC[C@@H](C)n1c(C)c(C(=O)NCc2c(C)cc(C)nc2O)c3ccccc13,CHEMBL3605452,6.15,pIC50
CC(C)n1ncc2c(cc(nc12)C3CC3)C(=O)NCc4c(C)cc(C)nc4O,CHEMBL1608462,6.16,pKi
CC1=CC(=C(CNC(=O)c2cc(Br)nc3c2cnn3C4CCOCC4)C(=O)N1)C,CHEMBL3770626,6.16,pIC50
CN(C1CCCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3697398,6.16,pEC50
CC(=O)N(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3697506,6.18,pIC50
CC(C)n1ncc2c(cc(nc12)c3ccc4OCCOc4c3)C(=O)NCC5=C(C)C=C(C)NC5=O,CHEMBL3414618,6.21,pIC50
CC(c1ccccc1)n2cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c(C)n2,CHEMBL3605443,6.22,pIC50
C[C@H](C1CCN(C)CC1)n2c(C)c(C(=O)NCC3=C(C)C=C(C)NC3=O)c4ccccc24,CHEMBL3605454,6.25,pIC50
CCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(CO)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3697505,6.28,pIC50
CC(C)n1c(C)c(C(=O)NCc2c(C)cc(C)nc2O)c3ccccc13,CHEMBL3605450,6.29,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3ccccc3C#N)c(c2)C4CC4,CHEMBL3264778,6.3,pIC50
CC1=CC(=C(CNC(=O)c2cc(Br)cc(NC3CCOCC3)c2C)C(=O)N1)C,CHEMBL3770619,6.3,pIC50
CN(C1CCCC1)c2cc(Br)cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C,CHEMBL3771083,6.3,pEC50
CCS(=O)(=O)N1CCC(CC1)[C@@H](C)n2c(C)c(C(=O)NCC3=C(OCC(F)(F)F)C=C(C)NC3=O)c4ccccc24,CHEMBL3605459,6.31,pIC50
C[C@H](c1ccccc1)n2c(C)c(C(=O)NCC3=C(C)C=C(C)NC3=O)c4ccccc24,CHEMBL3605446,6.32,pIC50
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)O,CHEMBL418052,6.33,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3ccccc3C#N)c(Cl)c2,CHEMBL3264779,6.35,pIC50
CC1=CC(=C(CNC(=O)c2ccc(Oc3ccccc3)cc2)C(=O)N1)C,CHEMBL3605440,6.37,pIC50
CC(C)n1ncc2c(cc(nc12)c3ccc(CN4CCOCC4)cc3)C(=O)NCC5=C(C)C=C(C)NC5=O,CHEMBL3769849,6.4,pIC50
CC(c1cnn(C)c1)n2c(C)c(C(=O)NCC3=C(C)C=C(C)NC3=O)c4ccccc24,CHEMBL3605448,6.41,pIC50
CC(c1ccccn1)n2c(C)c(C(=O)NCC3=C(C)C=C(C)NC3=O)c4ccccc24,CHEMBL3605449,6.45,pIC50
CC(C)n1ncc2c(cc(cc12)c3ccc(nc3)N4CCN(C)CC4)C(=O)NCC5=C(C)C=C(C)NC5=O,CHEMBL2204998,6.49,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3ccccc3C#N)c(Br)c2,CHEMBL3264780,6.5,pIC50
CC(C)n1ncc2c(cc(nc12)C3=CC(C)(C)NC(C)(C)C3)C(=O)NCC4=C(C)C=C(C)NC4=O,CHEMBL3770922,6.52,pIC50
CCN(C1CCOCC1)c2cc(Cl)cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C,CHEMBL3769571,6.52,pEC50
CN(C1CCOCC1)c2cc(Br)cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C,CHEMBL3770973,6.52,pEC50
CC1=CC(=C(CNC(=O)c2cc(cc(NC3CCCC3)c2C)c4ccc(CN5CCOCC5)cc4)C(=O)N1)C,CHEMBL3697400,6.54,pIC50
CC[C@H](C)n1cc(C)c2c(cc(cc12)c3ccc(nc3)N4CCNCC4)C(=O)NCC5=C(C)C=C(C)NC5=O,CHEMBL3287735,6.55,pIC50
CCCCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3697452,6.57,pIC50
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)NCc4cc([nH]n4)c5ccccc5,CHEMBL3397332,6.57,pIC50
CCCC1=C(CNC(=O)c2c(C)n([C@H](C)C3CCN(CC3)S(=O)(=O)CC)c4ccccc24)C(=O)NC(=C1)C,CHEMBL3605458,6.58,pIC50
CN(C)[C@@H]1CC[C@H](CC1)Oc2cc(Cl)cc3C(=O)NCC4=C(CCC\C=C\Cc23)C=C(C)NC4=O,CHEMBL3394230,6.6,pIC50
CCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C(=C(C)NC3=O)F)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3701038,6.61,pIC50
CN(C)Cc1ccc(cc1)c2cc(NC3CCCC3)c(C)c(c2)C(=O)NCC4=C(C)C=C(C)NC4=O,CHEMBL3697399,6.62,pIC50
CC(C)CN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3697450,6.63,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3cccc(c4cn[nH]c4)c3C#N)c(Cl)c2,CHEMBL3264785,6.64,pIC50
CC(C)n1ncc2c(cc(nc12)c3ccc(nc3)N4CCNCC4)C(=O)NCC5=C(C)C=C(C)NC5=O,CHEMBL3770239,6.7,pIC50
CC1=CC(=C(CNC(=O)c2cc(Br)nc3c2cnn3C4CCN(CC4)C(=O)OC(C)(C)C)C(=O)N1)C,CHEMBL3771135,6.7,pIC50
CCN(C1CCNCC1)c2cccc3C(=O)NCC4=C(CC\C=C\Cc23)C=C(C)NC4=O,CHEMBL3394320,6.7,pIC50
CCN(C1CCOCC1)c2cc(Cl)cc(C(=O)NCC3=C(CO)C=C(C)NC3=O)c2C,CHEMBL3769624,6.7,pIC50
CCN(C1CCOCC1)c2cc(Cl)cc(C(=O)NCC3=CC=C(C)NC3=O)c2C,CHEMBL3770788,6.7,pIC50
CCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3414621,6.7,pEC50
CCN(C1CCOCC1)c2ccc(Cl)c(C(=O)N(C)CC3=C(C)C=C(C)NC3=O)c2C,CHEMBL3770109,6.7,pIC50
CC1(C)CC(COc2ccc(Oc3cccc(c4ccncn4)c3C#N)c(Cl)c2)CC(C)(C)N1,CHEMBL3264795,6.72,pIC50
CC1(C)CC(CC(C)(C)N1)OC(=O)c2ccc(Oc3cccc(c4ccnnc4)c3C#N)c(Cl)c2,CHEMBL3264794,6.76,pIC50
CCCC1=C(CNC(=O)c2cc(cc3c2cnn3C(C)C)c4ccnc(c4)N5CCN(C)CC5)C(=O)NC(=C1)C,CHEMBL2204995,6.76,pIC50
CN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(C)c4,CHEMBL3697405,6.77,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3cccc(Cl)c3C#N)c(Cl)c2,CHEMBL3264784,6.85,pIC50
CN([C@@H]1CC[C@@H](N)CC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(CCN5CCOCC5)c4,CHEMBL3697442,6.85,pIC50
Cc1cccc(Oc2ccc(cc2Cl)C(=O)NC3CC(C)(C)NC(C)(C)C3)c1C#N,CHEMBL3264783,6.85,pIC50
CN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(CCN5CCOCC5)c4,CHEMBL3697404,6.87,pIC50
CCCC1=C(CNC(=O)c2cc(cc3c2cnn3C(C)C)c4ccc(nc4)N5CCN(CC5)C(C)C)C(=O)NC(=C1)C,CHEMBL3414619,6.91,pIC50
CN(C)Cc1ccc(cc1)c2cc(cc(n2)N3CCCCC3)C(=O)NCC4=C(C)C=C(C)NC4=O,CHEMBL3697402,6.91,pIC50
CN(C)Cc1ccc(cn1)c2cc(N(C)C3CCOCC3)c(C)c(c2)C(=O)NCC4=C(C)C=C(C)NC4=O,CHEMBL3697425,6.92,pIC50
CN(C1CCCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(CCN5CCOCC5)c4,CHEMBL3697413,6.94,pIC50
CCN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4C,CHEMBL3700984,6.97,pIC50
CN(C1CCCCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(C)c4,CHEMBL3697406,6.99,pIC50
CC1=CC2=C(CNC(=O)c3cc(Cl)cc(O[C@@H]4CC[C@@H](N)CC4)c3C\C=C\CC2)C(=O)N1,CHEMBL3394229,7.0,pIC50
CCN(C1CCOCC1)c2cc(Cl)cc(C(=O)NCC3=C(C)C=C(C)N(C)C3=O)c2C,CHEMBL3770154,7.0,pIC50
CCN(C1CCOCC1)c2cc(Cl)cc(C(=O)NCC3=C(C)C=CNC3=O)c2C,CHEMBL3771269,7.0,pIC50
CN([C@@H]1CC[C@H](N)CC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(C)c4,CHEMBL3697437,7.0,pIC50
CN([C@@H]1CC[C@H](N)CC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(CCN5CCOCC5)c4,CHEMBL3697439,7.01,pIC50
C[C@@H](c1ccccc1)n2c(C)c(C(=O)NCC3=C(C)C=C(C)NC3=O)c4ccccc24,CHEMBL3605447,7.01,pIC50
C[C@H](C1CCOCC1)n2c(C)c(C(=O)NCC3=C(C)C=C(C)NC3=O)c4ccccc24,CHEMBL3605453,7.01,pIC50
CN([C@@H]1CC[C@@H](CC1)NC(=O)C)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(C)c4,CHEMBL3697417,7.02,pIC50
CC(N1C=CC(=CC1=O)C(=O)NCC2=C(C)C=C(C)NC2=O)c3ccccc3,CHEMBL3605442,7.03,pIC50
CN(C1CCOCC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CO)nc4,CHEMBL3697424,7.04,pIC50
CCN(C1CCS(=O)(=O)CC1)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4ccc(CN5CCOCC5)cc4,CHEMBL3700997,7.06,pIC50
CC1=CC(=C(CNC(=O)c2cc(cc(N(CC3CCC3)C4CCOCC4)c2C)c5ccc(CN6CCOCC6)cc5)C(=O)N1)C,CHEMBL3697453,7.07,pIC50
CC1(C)CC(CC(C)(C)N1)NC(=O)c2ccc(Oc3cccc(c4ccncc4)c3C#N)c(Cl)c2,CHEMBL3264786,7.09,pIC50
CN([C@@H]1CC[C@@H](CC1)NC(=O)C)c2cc(cc(C(=O)NCC3=C(C)C=C(C)NC3=O)c2C)c4cnn(CCN5CCOCC5)c4,CHEMBL3697430,7.09,pIC50
CC1=CC(=C(CNC(=O)c2cc(Br)nc3c2cnn3C4CCCC4)C(=O)N1)C,CHEMBL3770438,7.1,pIC50
CC1=CC(=C(CNC(=O)c2cc(cc3c2cnn3C4CCCC4)c5ccc(CN6CCOCC6)cc5)C(=O)N1)C,CHEMBL3360855,7.1,pIC50
CCCC1=C(CNC(=O)c2cc(cc3c2cnn3C(C)C)c4ccc(nc4)N5CCN(C)CC5)C(=O)NC(=C1)C,CHEMBL2204997,7.1,pIC50
CCS(=O)(=O)N1CCC(CC1)[C@@H](C)n2c(C)c(C(=O)NCC3=C(OC)C=C(C)NC3=O)c4ccccc24,CHEMBL3605457,7.1,pIC50
