SMILES,ChEMBL,target,metric
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(F)cc4F)[C@@H](O)[C@H]3O,CHEMBL2171001,6.0,pKi
CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3ccc4c(N)ncnc34,CHEMBL2169919,6.16,pIC50
CCc1ccccc1NC(=O)NCCCSC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,CHEMBL2170999,6.16,pKi
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)O,CHEMBL418052,6.22,pIC50
CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,CHEMBL2171169,6.26,pKd
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccccc4)[C@@H](O)[C@H]3O,CHEMBL2170989,6.26,pKi
CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34)cc1,CHEMBL2170992,6.46,pKi
CNc1ncnc2c1ncn2[C@@H]3O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]3O,CHEMBL2171174,6.52,pKi
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(I)cc4)[C@@H](O)[C@H]3O,CHEMBL2170996,6.57,pKi
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(Br)cc4)[C@@H](O)[C@H]3O,CHEMBL2170995,6.72,pKi
CNc1ncnc2c1ncn2[C@@H]3O[C@H](CN(CCCNC(=O)Nc4ccc(cc4)C(C)(C)C)C(C)C)[C@@H](O)[C@H]3O,CHEMBL2171170,6.82,pKd
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(OC(F)(F)F)cc4)[C@@H](O)[C@H]3O,CHEMBL2170998,6.85,pKi
CCc1cccc(NC(=O)NCCCSC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34)c1,CHEMBL2171000,6.89,pKi
CNc1ncnc2c1ncn2[C@@H]3O[C@H](CN(CCI)CCC[C@H](N)C(=O)O)[C@@H](O)[C@H]3O,CHEMBL2172427,6.92,pIC50
N[C@@H](CCCN(CCI)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCc4ccccc4)ncnc23)C(=O)O,CHEMBL2169918,6.96,pIC50
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(Cl)cc4)[C@@H](O)[C@H]3O,CHEMBL2170994,7.09,pKi
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)[C@@H](O)[C@H]3O,CHEMBL2171002,7.1,pKi
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cc(Br)c3c(N)ncnc23)C(=O)O,CHEMBL2349526,7.11,pIC50
CC(C)(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34)cc1,CHEMBL3087504,7.16,pKi
CNc1ncnc2c1ncn2[C@@H]3O[C@H](CSCCCNC(=O)Nc4ccc(cc4)C(C)(C)C)[C@@H](O)[C@H]3O,CHEMBL2170993,7.16,pKi
