SMILES,ChEMBL,target,metric
CCO[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OCC(F)(F)F)cc3,CHEMBL3643712,6.0,pIC50
CC(C)CS(=O)(=O)N1C[C@@H]2CCN(C(=O)[C@@H]2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3640186,6.02,pIC50
FC(F)(F)COc1ccc(cc1)N2CC[C@@H]3CN(C[C@@H]3C2=O)S(=O)(=O)c4ccccc4,CHEMBL3640192,6.02,pIC50
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCCCCCC2,CHEMBL106892,6.05,pIC50
CC(C)CS(=O)(=O)N[C@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674467,6.05,pIC50
CCCNC(=O)O[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674445,6.05,pIC50
COc1ccc(cc1)c2nc(SC)n(n2)C(=O)N(C)C,CHEMBL336538,6.05,pIC50
FC(F)(F)Oc1ccc(NC(=O)N2C[C@@H]3CN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4)cc1,CHEMBL3640204,6.05,pIC50
FC(F)(F)COc1ccc(cc1)N2C[C@H]3C[C@H](CN3C2=O)NS(=O)(=O)c4ccccc4Cl,CHEMBL3674474,6.06,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@@H](CN3C2=O)NS(=O)(=O)c4cccnc4Cl,CHEMBL3674462,6.06,pIC50
Fc1ccc(CC(=O)N2C[C@H]3CCN(C(=O)[C@H]3C2)c4ccc(OCC(F)(F)F)cc4)cc1,CHEMBL3640195,6.06,pIC50
Fc1ccc(cc1)S(=O)(=O)[C@@H]2C[C@H]3CN(C(=O)N3C2)c4ccc(OC(F)(F)F)cc4,CHEMBL3674443,6.06,pIC50
Cc1ccc(cc1)S(=O)(=O)[C@@H]2C[C@H]3CN(C(=O)N3C2)c4ccc(OC(F)(F)F)cc4,CHEMBL3674441,6.07,pIC50
Fc1ccc(NC(=O)N2C[C@@H]3CCN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4)cc1,CHEMBL3640190,6.07,pIC50
CC(C)CCS(=O)(=O)[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674442,6.08,pIC50
CC(C)CO[C@H]1C[C@@H]2CN(C(=O)N2C1)c3ccc(OCC(F)(F)F)cc3,CHEMBL3674471,6.08,pIC50
CCCCOC[C@]1(O)C[C@H]2CN(C(=O)N2C1)c3ccc(OCC(F)(F)F)cc3,CHEMBL3674475,6.08,pIC50
CCCN(C)C(=O)O[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674455,6.08,pIC50
COCCOC(=O)C1CC2(COCc3ccccc3)N(C1c4occc4)C(=O)CN(CCCCc5ccccc5)C2=O,CHEMBL269200,6.11,pIC50
FC(F)(F)COc1ccc(cc1)N2CC[C@@H]3CN(C[C@@H]3C2=O)S(=O)(=O)c4cccnc4Cl,CHEMBL3640191,6.14,pIC50
CC(C)(C)CC(=O)N1C[C@H]2CCN(C(=O)[C@H]2C1)c3ccc(OCC(F)(F)F)cc3,CHEMBL3640198,6.15,pIC50
CC(C)CC(=O)N1C[C@@H]2CCN(C(=O)[C@@H]2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3640180,6.15,pIC50
COC(=O)Cc1ccc(OC(=O)NN2CCOCC2)cc1,CHEMBL48503,6.15,pIC50
CCCCCCSc1nc(nn1C(=O)N(C)c2ccccc2)c3ccc(C)cc3,CHEMBL336625,6.16,pIC50
Oc1ccccc1N2C[C@H]3CCN(C(=O)[C@H]3C2)c4ccc(OCC(F)(F)F)cc4,CHEMBL3640203,6.16,pIC50
CC1CN(CC(C)O1)C(=O)Oc2ccc(Oc3ccc(cn3)C(F)(F)F)cc2,CHEMBL397168,6.17,pIC50
CCCC(O)CO[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674469,6.2,pIC50
CCc1ccc(cc1)N2C[C@H]3CN(C[C@H]3C2=O)C(=O)Nc4ccc(OC(F)(F)F)cc4,CHEMBL3639390,6.2,pIC50
CN(C(=O)Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1)c3ccccc3,CHEMBL239418,6.2,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@@H](CN3C2=O)NS(=O)(=O)Cc4ccccc4,CHEMBL3674468,6.21,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@H](CN3C2=O)NC(=O)c4ccccc4Cl,CHEMBL3674439,6.21,pIC50
CC(O[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3)c4ccccc4,CHEMBL3674444,6.22,pIC50
CN(C)C(=O)n1nc(nc1SCC(F)(F)F)c2ccc(C)cc2,CHEMBL131320,6.22,pIC50
CC(C)(C)OCC(=O)N[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674464,6.23,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@H](CN3C2=O)NS(=O)(=O)C4=CC=CNC4=O,CHEMBL3674454,6.23,pIC50
CCCOC[C@]1(O)C[C@H]2CN(C(=O)[C@H]2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3640210,6.26,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@H](CN3C2=O)NC(=O)c4cccc(Cl)c4,CHEMBL3674457,6.26,pIC50
CC(C)CCO[C@H]1C[C@@H]2CN(C(=O)N2C1)c3ccc(OCC(F)(F)F)cc3,CHEMBL3674470,6.27,pIC50
CN1CCN(CC1)NC(=O)Oc2ccc(Cl)cc2,CHEMBL296709,6.29,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@@H](CN3C2=O)NS(=O)(=O)c4cccc(Cl)c4,CHEMBL3674465,6.29,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@H](CN3C2=O)NS(=O)(=O)c4cccc(Cl)c4,CHEMBL3674450,6.29,pIC50
CCCC1(O)C[C@H]2CN(C(=O)[C@H]2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3640205,6.3,pIC50
OC1CCN(CC1)C(=O)Oc2ccc(Oc3ccc(cn3)C(F)(F)F)cc2,CHEMBL238994,6.3,pIC50
Fc1ccccc1C(=O)N[C@@H]2C[C@H]3CN(C(=O)N3C2)c4ccc(OC(F)(F)F)cc4,CHEMBL3674459,6.31,pIC50
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCC(CC2)c3ccc(cc3)C(C)(C)C,CHEMBL107412,6.32,pIC50
Fc1ccc(CNC(=O)O[C@@H]2C[C@H]3CN(C(=O)N3C2)c4ccc(OC(F)(F)F)cc4)cc1,CHEMBL3674446,6.32,pIC50
O[C@@]1(COc2ccccc2)C[C@H]3CN(C(=O)[C@H]3C1)c4ccc(OC(F)(F)F)cc4,CHEMBL3640209,6.32,pIC50
CC(C)C1=C(C)N(OC1=O)C(=O)N2CC(C)CCC2C,CHEMBL322536,6.34,pIC50
CC(C)CS(=O)(=O)N[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674449,6.34,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@H](CN3C2=O)NS(=O)(=O)Cc4ccccc4,CHEMBL3674447,6.34,pIC50
O[C@@]1(COCC(F)(F)F)C[C@H]2CN(C(=O)[C@H]2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3640206,6.35,pIC50
CC(C)(C)CC(=O)N[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3674461,6.36,pIC50
CC(C)CCS(=O)(=O)N1C[C@@H]2CCN(C(=O)[C@@H]2C1)c3ccc(OC(F)(F)F)cc3,CHEMBL3640185,6.36,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@@H](CN3C2=O)NS(=O)(=O)c4ccc(Cl)cc4,CHEMBL3674460,6.36,pIC50
OC1CN(CCC12CCN(C2=O)c3ccc(OC(F)(F)F)cc3)S(=O)(=O)c4ccccc4Cl,CHEMBL3644859,6.37,pIC50
CC(C)O[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OCC(F)(F)F)cc3,CHEMBL3643713,6.38,pIC50
CC(C)C1=C(C)N(OC1=O)C(=O)N(C)Cc2ccc(C)cc2,CHEMBL110935,6.39,pIC50
CCCCCCSc1nc(nn1C(=O)N(C)c2ccccc2)c3ccc(Cl)cc3,CHEMBL133580,6.4,pIC50
FC(F)(F)CSc1nc(nn1C(=O)N2CCCCC2)c3ccc(Cl)cc3,CHEMBL130628,6.4,pIC50
Fc1ccc(cc1)S(=O)(=O)N2C[C@@H]3CCN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4,CHEMBL3640188,6.42,pIC50
CC(C)CCO[C@@H]1C[C@@H]2CN(C(=O)N2C1)c3ccc(OCC(F)(F)F)cc3,CHEMBL3674473,6.44,pIC50
COc1ccc(OC(=O)NN2CCc3ccccc3C2)cc1,CHEMBL45629,6.44,pIC50
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@H](CN3C2=O)NS(=O)(=O)c4ccc(Cl)cc4,CHEMBL3674451,6.44,pIC50
Fc1ccc(CN2C[C@@H]3CCN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4)cc1,CHEMBL3640182,6.45,pIC50
Fc1ccc(cc1)C(=O)N2C[C@@H]3CCN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4,CHEMBL3640179,6.45,pIC50
CCCCNC(=O)Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1,CHEMBL241127,6.46,pIC50
CN(C(=O)Oc1ccc(Oc2ncc(cc2Cl)C(F)(F)F)cc1)c3ccccc3,CHEMBL238067,6.46,pIC50
O[C@@H]1CC[C@@]2(CCN(C2=O)c3ccc(OCC(F)(F)F)cc3)C[C@H]1OCC(F)(F)F,CHEMBL3643711,6.46,pIC50
CO[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OC(F)(F)F)cc3,CHEMBL3643707,6.47,pIC50
CC(C)(C)OC(=O)N1C[C@H]2CCN(C(=O)[C@H]2C1)c3ccc(OCC(F)(F)F)cc3,CHEMBL3640201,6.48,pIC50
CC(C)C1=C(C)N(OC1=O)C(=O)N2CC(C)CC(C)C2,CHEMBL110731,6.49,pIC50
FC(F)(F)COc1ccc(cc1)N2CC[C@@H]3CN(C[C@@H]3C2=O)C(=O)Cc4ccccc4,CHEMBL3640197,6.49,pIC50
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCN(C)CC2,CHEMBL107352,6.5,pIC50
CN(C(=O)Oc1ccc(Oc2ccc(cn2)C(F)(F)F)cc1)c3ccc(C)cc3,CHEMBL241554,6.5,pIC50
FC(F)(F)Oc1ccc(cc1)N2CC[C@H]3CN(C[C@H]3C2=O)C(=O)c4ccccc4Cl,CHEMBL3640183,6.51,pIC50
CCSc1nc(nn1C(=O)N(C)c2ccccc2)c3ccc(OC)cc3,CHEMBL334971,6.52,pIC50
