SMILES,ChEMBL,target,metric
OC(=O)C1=CN=CC=C1,nicotinic acid,7.3,pKi
CC1=CN=C(C=[N+]1[O-])C(O)=O,acipimox,5.4,pEC50
CC([C@H](N)C(=O)Nc1ccccc1C(=O)O)c2onc(n2)c3ccc(O)cn3,CHEMBL1770354,7.0,pIC50
NC(Cc1cnc(s1)c2ccc(O)cc2Cl)C(=O)Nc3ccccc3C(=O)O,CHEMBL1770172,7.0,pIC50
CC(Cc1ccn(n1)c2ccc(O)cn2)C(=O)NC3=C(CCC(C3)c4cc(F)c(F)c(F)c4)C(=O)O,CHEMBL1085842,7.02,pEC50
Cc1c(CCC(=O)Nc2ccccc2C(=O)O)cnn1c3ccc(O)cc3,CHEMBL236163,7.03,pEC50
OC(=O)c1ccccc1NC(=O)CCc2ccc(cc2)c3ccccc3,CHEMBL235741,7.03,pIC50
OC(=O)c1ccccc1NC(=O)CCc2ccc(cc2)c3ccccc3Cl,CHEMBL1083473,7.03,pIC50
CC(Cc1cnn(c1C)c2ccc(O)cn2)C(=O)Nc3ccccc3C(=O)O,CHEMBL1085401,7.04,pIC50
OC(=O)c1ccccc1NC(=O)CCc2ccc(cc2)c3ccc(O)c(F)c3,CHEMBL3589793,7.04,pIC50
Br.OC(=O)c1n[nH]c2CCC(Cc12)c3cc(F)ccc3F,CHEMBL1237148,7.05,pIC50
OC(=O)c1n[nH]c2CC(Cc12)c3ccsc3,CHEMBL1208925,7.05,pIC50
COc1ccc2cc(CCC(=O)Nc3ccccc3C(=O)O)ccc2c1,CHEMBL492220,7.06,pIC50
NC(Cc1onc(n1)c2ccc(F)cn2)C(=O)NC3=C(CC(CC3)c4cccc(F)c4)C(=O)O,CHEMBL1084840,7.07,pIC50
OC(=O)c1ccccc1NC(=O)CCc2ccc(cc2)c3ccccc3O,CHEMBL3589790,7.07,pIC50
OC(=O)c1ccccc1NC(=O)CCc2ccc(cc2)c3ccccc3F,CHEMBL3589788,7.08,pIC50
CCCCC1Cc2[nH]nc(c2C1)c3nnn[nH]3,CHEMBL509541,7.1,pIC50
Fc1cc(F)c(F)c(c1)C2Cc3[nH]nc(c3C2)c4nnn[nH]4,CHEMBL520137,7.1,pIC50
