SMILES,ChEMBL,target,metric
CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,topotecan,7.22,pIC50
OC(=O)c1ccnc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL430393,6.0,pIC50
NC(=O)c1cncc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL401390,6.05,pIC50
O=C(COc1ccc(cc1)C23CC4CC(CC(C4)C2)C3)Nc5cc(ccn5)C(=O)NCCCn6ccnc6,CHEMBL403789,6.05,pIC50
CCOC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL2178416,6.09,pIC50
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(C)CC4,CHEMBL1836236,6.09,pIC50
C[C@@H](CC[C@@H]1[C@@H](C)[C@@]2(C)CC[C@]1(C)O2)[C@H]3CCC(=C[C@H]3O)C,CHEMBL235553,6.09,pIC50
Oc1cc(nc(n1)c2ccc(NC(=O)CCl)cn2)C(F)(F)F,CHEMBL1271866,6.1,pIC50
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL2178407,6.13,pIC50
COC(=O)c1cccc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL373396,6.16,pIC50
CC(C)(C)c1ccc(CNc2nc(nnc2c3ccccc3)c4ccccn4)cc1,CHEMBL2138065,6.22,pEC50
NC(=O)c1ccnc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL249027,6.22,pIC50
COc1ccccc1c2oc3cc4OC(Cc4cc3c2)C(C)(C)O,CHEMBL1795438,6.24,pIC50
C(Nc1nc(nnc1c2ccccc2)c3ccccn3)c4cccc(c4)c5ccccc5,CHEMBL2135309,6.3,pEC50
CC(C)(O)C1Cc2cc3cc(oc3cc2O1)c4ccc(OCc5ccccc5)cc4,CHEMBL1795437,6.31,pIC50
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(CC4)C(=O)C,CHEMBL1836233,6.33,pIC50
CCOc1ccccc1N2C(=Nc3ccccc3C2=O)CN4CCN(CC4)C(=O)c5occc5,CHEMBL1345685,6.37,pIC50
OC(=O)c1cccc(NC(=O)COc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,CHEMBL219673,6.4,pIC50
