SMILES,ChEMBL,target,metric
CC(C)C[C@@H]1N(C)C(=O)CN(C)C(=O)CNC(=O)[C@H](Cc2ccc(NC(=N)N)cc2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)C(C)(C)SSC[C@H](NC(=O)[C@@H]4CCCN4C(=O)C(=O)[C@H](Cc5ccc(O)cc5)NC1=O)C(=O)N)[C@@H](C)O,CHEMBL1089949,6.0,pIC50
CC(C)C[C@H](NC(=O)[C@H]1CSC2C[C@@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)(C)S)[C@@H](C)O)C(=O)N12)C(=O)N[C@@H](Cc6ccc(O)cc6)C(=O)N7CCC[C@H]7C(=O)N[C@@H](CS)C(=O)O,CHEMBL504539,6.0,pKd
CC(C)C[C@@H]1N(C)C(=O)CN2CCC[C@H](NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc4c[nH]cn4)NC(=O)CNC(=O)[C@H](C)N(C)C(=O)[C@@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)C(C)(C)SSC[C@H](NC(=O)[C@@H]6CCCN6C(=O)C(=O)[C@H](Cc7ccc(O)cc7)NC1=O)C(=O)N)C2=O,CHEMBL1089947,6.02,pKd
CC(C)C[C@@H]1N(C)C(=O)CN(C)C(=O)CNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(=O)NCCCC[C@H](NC(=O)[C@@H]4CCCN4C(=O)C(=O)[C@H](Cc5ccc(O)cc5)NC1=O)C(=O)N)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)[C@@H](C)O,CHEMBL2304308,6.03,pKd
CC(C)C[C@@H]1N(C)C(=O)CN(C)C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(=O)NCCCC[C@H](NC(=O)[C@@H]4CCCN4C(=O)C(=O)[C@H](Cc5ccc(O)cc5)NC1=O)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N6CCC[C@H]6C(=O)N)NC(=O)[C@H](Cc7ccccc7)NC(=O)CSCCC(=O)NCCC(=O)NCCC(=O)NCCNCCCN(CCCNC(=O)CCNC(=O)CCNC(=O)CCNC(=O)CCSC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc8ccccc8)C(=O)N[C@H]9CC(=O)NCCCC[C@H](NC(=O)[C@@H]%10CCCN%10C(=O)C(=O)[C@H](Cc%11ccc(O)cc%11)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)CNC(=O)[C@H](Cc%12ccccc%12)NC(=O)[C@H](Cc%13c[nH]cn%13)NC(=O)CNC(=O)[C@@H](NC9=O)[C@@H](C)O)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N%14CCC[C@H]%14C(=O)N)CC(=O)NCC(=O)O)[C@@H](C)O,CHEMBL1090275,6.15,pIC50
CC(C)C[C@H](NC(=O)CN1CCC[C@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)(C)S)[C@@H](C)O)C1=O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N6CCC[C@H]6C(=O)N[C@@H](CS)C(=O)O,CHEMBL499749,6.17,pKd
CC(C)C[C@H](NC(=O)CN1CCC[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)(C)S)[C@@H](C)O)C1=O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N6CCC[C@H]6C(=O)N[C@@H](CS)C(=O)O,CHEMBL524887,6.18,pIC50
CC(C)C[C@H](NC(=O)CN1CCCC[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)(C)S)[C@@H](C)O)C1=O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N6CCC[C@H]6C(=O)N[C@@H](CS)C(=O)O,CHEMBL486090,6.19,pIC50
CC(C)C[C@H](N(C)C(=O)CN1CCCC[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)(C)S)[C@@H](C)O)C1=O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N6CCC[C@H]6C(=O)N[C@@H](CS)C(=O)O,CHEMBL526174,6.21,pIC50
CC(C)C[C@@H]1N(C)C(=O)CN(C)C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(=O)NCCCC[C@H](NC(=O)[C@@H]4CCCN4C(=O)C(=O)[C@H](Cc5ccc(O)cc5)NC1=O)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N6CCC[C@H]6C(=O)N)NC(=O)[C@H](Cc7ccccc7)NC(=O)CSCCC(=O)NCCCN(CCCNC(=O)CCSCC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc8ccccc8)C(=O)N[C@H]9CC(=O)NCCCC[C@H](NC(=O)[C@@H]%10CCCN%10C(=O)C(=O)[C@H](Cc%11ccc(O)cc%11)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)CNC(=O)[C@H](Cc%12ccccc%12)NC(=O)[C@H](Cc%13c[nH]cn%13)NC(=O)CNC(=O)[C@@H](NC9=O)[C@@H](C)O)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N%14CCC[C@H]%14C(=O)N)CC(=O)NCC(=O)O)[C@@H](C)O,CHEMBL1089952,6.22,pIC50
