SMILES,ChEMBL,target,metric
CC1=CC(=O)C2=CC=CC=C2C1=O,menadione,6.0,pIC50
CC1=CC(=O)c2ccccc2C1=O,CHEMBL590,6.0,pIC50
CS(=O)(=O)NCc1cc(Cl)ccc1Nc2cnn[nH]2,CHEMBL3335708,6.0,pIC50
Cl.NOCc1cccc(F)c1,CHEMBL3764504,6.0,pIC50
NS(=O)(=O)c1cc2C(=C(C#N)C#N)c3cc(cc(c3c2c(c1)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)N,CHEMBL3318328,6.0,pIC50
Nc1nonc1\C(=N\O)\NCc2ccccc2,CHEMBL585186,6.0,pIC50
O=C1C=CC(=O)c2ccccc12,CHEMBL55934,6.0,pIC50
OC(=O)C1CC(Cc2cc(Cl)ccc2Nc3cn[nH]n3)C1,CHEMBL3335709,6.0,pIC50
O[C@@H](C[C@@H]1c2ccccc2c3cncn13)C4CCCCC4,CHEMBL3754097,6.0,pIC50
O[C@H](C[C@@H]1c2ccccc2c3cncn13)C4CCCCC4,CHEMBL3752659,6.0,pIC50
Oc1cccc2C(=O)C=CC(=O)c12,CHEMBL43612,6.0,pIC50
CCN(CC)C(=O)c1cccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL3628595,6.01,pIC50
COC1C(O)C(C)(C)OC2=C1C(=O)c3ccccc3C2=O,CHEMBL443067,6.01,pIC50
COc1cccc(N\C(=N/O)\c2nonc2N)c1,CHEMBL568287,6.01,pIC50
Cl.NOCc1ccc(F)cc1,CHEMBL3765396,6.01,pIC50
O=C(N1CCOCC1)c2ccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)cc2,CHEMBL3628601,6.01,pIC50
Brc1cccc(c1)c2c[nH]nn2,CHEMBL382312,6.03,pIC50
COc1ccc2C(=O)C3=C(OC(C)(C)C=C3)C(=O)c2c1,CHEMBL260523,6.03,pIC50
O=C(N1CCOCC1)c2cccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)c2,CHEMBL3628598,6.03,pIC50
CCN(CC)C(=O)Cc1ccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)cc1,CHEMBL3628604,6.04,pIC50
COc1ccc(cc1)c2c[nH]c3C(=O)c4[nH]cc5CCN=C(c45)c23,CHEMBL576950,6.05,pIC50
Cl.NOCc1cc(Cl)cc(Cl)c1,CHEMBL3764853,6.05,pIC50
NC(=N)SCc1onc(n1)c2ccc(Cl)cc2,CHEMBL1562612,6.05,pIC50
CC1=C(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)c2c(O)cccc2C1=O,CHEMBL1241911,6.06,pIC50
CC1=C(SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)c2ccccc2C1=O,CHEMBL411532,6.06,pIC50
Cc1ccccc1Cn2nnc3C(=O)c4ccccc4C(=O)c23,CHEMBL1442185,6.09,pIC50
NOCc1ccccc1,CHEMBL443652,6.09,pIC50
Br.NC(=N)SCc1ccc(Br)cc1,CHEMBL1224314,6.1,pIC50
O[C@H]1[C@@H]2Nc3ccccc3C(=O)N2c4ccccc14,CHEMBL2314972,6.11,pIC50
Clc1cccc(Cn2nnc3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL3628551,6.12,pIC50
Brc1ccc(cc1)c2csc3ncc(CNC(=O)NCc4ccccc4)n23,CHEMBL3342396,6.13,pIC50
O=C(CC1c2ccccc2c3cncn13)C4CCCCC4,CHEMBL3629570,6.13,pEC50
COC1=CC(=O)c2ccccc2C1=O,CHEMBL106562,6.14,pIC50
Cl.NOCc1ccc(I)cc1Cl,CHEMBL3763690,6.14,pIC50
Fc1cccc2c1C(CC(=O)C3CCCCC3)n4cncc24,CHEMBL3754460,6.14,pEC50
COC(=O)\C(=C(/C#N)\c1oc(Br)cc1)\C#N,CHEMBL3318327,6.15,pIC50
CCc1c(C)cc2C(=O)C3=C(C(=O)c2c1O)C(O)(OC3(C)C)C(=O)OC,CHEMBL465019,6.16,pKi
CN1CCN(CC1)C(=O)c2cccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)c2,CHEMBL3628599,6.19,pIC50
COc1ccc(cc1)S(=O)(=O)NNc2ccc(Br)cc2,CHEMBL3310975,6.19,pEC50
Cl.NOCc1ccc(Cl)cc1Cl,CHEMBL3764703,6.2,pIC50
Cl.NOCc1ccccc1Cl,CHEMBL3765142,6.2,pIC50
Clc1cccc(c1)c2c[nH]nn2,CHEMBL2147989,6.21,pIC50
CC(=O)N1CCN(CC1)C(=O)c2cccc(Cn3nnc4C(=O)c5ccccc5C(=O)c34)c2,CHEMBL3628597,6.22,pIC50
CC(=O)Nc1ccc(cc1)S(=O)(=O)NNc2ccc(F)cc2,CHEMBL3310852,6.22,pEC50
CC(=O)Nc1ccc(cc1)S(=O)(=O)NNc2ccc(F)cc2F,CHEMBL3310863,6.22,pIC50
Cl.NC(=N)SCc1ccc(Cl)cc1,CHEMBL1224312,6.22,pIC50
Brc1ccc2N3C(=O)c4ccccc4N=C3C(=O)c2c1,CHEMBL72165,6.24,pIC50
Cl.NOCc1cc(ccc1F)C(F)(F)F,CHEMBL3763481,6.24,pIC50
Cl.NOCc1ccccc1I,CHEMBL3765088,6.24,pIC50
Cc1cccc(N\C(=N/O)\c2nonc2N)c1,CHEMBL565489,6.26,pIC50
Fc1ccc2N3C(=O)c4ccccc4N=C3C(=O)c2c1,CHEMBL1098875,6.27,pIC50
CCC(CC)\N=C/1\C=C(C(=O)c2ccccc12)C3=C\C(=N/C(CC)CC)\c4ccccc4C3=O,CHEMBL3707018,6.28,pIC50
CC(=O)Nc1ccc(cc1)S(=O)(=O)NNc2cc(Cl)cc(Cl)c2,CHEMBL3310972,6.29,pEC50
