SMILES,ChEMBL,target,metric
CN1CCCN(CC1)c2cc(C(=O)Nc3ccc4CCc5c(nn(c6ccc(F)cc6)c5c4c3)C(=O)N)c(Cl)cn2,CHEMBL591174,7.54,pIC50
Cc1cnc2c(NCCN)nc3cc(sc3n12)c4cocc4,CHEMBL249902,7.54,pIC50
FCCCCCNc1ccc2ncc(c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)n2n1,CHEMBL1807624,7.54,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CNC(=O)c5csnn5)n4,CHEMBL1923982,7.55,pIC50
CNc1nc2sc(SC)nc2c3c1ncn3C,CHEMBL505943,7.55,pIC50
CNc1nc2sc(nc2c3c1ncn3C)c4ccc(SC)cc4,CHEMBL2375674,7.55,pIC50
CNc1nc2sc(nc2c3c1ncn3C)c4cccc(c4)[C@@H](C)NC(=O)C,CHEMBL1642550,7.55,pIC50
CCNc1nc2sc(nc2c3c1ncn3C)c4cccc(c4)[C@H](C)NC(=O)CNC(=O)C,CHEMBL1642560,7.57,pIC50
CNC1=Nc2cc(sc2N3C1NC=C3C)c4ccccc4,CHEMBL1831203,7.57,pIC50
CNc1nc2cc(sc2n3c(C)cnc13)c4cccc(C[C@@H](N)C(=O)N)c4,CHEMBL249887,7.57,pIC50
CNc1nc2cc(sc2n3c(C)cnc13)c4ccccc4,CHEMBL249719,7.57,pIC50
F[C@H]1CN[C@H](CNC(=O)c2ccc(cc2F)c3cnc4ccc(NCC5CC5)nn34)C1,CHEMBL1807609,7.57,pIC50
NC(=O)c1nn(c2ccc(F)cc2)c3c1CCc4ccc(NC(=O)c5cc(ncc5Cl)N6CCCNCC6)cc34,CHEMBL600637,7.57,pIC50
CNc1nc2sc(nc2c3c1ncn3C)c4ccc(F)cc4,CHEMBL538910,7.58,pIC50
Nc1nc(cc(C2CCCNC2)c1C#N)c3c(O)cccc3OCC4CCCCC4,CHEMBL425346,7.58,pIC50
CC(=O)c1oc2ccc(Nc3nccc(n3)c4ccc(cc4)S(=O)(=O)N5CCNCC5)cc2c1,CHEMBL2375685,7.59,pIC50
CC(=O)c1oc2ccc(cc2c1)c3ccc(Nc4nccc(n4)c5ccc(cc5)S(=O)(=O)N6CCNCC6)cc3,CHEMBL335949,7.59,pIC50
CCCCCNc1ccc2ncc(c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)n2n1,CHEMBL1807617,7.59,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CNC(=O)CC(C)C)n4,CHEMBL1923980,7.59,pIC50
CCCCCCOc1cccc(O)c1c2cc(C3CCNCC3)c(C#N)c(N)n2,CHEMBL360691,7.6,pIC50
CCS(=O)(=O)N1CCC(CC1)c2c[nH]c3c(cc(cc23)c4ccccc4)C(=O)N,CHEMBL1761514,7.6,pIC50
CN1CCN(CC1)c2cc(C(=O)Nc3ccc4CCc5c(nn(c6ccc(F)cc6)c5c4c3)C(=O)N)c(Cl)cn2,CHEMBL592893,7.6,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CNC(=O)CO)c4,CHEMBL561447,7.6,pIC50
CNc1nc2sc(nc2c3c1ncn3C)c4cccc(CNC(=O)c5oncc5)c4,CHEMBL494162,7.6,pIC50
NC(=O)Nc1cc(sc1C(=O)N)c2ccccc2,CHEMBL1831214,7.6,pIC50
Nc1nc(cc(C2CCCNC2)c1C#N)c3ccccc3O,CHEMBL360077,7.6,pIC50
OCCCCc1ccc(s1)c2ccnc(Nc3ccc(cc3)C(=O)N4CCC(CC4)N5CCCC5)n2,CHEMBL200106,7.6,pIC50
CCCOc1cccc(O)c1c2cc(C3CCNCC3)c(C#N)c(N)n2,CHEMBL369306,7.62,pIC50
CNCCNc1nc2cc3ccccc3cc2n4c(C)cnc14,CHEMBL249899,7.64,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CNC(=O)c5cnccn5)n4,CHEMBL1923981,7.64,pIC50
CNc1nc2cc(sc2n3c(C)cnc13)c4cccc(CNCC(=O)N)c4,CHEMBL428754,7.64,pIC50
CO[C@H]1CCN[C@@H]1CNC(=O)c2ccc(cc2)c3cnc4ccc(NCC5CC5)nn34,CHEMBL1669326,7.64,pIC50
Cc1cnc2c(NCCN)nc3cc(sc3n12)c4ccc(CO)cc4,CHEMBL249508,7.64,pIC50
Cl.CNCCNc1nc2cc3ccccc3cc2n4c(C)cnc14,CHEMBL536520,7.64,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CNC(=O)CCC(=O)N)c4,CHEMBL562370,7.66,pIC50
CNc1nc2sc(nc2c3c1ncn3C)c4cccc(CNC(=O)C)c4,CHEMBL454973,7.66,pIC50
Cc1cnc2c(NCCN)nc3cc(sc3n12)c4ccccc4,CHEMBL249901,7.66,pIC50
F[C@H]1CN[C@H](CNC(=O)c2ccc(cc2)c3cnc4ccc(NCC5CC5)nn34)C1,CHEMBL1669329,7.66,pIC50
CNc1nc2cc(sc2n3c(C)cnc13)c4cccc(CCNC(=O)C)c4,CHEMBL249480,7.68,pIC50
Cc1cnc2c(NCCN)nc3cc(sc3n12)c4cccc(CCO)c4,CHEMBL249515,7.68,pIC50
F[C@H]1CCN[C@@H]1CNC(=O)c2ccc(cc2)c3cnc4ccc(NCC5CC5)nn34,CHEMBL1669328,7.68,pIC50
CC(C)(C)c1cc2c(ccnc2[nH]1)c3ccc(cc3)S(=O)(=O)NCCO,CHEMBL2164423,7.7,pIC50
CC(C)S(=O)(=O)N1CCC(CC1)c2c[nH]c3c(cc(cc23)c4ccccc4)C(=O)N,CHEMBL1761513,7.7,pIC50
CCCCCOc1cccc(O)c1c2cc(C3CCNCC3)c(C#N)c(N)n2,CHEMBL361548,7.7,pIC50
CCNc1nc2sc(nc2c3c1ncn3C)c4cccc(c4)[C@H](C)NC(=O)C5CCNCC5,CHEMBL1642565,7.7,pIC50
CN(C)Cc1cc2c(ccnc2[nH]1)c3ccc(cc3)S(=O)(=O)NC4CCS(=O)(=O)CC4,CHEMBL2164414,7.7,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(NCCOC)n4,CHEMBL1923991,7.7,pIC50
C[C@@H](CO)NS(=O)(=O)c1ccc(cc1)c2ccnc3[nH]c(cc23)C(F)(F)F,CHEMBL2164427,7.7,pIC50
Cc1cc2c(ccnc2[nH]1)c3ccc(cc3)S(=O)(=O)NC4CCS(=O)(=O)CC4,CHEMBL483165,7.7,pIC50
Cc1cc2c(ccnc2[nH]1)c3ccc(cc3)S(=O)(=O)NCCN,CHEMBL482747,7.7,pIC50
Cc1cc2c(ccnc2[nH]1)c3ccc(cc3)S(=O)(=O)NCCO,CHEMBL483557,7.7,pIC50
NC(=O)Nc1sc(cc1C(=O)N)c2ccc(F)cc2,CHEMBL257167,7.7,pIC50
NCCNS(=O)(=O)c1ccc(cc1)c2ccnc3[nH]c(CC(=O)N)cc23,CHEMBL519965,7.7,pIC50
NS(=O)(=O)c1ccc(Nc2nccc(n2)c3ccc(NC(=O)Cc4cccs4)cc3)cc1,CHEMBL1085122,7.7,pIC50
CCCCNc1ccc2ncc(c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)n2n1,CHEMBL1807616,7.72,pIC50
CCNc1nc2sc(nc2c3c1ncn3C)c4cccc(c4)[C@H](C)NC(=O)C,CHEMBL1642546,7.72,pIC50
CN(C)CCN(C)c1cc(C(=O)Nc2ccc3CCc4c(nn(c5ccc(F)cc5)c4c3c2)C(=O)N)c(Cl)cn1,CHEMBL589338,7.72,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CN(C)C(=O)COC)n4,CHEMBL1923989,7.72,pIC50
CNc1nc2[nH]c(cc2c3c1ncn3C)c4cccc(CNC(=O)C)n4,CHEMBL1923972,7.72,pIC50
CNc1nc2cc(sc2n3c(C)cnc13)c4cccc(CCC(=O)N)c4,CHEMBL399688,7.72,pIC50
COc1c(Cl)cc2c3ccncc3[nH]c2c1NC(=O)c4cccnc4C,CHEMBL608154,7.72,pKd
Cc1ccc(s1)c2ccnc(Nc3ccc(cc3)S(=O)(=O)N)n2,CHEMBL569998,7.72,pIC50
CNc1nc2cc(sc2n3c(C)cnc13)c4cccc(CCNC(=O)N)c4,CHEMBL249481,7.74,pIC50
CNc1nc2cc3ccccc3cc2n4c(C)cnc14,CHEMBL231530,7.74,pIC50
Cc1cnc2c(NCCO)nc3cc4ccccc4cc3n12,CHEMBL230184,7.74,pIC50
CCN(C[C@@H]1C[C@@H](F)CN1)C(=O)c2ccc(cc2)c3cnc4ccc(NCC5CC5)nn34,CHEMBL1669332,7.75,pIC50
NC(=O)NC1=C(C=C(C1)c2ccc(F)cc2)C(=O)N,CHEMBL602534,7.75,pIC50
F[C@H]1CN[C@H](CN(Cc2ccc(Cl)cc2)C(=O)c3ccc(cc3)c4cnc5ccc(NCC6CC6)nn45)C1,CHEMBL1669336,7.77,pIC50
F[C@H]1CN[C@H](CN(Cc2cccc(Cl)c2)C(=O)c3ccc(cc3)c4cnc5ccc(NCC6CC6)nn45)C1,CHEMBL1669335,7.77,pIC50
F[C@H]1CN[C@H](CNC(=O)c2ccc(cc2F)c3cnc4ccc(NC5CCC5)nn34)C1,CHEMBL1807618,7.77,pIC50
OC(=O)c1ccc(CN(C[C@@H]2C[C@@H](F)CN2)C(=O)c3ccc(cc3)c4cnc5ccc(NCC6CC6)nn45)cc1,CHEMBL1669341,7.77,pIC50
