SMILES,ChEMBL,target,metric
OC[C@H]1C[C@@H]1Cn2cc(Nc3cc(ccn3)c4ccc(OC5CCOCC5)c(c4)C#N)cn2,CHEMBL3687168,7.57,pIC50
COc1cc2c(cc1OCCCO)ncn2c3cc(OCc4ccccc4C(F)(F)F)c(C#N)s3,CHEMBL220090,7.6,pIC50
N#Cc1cc(ccc1OC2CCOCC2)c3ccnc(Nc4cc(n[nH]4)C5CC5)c3,CHEMBL3687155,7.6,pIC50
N#Cc1cc(ccc1OC2CCOCC2)c3ccnc(Nc4ccc(CN5CCOCC5)cn4)c3,CHEMBL3687133,7.6,pIC50
N#Cc1cc(ccc1OC2CCOCC2)c3ccnc(Nc4cnn(CC5CCOC5)c4)n3,CHEMBL3687182,7.6,pIC50
N#Cc1cc(ccc1OC2CCOCC2)c3ccnc(Nc4cnn(CCN5CCOCC5)c4)n3,CHEMBL3687180,7.6,pIC50
COc1ccc(cc1)c2nc3c(NCCCNC(=O)C4CCC4)c(Br)cnc3[nH]2,CHEMBL2011933,7.68,pIC50
COc1nc(Nc2nccc(n2)c3ccc(OC4CCOCC4)c(c3)C#N)ccc1C5=CCNCC5,CHEMBL3682432,7.68,pIC50
NC(=O)c1ccc(Nc2cc(ccn2)c3ccc(OC4CCOCC4)c(c3)C#N)nc1,CHEMBL3687178,7.68,pIC50
OCc1ccc(Nc2cc(ccn2)c3ccc(OC4CCOCC4)c(c3)C#N)nc1,CHEMBL3687158,7.68,pIC50
CN1CCC(CC1)n2cc(Nc3cc(ccn3)c4ccc(OC5CCOCC5)c(c4)C#N)cn2,CHEMBL3687148,7.7,pIC50
COc1ccc(cc1)c2nc3c(NCCCN(C)C(=O)C4CCC4)c(Br)cnc3[nH]2,CHEMBL2011934,7.7,pIC50
COCCn1cc(Nc2nccc(n2)c3ccc(OC4CCOCC4)c(c3)C#N)cn1,CHEMBL3687176,7.75,pIC50
OCCn1cc(Nc2nccc(n2)c3ccc(OCC4CCC4)c(c3)C#N)cn1,CHEMBL3687124,7.75,pIC50
Brc1cnc2[nH]c(nc2c1NCCCNC(=O)C3CCC3)c4ccc(OCCN5CCCCC5)cc4,CHEMBL2011941,7.77,pIC50
