SMILES,ChEMBL,target,metric
[H]NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@@H]3CSSC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC4=CC=CC=C4)NC2=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)NC(=O)CNC1=O)C(C)C)C(C)C)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N3)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(O)=O,mecasermin,8.30980396,pIC50
CC(=O)N1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,CHEMBL3823914,7.54,pIC50
CC(C)Oc1cc(nc2cc(ccc12)c3nc([C@@H]4C[C@@H](C4)N5CCN(C)CC5)n6ccnc(N)c36)c7ccccc7,CHEMBL3037918,7.54,pIC50
CC12CCC(COc3cccc(c3)c4cn([C@@H]5C[C@H](CO)C5)c6ncnc(N)c46)(CC1)O2,CHEMBL3786558,7.54,pIC50
COc1cc(ccc1Nc2ncc3C(C)Cc4nn(C)c(c5ccccc5Cl)c4c3n2)C(=O)O,CHEMBL3660891,7.54,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCC(CC5)N6C[C@@H]7C[C@@H]6CO7,CHEMBL474469,7.54,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCC(CC5)N6C[C@@H]7C[C@H]6CO7,CHEMBL1077339,7.54,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCC(O)CC5,CHEMBL520419,7.54,pIC50
Cc1nn(C2CCN(CC2)C(=O)CO)c(C)c1Nc3ncc(Cl)c(n3)c4cnn5ccccc45,CHEMBL3822587,7.54,pIC50
Cn1nc2CCc3cnc(Nc4ccccc4)nc3c2c1Cc5ccccc5,CHEMBL3656579,7.54,pIC50
CC(=O)Nc1cc(CN2C(=O)N(C(=O)C2(C)C)c3ccc(SC(F)(F)F)cc3)ccn1,CHEMBL1762178,7.55,pIC50
CN1CCN(CC1)C2CCN(CC2)c3cc(C)c4nc([nH]c4c3)C5=C(NC[C@@H](O)c6cccc(Cl)c6)C=CNC5=O,CHEMBL451331,7.55,pIC50
COCC(=O)N1CCN(CC1)c2cc(C)c3nc([nH]c3c2)C4=C(NC[C@@H](O)c5cccc(Cl)c5)C=CNC4=O,CHEMBL1098712,7.55,pIC50
COc1cc(ccc1Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)N7CCC(CC7)N8CCN(C)CC8,CHEMBL449110,7.55,pIC50
COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc3nc(Nc4ccoc4C(=O)N)c5cc[nH]c5n3,CHEMBL515519,7.55,pIC50
COc1ccc(NC(=O)CN(C)C)cc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2,CHEMBL468619,7.55,pIC50
COc1ccccc1Nc2ncc3C(C)Cc4nn(C)c(C(C)C)c4c3n2,CHEMBL3656746,7.55,pIC50
C[C@]1(CCCN1c2nc(Nc3cc([nH]n3)C(=O)N)c4cccn4n2)C(=O)Nc5ccc(N)nc5,CHEMBL3655745,7.55,pIC50
Fc1cc(F)cc(Cc2ccc3[nH]nc(NC(=O)c4ccc(cc4NC5CCOCC5)N6CCNCC6)c3c2)c1,CHEMBL3805643,7.55,pIC50
Fc1cccc(Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(=O)Nc6c(F)cccc6F)c1,CHEMBL480544,7.55,pIC50
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC6CCOCC6)CC5,CHEMBL3735648,7.56,pIC50
CCc1cc(Nc2nccc(n2)c3c(nc4ccccn34)c5ccc(OC)c(c5)C(=O)Nc6c(F)cccc6F)c(OC)cc1N7CCC(CC7)N8CCN(CC8)S(=O)(=O)C,CHEMBL466397,7.57,pIC50
CN(C)C(=O)[C@@H]1CC[C@H](CC1)c2nc(c3ccc4ccc(nc4c3F)c5ccccc5)c6c(N)nccn26,CHEMBL1667938,7.57,pIC50
COC(=O)N1CCN(CC1)c2ccc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c(OC)c2,CHEMBL1809066,7.57,pIC50
COc1cc(N2CCC(CC2)N3CCN(C)CC3)c(C)cc1Nc4ncc(Cl)c(Nc5ccccc5P(=O)(C)C)n4,CHEMBL3823836,7.57,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(O)CC4,CHEMBL3823017,7.57,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)CO,CHEMBL1809069,7.57,pIC50
COc1ccc2c(Oc3ccc(NC(=O)C4=C(N(C)N(C4=O)c5ccccc5)c6cccnc6)nc3)ccnc2c1,CHEMBL2032016,7.57,pKi
COc1ccccc1Cc2nc3ccc(cc3[nH]2)c4nn([C@@H]5CC[C@H](CC5)N6CCN(CC6)C(=O)C)c7ncnc(N)c47,CHEMBL452717,7.57,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCC(CC5)N6CCCC6,CHEMBL480965,7.57,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCN(CC5)S(=O)(=O)C,CHEMBL1097425,7.57,pIC50
Cn1nc2CCc3cnc(Nc4ccccc4)nc3c2c1C(C)(C)C,CHEMBL3656591,7.57,pIC50
Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CC[S+]([O-])CC4)C3)c5cc(OC[C@@H]6CCCO6)ccc5F,CHEMBL3787436,7.57,pIC50
O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6ccc7CNCCc7c6)n5,CHEMBL1090364,7.57,pIC50
COc1cc2nccc(Oc3ccc(NC(=O)C4=C(C)N(C)N(C4=O)c5ccccc5)c(Cl)c3)c2cc1OC,CHEMBL2031898,7.58,pKi
CC(C)Oc1cc(nc2c(F)c(ccc12)c3nc([C@@H]4C[C@@H](C4)N5CCN(C)CC5)n6ccnc(N)c36)c7ccccc7,CHEMBL3037922,7.59,pIC50
CCc1c2c(CCc3cnc(Nc4cc(Cl)c(cc4OC)C(=O)NC5CCN(C)CC5)nc23)nn1C,CHEMBL3660944,7.59,pIC50
CCn1c(C)c(C)nc1Sc2ccc(Nc3c(cnc4cc(NCCCN(CCO)CCO)c(OC)cc34)C#N)cc2Cl,CHEMBL504379,7.59,pIC50
CN1CCC(CC1)c2cc(C)c3nc([nH]c3c2)C4=C(NCCn5cc(Cl)cn5)C=CNC4=O,CHEMBL461422,7.59,pIC50
COc1cc(N2CC(C2)N(C)C)c(NC(=O)C=C)cc1Nc3ncc(Cl)c(n3)c4cnn5ccccc45,CHEMBL3353405,7.59,pIC50
COc1cc(OC2CNC2)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,CHEMBL1809052,7.59,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4cc(C)ccn34)N5CCN(CC5)C(=O)C,CHEMBL1809205,7.59,pIC50
COc1cc2c(Nc3ccc(Sc4nc(C)c(C)n4C)c(Cl)c3)c(cnc2cc1NCCCN(C)C)C#N,CHEMBL467438,7.59,pIC50
COc1ccccc1Cc2nc3ccc(cc3[nH]2)c4nn([C@@H]5CC[C@H](CC5)N6CCNCC6)c7ncnc(N)c47,CHEMBL455208,7.59,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NC[C@@H](O)c4cccc(Cl)c4)C=CNC3=O)N5CCN(CCO)CC5,CHEMBL1097426,7.59,pIC50
Nc1ncnn2c(nc(c3ccc4ccc(nc4c3)c5ccccc5)c12)[C@@H]6C[C@@H](C6)N7CCN(CC7)C=O,CHEMBL1688360,7.59,pIC50
CCCN1CCC(CC1)Oc2cc(Nc3nc(Nc4cccc(F)c4C(=O)N)c5cc[nH]c5n3)c(OC)cc2Cl,CHEMBL517171,7.6,pIC50
CCCc1c2c(CCc3cnc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)nc23)nn1C,CHEMBL3656626,7.6,pIC50
CN(C)C(=O)CN1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,CHEMBL3823095,7.6,pIC50
CN1CCN(CC1)[C@@H]2C[C@@H](C2)c3nc(c4ccc5ccc(nc5c4)c6ccccc6)c7c(N)ncnn37,CHEMBL1688362,7.6,pIC50
CNC(=O)CN1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,CHEMBL3823962,7.6,pIC50
CNC(=O)c1cscc1Nc2nc(Nc3cc4N(CCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25,CHEMBL457548,7.6,pIC50
COC(=O)c1ccc(Nc2ncc3CCc4nn(C)c(c5ccccc5Cl)c4c3n2)c(OC)c1,CHEMBL3652812,7.6,pIC50
COCCNC(=O)c1cc(F)ccc1Nc2nc(Nc3ccc(cc3OC)N4CCN(CC4)C(C)C)nc5[nH]ccc25,CHEMBL511013,7.6,pIC50
COc1cc(ccc1Nc2nc(Nc3ccccc3n4cccn4)c5cc[nH]c5n2)N6CCN(CC6)C(C)C,CHEMBL463322,7.6,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3P(=O)(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,CHEMBL3545311,7.6,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4cc(F)ccn34)N5CCN(CC5)C(=O)C,CHEMBL1809204,7.6,pIC50
COc1cc2CCCN(C(=O)C)c2cc1Nc3nc(Nc4cccc(F)c4C(=O)N)c5cc[nH]c5n3,CHEMBL459538,7.6,pIC50
C[C@@H](N)C(=O)N1CCC(CC1)n2nc(C)c(Nc3ncc(Cl)c(n3)c4cnn5ccccc45)c2C,CHEMBL3822644,7.6,pIC50
Cc1cc(cc2[nH]c(nc12)C3=C(NCCn4cc(Cl)cn4)C=CNC3=O)C5CCN(CCO)CC5,CHEMBL460996,7.6,pIC50
Cn1ccc(Nc2ncc3CCc4nn(C)c(Cc5cccc(c5)C(F)(F)F)c4c3n2)n1,CHEMBL3656745,7.6,pIC50
Nc1ncnc2c1c(nn2[C@@H]3CC[C@H](CC3)N4CCOCC4)c5ccc6nc(Cc7cccs7)[nH]c6c5,CHEMBL248877,7.6,pIC50
COc1ccc2c(Oc3ccc(NC(=O)C4=C(N(C)N(C4=O)c5ccccc5)c6csc(C)n6)nc3)ccnc2c1,CHEMBL2032019,7.61,pKi
CC(=O)N1CCC(CC1)n2ncc(Nc3ncc(Cl)c(n3)c4cnc5ccccn45)c2C,CHEMBL3822583,7.62,pIC50
CCOc1cc(nc2cc(ccc12)c3nc([C@@H]4C[C@@H](C4)N5CCN(C)CC5)n6ccnc(N)c36)c7ccccc7,CHEMBL3037917,7.62,pIC50
