SMILES,ChEMBL,target,metric
Nc1cc2cc(nc(C(=O)c3ccc4OCOc4c3)c2cc1O)C(=O)O,CHEMBL57992,6.07,pKi
COc1ccc(cc1O)C(=O)c2nc(cc3cc(OC)c(O)cc23)C(=O)O,CHEMBL339236,6.5,pKi
COc1cc2cc(nc(C(=O)c3ccc(O)c(O)c3)c2c(Br)c1O)C(=O)O,CHEMBL132276,6.85,pKi
Nc1ccc(cc1)C(=O)c2nc(cc3cc(O)c(O)cc23)C(=O)O,CHEMBL292844,6.89,pKi
CS(=O)(=O)Nc1ccc(cc1)C(=O)c2nc(cc3cc(O)c(O)cc23)C(=O)O,CHEMBL58431,6.96,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3cccc(F)c3,CHEMBL57604,6.96,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccccc3Cl,CHEMBL60573,6.96,pKi
Cc1cc(C)c(C(=O)c2nc(cc3cc(O)c(O)cc23)C(=O)O)c(C)c1,CHEMBL416319,7.0,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(Cc3ccc4OCOc4c3)n1,CHEMBL293379,7.14,pKi
COc1cc2c(nc(cc2c(Br)c1O)C(=O)O)C(=O)c3ccc(O)c(O)c3,CHEMBL128111,7.16,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc4OCOc4c3,CHEMBL292612,7.16,pKi
CCCCC(CC)CNc1ccc(cc1F)C(=O)c2nc(cc3cc(O)c(O)cc23)C(=O)O,CHEMBL57769,7.21,pKi
Nc1cc2cc(nc(C(=O)c3ccc(O)c(O)c3)c2cc1O)C(=O)O,CHEMBL57745,7.22,pKi
Oc1ccc(cc1O)C(=O)c2nccc3cc(O)c(O)cc23,CHEMBL128883,7.24,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(F)c(F)c3,CHEMBL293339,7.29,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Cl)cc3Cl,CHEMBL128555,7.36,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(cc3)C(F)(F)F,CHEMBL57388,7.42,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Oc4ccc(cc4)C(F)(F)F)c(F)c3,CHEMBL57564,7.5,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Oc4ccc(cc4)c5ccccc5)c(F)c3,CHEMBL57084,7.5,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(cc3)[N+](=O)[O-],CHEMBL57742,7.5,pKi
OC(c1ccc(Oc2ccccc2)cc1)c3nc(cc4cc(O)c(O)cc34)C(=O)O,CHEMBL291454,7.5,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Sc4ccc(Cl)cc4)c(F)c3,CHEMBL301447,7.51,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Cl)c(Cl)c3,CHEMBL301887,7.54,pKi
Oc1cc2cc(O)c(O)cc2c(Cc3ccc(O)c(O)c3)n1,CHEMBL336069,7.54,pKi
Oc1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(O)c(O)c3,CHEMBL130994,7.55,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3cccc4ccccc34,CHEMBL128554,7.57,pKi
OC(c1ccccc1Cl)c2nc(cc3cc(O)c(O)cc23)C(=O)O,CHEMBL56721,7.6,pKi
OC(c1cccc(F)c1)c2nc(cc3cc(O)c(O)cc23)C(=O)O,CHEMBL56720,7.62,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Oc4ccc(Cl)cc4)c(F)c3,CHEMBL57760,7.7,pKi
OC(c1ccc(cc1)C(F)(F)F)c2nc(cc3cc(O)c(O)cc23)C(=O)O,CHEMBL61192,7.75,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc4ccccc4c3,CHEMBL131104,7.89,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Oc4ccc(Cl)c(Cl)c4)c(F)c3,CHEMBL292890,7.92,pKi
Cc1cc(C)c(C(O)c2nc(cc3cc(O)c(O)cc23)C(=O)O)c(C)c1,CHEMBL294258,7.96,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Oc4cccc(Cl)c4)c(F)c3,CHEMBL300828,7.96,pKi
Cc1ccc(Oc2ccc(cc2F)C(=O)c3nc(cc4cc(O)c(O)cc34)C(=O)O)cc1,CHEMBL56740,8.03,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(Oc4cc(Cl)cc(Cl)c4)c(F)c3,CHEMBL292841,8.05,pKi
OC(=O)c1cc(Cc2ccc(O)c(O)c2)c3cc(O)c(O)cc3n1,CHEMBL56978,8.1,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(Cc3ccc(O)c(O)c3)n1,CHEMBL58396,8.13,pKi
OC(=O)c1cc2cc(O)c(O)cc2c(n1)C(=O)c3ccc(O)c(O)c3,CHEMBL292700,8.25,pKi
