SMILES,ChEMBL,target,metric
CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,nitrendipine,6.05000019,pKd
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,riluzole,5.67000008,pIC50
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,clotrimazole,7.15,pIC50
CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,(S)-nitrendipine,7.59999991,pIC50
O=C1Oc2cc3occc3c(OCCCCOc4ccccc4)c2C=C1,CHEMBL444449,5.0,pIC50
O=P(N(Cc1ccccn1)c2cccnc2)(c3ccccc3)c4ccccc4,CHEMBL2313226,5.0,pIC50
Fc1ccc(c(NP(=O)(c2ccccc2)c3ccccc3)c1)n4cccn4,CHEMBL2312923,5.11,pIC50
O=P(NCc1cccnc1c2cccc(c2)C#N)(c3ccccc3)c4ccccc4,CHEMBL2312930,5.11,pIC50
Clc1cccc(c1)c2ncccc2CNP(=O)(c3ccccc3)c4ccccc4,CHEMBL2312929,5.31,pIC50
C1CN=C(O1)C(c2ccccc2)(c3ccccc3)c4ccccc4,CHEMBL271167,5.37,pIC50
CN(C)C(c1ccccc1)(c2ccccc2)c3ccccc3,CHEMBL259899,5.5,pIC50
CCCN(c1cccc(c1)C#N)P(=O)(c2ccccc2)c3ccccc3,CHEMBL2312920,5.57,pIC50
O=C1CN(c2ccccc2c3ccccc13)S(=O)(=O)c4cccs4,CHEMBL497249,5.62,pIC50
Cc1ccc(cc1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL498086,5.68,pIC50
O=P(C(N1CCCCC1)c2cccnc2)(c3ccccc3)c4ccccc4,CHEMBL2312927,5.75,pIC50
CCNC(c1ccccc1)(c2ccccc2)c3ccccc3,CHEMBL260107,5.76,pIC50
Clc1ccc(cc1)S(=O)(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL522750,5.85,pIC50
Clc1cccc(c1)C(=O)N2CC(=O)c3ccccc3c4ccccc24,CHEMBL497250,5.89,pIC50
O=P(C(c1cccnc1)c2cccnc2)(c3ccccc3)c4ccccc4,CHEMBL2312925,6.0,pIC50
CNC(c1ccccc1)(c2ccccc2)c3ccccc3,CHEMBL270288,6.26,pIC50
O=P(C(c1ccccc1)c2cccnc2)(c3ccccc3)c4ccccc4,CHEMBL2312926,6.3,pIC50
COC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3,CHEMBL270495,6.48,pIC50
CC(C)c1nc2N(Cc3ccc(F)c(OC(F)(F)F)c3)C(=O)CS(=O)(=O)c2s1,CHEMBL3287206,7.02,pIC50
NC(c1ccccc1)(c2ccccc2)c3ccccc3,CHEMBL272255,7.16,pIC50
OCc1ccc2SCC(=O)N(Cc3ccc(Cl)c(c3)C(F)(F)F)c2n1,CHEMBL3287211,7.18,pIC50
CC(N1C(=O)CSc2ncsc12)c3ccc(F)c(OC(F)(F)F)c3,CHEMBL3287212,7.22,pIC50
FC(F)(F)Oc1cccc(CN2C(=O)CSc3cccnc23)c1,CHEMBL3287209,7.28,pIC50
Fc1ccc(CN2C(=O)CS(=O)(=O)c3cccnc23)cc1OC(F)(F)F,CHEMBL3287205,7.31,pIC50
Fc1ccc(CN2C(=O)CS(=O)(=O)c3sccc23)cc1OC(F)(F)F,CHEMBL3287208,7.32,pIC50
CC(N1C(=O)CSc2cccnc12)c3cccc(c3)C(F)(F)F,CHEMBL3287210,7.39,pIC50
NC(=O)C(c1ccccc1)(c2ccccc2)c3ccc(F)cc3,CHEMBL258604,7.4,pIC50
CC(N1C(=O)CS(=O)(=O)c2ccsc12)c3ccc(F)c(OC(F)(F)F)c3,CHEMBL3287207,7.41,pIC50
NC(=O)C(c1ccccc1)(c2ccccc2)c3ccc(F)cc3F,CHEMBL270913,7.47,pIC50
NC(=O)C(c1ccccc1)(c2cccc(F)c2)c3cccc(F)c3,CHEMBL261828,7.52,pIC50
NC(=O)C(c1ccccc1)(c2ccccc2F)c3ccccc3F,CHEMBL261606,7.52,pIC50
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4cccn4,CHEMBL498270,7.7,pIC50
NC(c1ccccc1)(c2ccccc2)c3ccccc3Cl,CHEMBL406683,7.7,pIC50
NC(=O)C(c1ccc(F)cc1)(c2ccc(F)cc2)c3cccc(F)c3,CHEMBL260953,7.77,pIC50
NC(=O)C(c1ccc(F)cc1)(c2cccc(F)c2)c3cccc(F)c3,CHEMBL408700,7.82,pIC50
NC(=O)C(c1ccc(F)cc1)(c2ccccc2F)c3ccccc3F,CHEMBL273092,7.82,pIC50
NC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3F,CHEMBL270071,7.82,pIC50
NC(=O)C(c1ccc(F)cc1)(c2ccc(F)cc2)c3ccc(F)cc3,CHEMBL270704,7.85,pIC50
NC(=O)C(c1ccccc1)(c2ccccc2)c3ccc(F)c(F)c3,CHEMBL272040,7.85,pIC50
NC(=O)C(c1cccc(F)c1)(c2cccc(F)c2)c3cccc(F)c3,CHEMBL260736,7.89,pIC50
NC(=O)C(c1ccccc1)(c2ccc(F)cc2)c3ccc(F)cc3,CHEMBL405821,7.92,pIC50
NC(=O)C(c1ccc(F)cc1)(c2ccc(F)cc2)c3ccccc3F,CHEMBL272039,8.0,pIC50
NC(=O)C(c1ccccc1)(c2ccc(F)cc2)c3ccccc3F,CHEMBL42205,8.05,pIC50
