SMILES,ChEMBL,target,metric
CC#CCOc1ccc(cc1)S(=O)(=O)N(C)c2c(cnc3c2c(C)nn3C)C(=O)NO,CHEMBL289222,6.0,pIC50
CC(C)C[C@H](NC(=O)[C@H](CCc1ccc(O)cc1)N[C@H](C)C(=O)O)C(=O)Nc2ccccc2,CHEMBL312649,6.0,pKi
CC(C)C[C@H]([C@H](CN(C)S(=O)(=O)C)C(=O)NO)C(=O)N(C)C,CHEMBL100273,6.0,pIC50
CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(Oc3ccc(cc3)C#N)cc2)N(O)C=O)C1=O,CHEMBL311618,6.0,pIC50
CCCCCCN1CCN(C(C1)C(=O)NO)S(=O)(=O)c2ccc(OC)cc2,CHEMBL124265,6.0,pIC50
CCOC(=O)C1CCCC(C1)C(CC(=O)NO)S(=O)(=O)c2ccc(OC)cc2,CHEMBL40746,6.0,pKi
CCOc1ccc(Oc2ccc(cc2)S(=O)(=O)C3(CCN(CC3)C4CC4)C(=O)NO)cc1,CHEMBL1801412,6.0,pIC50
CCOc1ccc(cc1)c2ccc(OCC(CN3C(=O)NC(C)(C)C3=O)N(O)C=O)cc2,CHEMBL40151,6.0,pIC50
CN(c1c(cnc2ccccc12)C(=O)NO)S(=O)(=O)c3ccc(Oc4ccncc4)cc3,CHEMBL287871,6.0,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCc2ccccc2)CC(=O)NO,CHEMBL293382,6.0,pIC50
COc1ccc(cc1)S(=O)(=O)C(CC(=O)NO)Cc2ccccc2,CHEMBL153469,6.0,pKi
COc1ccc(cc1)S(=O)(=O)C(CC(C)C)(Cc2cccnc2)C(=O)NO,CHEMBL75641,6.0,pIC50
COc1ccc(cc1)S(=O)(=O)C2CCCC(S)C2,CHEMBL295066,6.0,pIC50
COc1ccc(cc1)S(=O)(=O)N2CCN(CC2C(=O)NO)C(=O)c3cccnc3,CHEMBL125281,6.0,pIC50
C[C@@H](N)C(=O)N[C@@H](CCc1ccccc1)C(=O)NC(CCCCCCCCCN)C(=O)Nc2ccccc2,CHEMBL343378,6.0,pKi
C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)c3cc4[nH]c5cc(Cl)ccc5c4s3)C(=O)O,CHEMBL1766903,6.0,pIC50
ONC(=O)C1(CCN(CC1)C2CC2)S(=O)(=O)c3ccc(Oc4ccc5OCOc5c4)cc3,CHEMBL1801422,6.0,pIC50
ONC(=O)[C@@H]1CSCN1S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2,CHEMBL1957602,6.0,pIC50
CCCCCCCCCCCCS(=O)(=O)NNC(=O)C[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC,CHEMBL450479,6.01,pIC50
CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc2ccc(Cc3ccc(F)cc3)cc2)C(C)(C)C,CHEMBL74954,6.01,pIC50
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)\C(=C\C=C\C)\CC(=O)NO,CHEMBL237078,6.01,pIC50
CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C(CC(C)C)C(S)CC(=O)OCc2ccccc2,CHEMBL131654,6.01,pIC50
CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C2(CCCCC2)NC(CCN3C(=O)c4cc5ccccc5cc4C3=O)C(=O)O,CHEMBL301600,6.01,pIC50
CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)NC(CC(C)C)C(=O)OC(C)(C)C,CHEMBL132053,6.01,pIC50
