SMILES,ChEMBL,target,metric
CC(C)[C@H]1COC(=O)N1c2ccnc(NC(C)c3cccc(c3)N4CCOCC4)n2,CHEMBL3672216,6.0,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(N[C@@H](C)c3ccc(CO)cc3)n2,CHEMBL3682008,6.0,pIC50
C[C@H](Nc1ncc(F)c(n1)N2CC3(CC3)OC2=O)c4ccc(cc4F)C(F)(F)F,CHEMBL3682029,6.0,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(NC(C)c3ccc(cc3)S(=O)(=O)C)n2,CHEMBL3677163,6.02,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(NC(C)c3onc(n3)C(C)(C)C)n2,CHEMBL3677182,6.02,pIC50
CC1=CC(=O)N(O)C(=C1)Cc2cccc3ccccc23,CHEMBL3343458,6.02,pKi
CC1=CC(=O)N(O)C(=C1)Cc2ccsc2,CHEMBL3343455,6.02,pKi
C[C@H](Nc1nccc(n1)N2C(=O)OC(C)C2(C)C)c3cnc(OCC(F)(F)F)c(Cl)c3,CHEMBL3682045,6.02,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(N[C@@H](C)c3ccc(cc3)[N+]#[C-])n2,CHEMBL3672202,6.03,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(N[C@@H](C)c3oc(nn3)c4ccccc4)n2,CHEMBL3682017,6.03,pIC50
COc1ccc(cc1)n2cc(cn2)C(C)Nc3nccc(n3)N4[C@H](COC4=O)C(C)C,CHEMBL3639758,6.03,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(NC(C)c3onc(n3)c4ccc(Cl)cc4)n2,CHEMBL3677192,6.04,pIC50
C[C@H](Nc1nccc(n1)N2C(c3ccccc3)C4(COC4)OC2=O)c5ccccc5,CHEMBL3682113,6.04,pIC50
CC(C)[C@H]1COC(=O)N1c2ccnc(NC(C)c3ccc(NS(=O)(=O)C)cc3)n2,CHEMBL3677160,6.06,pIC50
