SMILES,ChEMBL,target,metric
[H][C@@]1(C[C@H]2CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]2O)O[C@@]1([H])[C@@H](C)[C@H](C)O,mupirocin,9.1,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3ccc4cc(OC)ccc4c3,CHEMBL340359,6.4,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3ccc(Oc4ccccc4)cc3,CHEMBL125221,6.43,pIC50
CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3ccccc3,CHEMBL264002,6.48,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(CCc3ccccc3)cs2,CHEMBL125820,6.52,pIC50
CCCCS(=O)(=O)N[C@H]1CO[C@@H](C\C=C\C(=O)OCCCCCCCCC(=O)OC)[C@H](O)[C@@H]1O,CHEMBL95037,6.52,pIC50
COC(=O)CCCCCCCCOC(=O)\C=C\C[C@@H]1OC[C@H](NS(=O)(=O)c2cccc(Cl)c2)[C@@H](O)[C@H]1O,CHEMBL98732,6.52,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3ccc(OC)cc3,CHEMBL333001,6.7,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3occ(c3)C#N,CHEMBL123796,6.92,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(CCc3ccc(Oc4ccccc4)cc3)cs2,CHEMBL126515,6.96,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3ccccc3OC,CHEMBL538163,7.0,pIC50
COC(=O)CCCCCCCCOC(=O)\C=C\C[C@@H]1OC[C@H](NS(=O)(=O)CCCCl)[C@@H](O)[C@H]1O,CHEMBL94318,7.0,pIC50
CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL1163069,7.01,pIC50
CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)nc(nc23)C#C,CHEMBL605592,7.41,pIC50
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c2nc(cs2)c3cccc(OC)c3,CHEMBL125075,7.47,pIC50
CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)nc(I)nc23,CHEMBL605376,7.85,pIC50
C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]2CO[C@@H](C\C(=C\C(=O)OCCCCCCCCC(=O)O)\C)[C@H](O)[C@@H]2O,CHEMBL719,9.1,pIC50
