SMILES,ChEMBL,target,metric
NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N,nafamostat,6.19,pIC50
NC(=N)c1ccc2cc(\C=C\c3ccccc3)ccc2c1,CHEMBL185345,6.0,pKi
NC(=N)c1ccc2cc(cc(Br)c2c1)C(=O)Nc3ccccc3,CHEMBL182220,6.0,pKi
NC(=N)c1ccc2cccc(Nc3ncccn3)c2c1,CHEMBL103043,6.0,pKi
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC2CCN(CC2)C(=N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](Cc5c[nH]c6ccccc56)NC1=O)C(=O)O,CHEMBL3735263,6.08,pKi
NC(=N)NCCCC(NC(=O)OCc1ccccc1)P(=O)(Oc2ccccc2)Oc3ccccc3,CHEMBL239331,6.09,pIC50
NC(=N)c1cc(Br)c(OCCCCCOc2c(Br)cc(cc2Br)C(=N)N)c(Br)c1,CHEMBL2011749,6.09,pKi
NC(=N)c1ccc2cc(\C=C\c3ccccc3)cc(Br)c2c1,CHEMBL360703,6.11,pKi
CC(C)C1=NCCc2ccc(cc12)[C@H]3CC3c4ccc5cc(ccc5c4)C(=N)N,CHEMBL183021,6.19,pKi
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3nc(c(Cl)[nH]3)c4ccc5c(N)n[nH]c5c4,CHEMBL3398612,6.19,pKi
CS(=O)(=O)O.NC(=N)c1ccc2cc(OC(=O)c3ccc(NC4=NCCN4)cc3)ccc2c1,CHEMBL1201881,6.22,pKi
CC(C)C1N(C)CCc2ccc(cc12)C3CC3c4ccc5cc(ccc5c4)C(=N)N,CHEMBL185515,6.24,pKi
CC(C)C1=NCCc2ccc(cc12)C3CC3c4ccc5cc(ccc5c4)C(=N)N,CHEMBL179941,6.28,pKi
NC(=N)c1ccc2cc(cc(C3CCOC3)c2c1)C(=O)Nc4ccccc4,CHEMBL105395,6.4,pKi
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC2CCN(CC2)C(=N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](Cc5ccccc5)NC1=O)C(=O)O,CHEMBL3735217,6.42,pKi
NC(=N)c1ccc2cc(cc(Br)c2c1)C3CC3c4ccccc4,CHEMBL181599,6.42,pKi
CCC(C)(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)OCc4ccccc4)B5O[C@@H]6CC7CC(C7(C)C)[C@]6(C)O5,CHEMBL288176,6.43,pKi
NC(=N)c1ccc2cc(ccc2c1)C3CC3c4ccc5CCN=C(c6ccccc6)c5c4,CHEMBL182460,6.47,pKi
CC(C)Oc1cccc(NC(=O)c2cc(C3CCOC3)c4cc(ccc4c2)C(=N)N)c1,CHEMBL421214,6.52,pKi
CN1CCc2ccc(cc2C1C3CCCCC3)C4CC4c5ccc6cc(ccc6c5)C(=N)N,CHEMBL182547,6.53,pKi
NC(=N)c1ccc2cc(cc(c3cocc3)c2c1)C(=O)Nc4ccccc4,CHEMBL319047,6.57,pKi
NC(=N)c1cccc(Oc2ccccc2NC(=O)c3ccc(cc3)c4ccccc4S(=O)(=O)N)c1,CHEMBL297835,6.6,pIC50
NC(=N)Nc1ccc(cc1)C(NC(=O)OCc2ccccc2)P(=O)(Oc3ccccc3)Oc4ccccc4,CHEMBL1184949,6.62,pIC50
NC(=N)c1ccc2cc(ccc2c1)C3CC3c4ccc5CCN=C(C6CCCCC6)c5c4,CHEMBL182303,6.69,pKi
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC2CCN(CC2)C(=N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](Cc5ccccc5)NC1=O)C(=O)O,CHEMBL3735513,6.7,pKi
CCOC(=O)CN(CC=C)C(=O)\C(=C\c1ccc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)\C.CS(=O)(=O)O,CHEMBL85136,6.72,pIC50
CCCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OCc2ccccc2)C(c3ccccc3)c4ccccc4)B5O[C@@H]6CC7CC(C7(C)C)[C@]6(C)O5,CHEMBL287918,6.8,pKi
CN1Cc2cccc(NC(=O)OCC(C)(C)c3ccc(cc3)[C@H](Nc4ccc5c(N)nccc5c4)C1=O)c2,CHEMBL3809993,6.81,pKi
NC(=N)c1ccc2cc(CCc3ccccc3)cc(Nc4ncccn4)c2c1,CHEMBL181595,6.81,pKi
CCCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)B4O[C@@H]5CC6CC(C6(C)C)[C@]5(C)O4,CHEMBL291026,6.92,pKi
NC1CCC(C[C@H](NC(=O)Cc2ccccc2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)CC1,CHEMBL2171750,6.96,pKi
CC(C)S(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2,CHEMBL3594311,7.0,pKi
CCS(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2,CHEMBL3594310,7.0,pKi
CCS(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3C)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2,CHEMBL3594314,7.0,pKi
NC(=N)c1ccc2cc(cc(Nc3ncccn3)c2c1)C(=O)Nc4ccccc4,CHEMBL104505,7.0,pKi
C\C(=C/c1ccc(cc1)C(=O)Oc2ccc(cc2)C(=N)N)\C(=O)N(CC=C)CC(=O)O.CS(=O)(=O)O,CHEMBL85154,7.02,pIC50
