SMILES,ChEMBL,target,metric
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O,oxymorphone,6.8297,pKi
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O,nalbuphine,8.0,pKi
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,naltrexone,8.93,pKi
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,buprenorphine,9.01,pKi
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1,butorphanol,9.92,pKi
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C,nalmefene,9.92,pKi
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CC[C@H]2N(C)C(=O)\C=C\C1=COC=C1,nalfurafine,9.64,pKi
CC(C)C[C@H](NC(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CCCN2C(=O)CCNC(=O)[C@H](Cc3ccccc3)N(C)C(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc4ccc(O)cc4)C(=O)N,CHEMBL3597074,7.0,pKi
CC(CCN1CC[C@](C)([C@@H](C)C1)c2cccc(c2)C(=O)N)c3ccccc3,CHEMBL139180,7.0,pKi
CN([C@H](CN1CCCC1)c2ccccc2)C(=O)[C@@H](NC(=O)c3ccccc3)c4ccccc4,CHEMBL182106,7.0,pKi
COCOC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cocc4,CHEMBL196734,7.0,pKi
C[C@@H]1C[C@](C)([C@@H](C)CN1CCc2ccccc2)c3cccc(O)c3,CHEMBL203307,7.0,pKi
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,alvimopan,7.0,pKi
C[C@H]1[C@@H]2CC[C@@H](CN2CC[C@@]1(C)c3cccc(O)c3)c4ccccc4,CHEMBL385392,7.0,pKi
NC(=O)c1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@H]5Oc1c2[C@]45CCN3CC=C,CHEMBL516552,7.0,pKi
NC(=O)c1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@H](O)CC[C@@]36O,CHEMBL511588,7.0,pKi
O=C1NCN(c2ccccc2)C13CCN(Cc4cccc(Oc5ccccc5)c4)CC3,CHEMBL115280,7.0,pIC50
OC(CNCCN1CCOCC1)CN2C(=O)C3(CCN(CC4CCCCCCC4)CC3)c5ccccc25,CHEMBL370613,7.0,pIC50
CC(C)(C)C1CCC(CC1)N2CCC3(CC2)C(=O)N(Cc4ccccc4)Cc5ccccc35,CHEMBL272805,7.01,pKi
CC(C)c1ccc2N(C)C(=O)C3(CCN(CC4CCCCCCC4)CC3)c2c1,CHEMBL197895,7.01,pIC50
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCC=C)CC2)c3cccc(O)c3,CHEMBL570232,7.01,pKi
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H]2CCNc3ccc(CC4CCCCC4)cc23,CHEMBL3634249,7.01,pEC50
Oc1ccc2O[C@@H]3CC[C@@H]4C[C@]3(CCN4CCc5ccccc5)c2c1,CHEMBL1808302,7.01,pKi
C(C1CC1)N2CC[C@]34CCCC[C@H]3[C@H]2Cc5cc6sc(Nc7ccccn7)nc6cc45,CHEMBL1766034,7.02,pKi
CCN(CC)C(=O)c1ccc(cc1)C2(CCN(CCc3ccccc3)CC2)c4cccc(O)c4,CHEMBL595472,7.02,pKi
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@@]2(Cc6c4[nH]c7ccccc67)NC(=O)Cc8ccccc8)c35,CHEMBL2113379,7.02,pEC50
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(CCCc6ccccc6)Cc7c4[nH]c8ccccc78)c35,CHEMBL2113380,7.02,pEC50
C[C@H]1CN(CCc2ccccc2)CC[C@@]1(C)c3cccc(c3)C(=O)N,CHEMBL336234,7.02,pKi
Cc1cc(O)ccc1C[C@H](N)C(=O)N[C@@H]2CCNc3ccc(Cc4ccccc4)cc23,CHEMBL3770668,7.02,pKi
Cc1cnccc1C(=O)N[C@@H]2CC[C@@]3(O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,CHEMBL1852393,7.02,pKi
Cl.Cc1cnccc1C(=O)N[C@@H]2CC[C@@]3(O)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56,CHEMBL1824515,7.02,pKi
CN1CC[C@@]23c4c5CC1[C@]2(C\C=C\c6ccccc6)Cc7c([nH]c8ccccc78)[C@]3(C)Oc4c(O)cc5,CHEMBL110461,7.03,pKi
COC(=O)[C@@H]1C[C@H](OC(=O)Nc2ccccc2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5,CHEMBL190785,7.03,pKi
COc1ccccc1C2=CC=CN(C(CN3CCC(O)C3)c4ccccc4)C2=O,CHEMBL15034,7.03,pIC50
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H]2CSCCSC(C)(C)[C@@H](NC(=O)C3(Cc4ccccc4C3)NC2=O)C(=O)N[C@@H](CO)C(=O)N,CHEMBL3237722,7.03,pKi
Cc1ccc(NC2=CC=CN(C(CN3CCCC3)c4ccccc4)C2=O)cc1,CHEMBL14905,7.03,pIC50
Cc1ccc(cc1)S(=O)(=O)N2CCc3cc(ccc3C2)C(=O)NCCN(Cc4ccc(Br)cc4)C(C)(C)C,CHEMBL3590200,7.03,pIC50
Cl.CN([C@@H]1CCCC[C@H]1N2CCCC2)C(=O)Cc3ccc4sccc4c3,CHEMBL536550,7.03,pKi
Clc1cccc2C(CCCc12)N3CCC4(CC3)N(CNC4=O)c5ccccc5,CHEMBL241086,7.03,pKi
COC(=O)[C@@H]1C[C@@H](N(C)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)c4cocc4,CHEMBL213567,7.04,pKi
C[C@H]1C[C@H]2C[C@](CCN2CCc3ccccc3)(C1)c4cccc(O)c4,CHEMBL2418730,7.04,pKi
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@@H]2CCCc3ccc(Cc4ccc5ccccc5c4)cc23,CHEMBL3634253,7.04,pKi
C1CC[C@H]2C[C@@H](C1)C[C@H](C2)N3[C@@H]4CCC[C@H]3C[C@H](C4)n5c(nc6ccccc56)c7c[nH]cn7,CHEMBL3704644,7.05,pKi
CCC1C(=O)N(C2CCN(CCC(c3ccccc3)c4ccccc4)CC2)c5ccccc15,CHEMBL3262549,7.05,pKi
CN1CC[C@@]23c4c5CC1[C@@]2(CCC(=O)[C@]3(C)Oc4c(O)cc5)NC(=O)CSSCC(=O)N[C@]67CCC(=O)[C@]8(C)Oc9c(O)ccc%10CC6N(C)CC[C@@]78c9%10,CHEMBL297605,7.05,pIC50
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(C)c46)c35,CHEMBL374228,7.05,pKi
