SMILES,ChEMBL,target,metric
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCC(CC5)N6CCNCC6,CHEMBL2063927,7.55,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCC[C@H](N)C5,CHEMBL2017250,7.64,pIC50
CSc1nn(c2ccc(F)cc2)c3cc(ccc13)C4=CCNCC4,CHEMBL1809168,7.64,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCC[C@@H](N)C5,CHEMBL2017249,7.75,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CCC4)ncnc23)N5CCNCC5,CHEMBL2017242,7.75,pIC50
CSc1ccccc1Nc2nc(nc3c(NCc4nccs4)ncnc23)N5CCNCC5,CHEMBL2017246,7.8,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCC6(CCNCC6)CC5,CHEMBL2063925,7.82,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCNCC5,CHEMBL2017214,7.92,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCC(CN)CC5,CHEMBL2017251,8.0,pIC50
CSc1ccccc1Nc2nc(nc3c(NCc4ccccn4)ncnc23)N5CCNCC5,CHEMBL2017247,8.01,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CC6(CNC6)C5,CHEMBL2017253,8.1,pIC50
CSc1ccccc1Nc2nc(nc3c(N)ncnc23)N4CCNCC4,CHEMBL2017248,8.15,pIC50
COCCNc1ncnc2c(Nc3ccccc3SC)nc(nc12)N4CCNCC4,CHEMBL2017244,8.16,pIC50
CSc1ccccc1Nc2nc(nc3c(NCC4CC4)ncnc23)N5CCC6(CNC6)C5,CHEMBL2063924,8.7,pIC50
