SMILES,ChEMBL,target,metric
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(COc4c3)NC(=O)C5(N)CC5,CHEMBL3648492,6.16,pIC50
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4[C@H](CCc4c3)NC(=O)C5(CC5)NC(=O)OC(C)(C)C,CHEMBL3648473,6.18,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cnc4C(CCc4c3)NC(=O)C5(N)CC5,CHEMBL3648487,6.23,pKi
COC(=O)c1c(Cl)cccc1c2ccc3C(CCCc3c2)NC(=O)C4(CC4)NC(=O)C(F)(F)F,CHEMBL3648460,6.28,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cc(F)c4C(CCc4c3)NC(=O)C5(CC5)NC(=O)OC(C)(C)C,CHEMBL3648481,6.32,pKi
COC(=O)c1c(Cl)cccc1c2ccc3[C@H](CCc3c2)NC(=O)C4(COC4)NC(=O)C(F)(F)F,CHEMBL3648456,6.34,pIC50
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cc(F)c4C(CCc4c3)NC(=O)C5(N)CC5,CHEMBL3648482,6.34,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cnc4C(CCc4c3)NC(=O)C5(CC5)NC(=O)OC(C)(C)C,CHEMBL3648486,6.44,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CSc4c3)NC(=O)C5(N)CC5,CHEMBL3648506,6.58,pKi
FC(F)COc1c(Cl)cc(Cl)cc1c2ccc3C(CCCc3c2)NC(=O)C4(CC4)NC(=O)C(F)(F)F,CHEMBL3648459,6.63,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CCOc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648464,6.67,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3cnc4C(CCc4c3)NC(=O)C5(N)CC5,CHEMBL3648501,6.68,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CCOc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648465,6.77,pKi
FC(F)COc1c(Cl)cc(Cl)cc1c2ccc3C(CCc3c2)NC(=O)C4(CC4)NC(=O)C(F)(F)F,CHEMBL3648452,6.84,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cnc4C(CCc4c3)NC(=O)C5(CC5)NC(=O)c6ccnnc6,CHEMBL3648489,6.89,pKi
COC(=O)c1c(Cl)cccc1c2ccc3C(CCc3c2)NC(=O)C4(CC4)NC(=O)C(F)(F)F,CHEMBL3648453,6.91,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3cnc4C(CCc4c3)NC(=O)C5(CC5)NC(=O)OC(C)(C)C,CHEMBL3648500,7.2,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CCCc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648461,7.38,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4[C@H](CCc4c3)NC(=O)C5(COC5)NC(=O)C(F)(F)F,CHEMBL3648457,7.43,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4[C@H](CCc4c3)NC(=O)C5(N)CC5,CHEMBL3648474,7.44,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(COc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648469,7.48,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4[C@H](CCc4c3)NC(=O)C5(COC5)NC(=O)C(F)(F)F,CHEMBL3648458,7.52,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4[C@H](CCc4c3)NC(=O)C5(COC5)NC(=O)c6onc(C)c6,CHEMBL3648498,7.59,pKi
COc1cc(on1)C(=O)NC2(CC2)C(=O)NC3COc4cc(ccc34)c5cc(Cl)cc(F)c5c6noc(C)n6,CHEMBL3648495,7.62,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4C(COc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648470,7.62,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CCc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648454,7.7,pKi
COc1ncc(cn1)C(=O)NC2(CC2)C(=O)NC3CCc4cc(cc(F)c34)c5cc(Cl)cc(F)c5c6noc(C)n6,CHEMBL3648483,7.72,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(COc4c3)NC(=O)C5(CC5)NC(=O)c6ccnnc6,CHEMBL3648493,7.72,pKi
COc1cc(on1)C(=O)NC2(CC2)C(=O)NC3CCc4cc(cc(F)c34)c5cc(Cl)cc(F)c5c6noc(C)n6,CHEMBL3648485,7.77,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cc(F)c4C(CCc4c3)NC(=O)C5(CC5)NC(=O)c6ccnnc6,CHEMBL3648484,7.82,pKi
Cc1oc(nn1)C(=O)NC2(CC2)C(=O)NC3CSc4cc(ccc34)c5cc(Cl)cc(F)c5c6nnn(C)n6,CHEMBL3648507,7.91,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4[C@H](CCc4c3)NC(=O)C5(COC5)NC(=O)c6oncc6,CHEMBL3648497,7.93,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3cc(F)c4C(CCc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648466,7.96,pKi
Cc1oc(nn1)C(=O)NC2(CC2)C(=O)N[C@H]3CCc4cc(ccc34)c5cc(Cl)cc(F)c5c6noc(C)n6,CHEMBL3648479,8.02,pKi
Cc1onc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CSc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648471,8.02,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3cnc4C(CCc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648463,8.02,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CSc4c3)NC(=O)C5(CC5)NC(=O)c6oncc6,CHEMBL3648509,8.15,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4c(CCC4(C)NC(=O)C5(CC5)NC(=O)C(F)(F)F)c3,CHEMBL3648468,8.17,pKi
Cn1nnc(n1)c2c(F)cc(Cl)cc2c3ccc4C(CSc4c3)NC(=O)C5(CC5)NC(=O)C(F)(F)F,CHEMBL3648472,8.18,pKi
