SMILES,ChEMBL,target,metric
C[C@H]1COc2c(N3CCN(N)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,CHEMBL1215659,6.0,pIC50
COc1cccc2C[C@H](N)C(=O)N(O)c12,CHEMBL2047857,6.24,pIC50
COc1ccc(Cc2nn(C)c3N(O)C(=O)[C@@H](N)Cc23)cc1,CHEMBL3660162,6.36,pIC50
N[C@H]1Cc2c(Cl)cccc2N(O)C1=O,CHEMBL2049097,6.46,pIC50
Cn1ncc2C[C@H](N)C(=O)N(O)c12,CHEMBL2347111,6.48,pIC50
Cc1cccc2N(O)C(=O)[C@@H](N)Cc12,CHEMBL2049098,6.5,pIC50
N[C@H]1Cc2cccc(Cl)c2N(O)C1=O,CHEMBL2047858,6.6,pIC50
N[C@@H]1Cc2ccccc2N(O)C1=O,CHEMBL2047852,6.66,pIC50
COc1cccc(Oc2ccc3c(CC(N)c4nncn34)c2)c1,CHEMBL3220811,6.7,pIC50
N[C@H]1Cc2nn(Cc3ccccc3)cc2N(O)C1=O,CHEMBL3660156,6.74,pIC50
COc1cccc2N(O)C(=O)[C@@H](N)Cc12,CHEMBL2049099,6.75,pIC50
N[C@H]1Cc2cccc(c2N(O)C1=O)C(F)(F)F,CHEMBL2047860,6.76,pIC50
CC(C)n1cc2C[C@H](N)C(=O)N(O)c2n1,CHEMBL3660161,6.82,pIC50
NC1Cc2cc(Oc3ccccc3)ccc2n4cnnc14,CHEMBL3220812,6.91,pIC50
N[C@H]1Cc2cn(Cc3ccc4ccccc4c3)nc2N(O)C1=O,CHEMBL3660152,6.93,pIC50
NC1Cc2nn(cc2N(O)C1=O)c3ccccc3,CHEMBL3660158,7.07,pIC50
N[C@H]1Cc2nn(cc2N(O)C1=O)c3ccccc3,CHEMBL2347109,7.07,pIC50
NC1Cc2cc(Oc3ccccc3)ccc2N4C(=O)NN=C14,CHEMBL3220809,7.08,pIC50
Cc1c2C[C@H](N)C(=O)N(O)c2nn1Cc3ccccc3,CHEMBL3660155,7.09,pIC50
N[C@H]1Cc2cn(nc2N(O)C1=O)C3CCC3,CHEMBL3660160,7.09,pIC50
N[C@H]1Cc2c(N(O)C1=O)c(nn2Cc3ccccc3)C(F)(F)F,CHEMBL2347114,7.13,pIC50
N[C@H]1Cc2cn(nc2N(O)C1=O)c3cccc(c3)C(F)(F)F,CHEMBL3660170,7.13,pIC50
COc1cccc(Cc2nn(C)c3N(O)C(=O)[C@@H](N)Cc23)c1,CHEMBL2347113,7.18,pIC50
COc1cccc(Oc2ccc3N4C(=O)NN=C4C(N)Cc3c2)c1,CHEMBL3220810,7.19,pIC50
Cn1nc(Cc2ccccc2)c3C[C@H](N)C(=O)N(O)c13,CHEMBL2347112,7.19,pIC50
CC(C)n1nc2N(O)C(=O)[C@@H](N)Cc2c1Cc3ccccc3,CHEMBL3660164,7.2,pIC50
Cn1nc2N(O)C(=O)[C@H](N)Cc2c1Cc3ccccc3,CHEMBL3686862,7.2,pIC50
N[C@H]1Cc2cn(Cc3ccccc3)nc2N(O)C1=O,CHEMBL2347107,7.23,pIC50
COc1ccccc1Cn2cc3C[C@H](N)C(=O)N(O)c3n2,CHEMBL3660153,7.3,pIC50
