SMILES,ChEMBL,target,metric
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1,CHEMBL3613600,7.57,pIC50
COc1ccc(cc1)N(CCN)C(=O)Nc2ccc(cc2)c3ncnc4[nH]cc(C)c34,CHEMBL3410049,7.57,pIC50
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]c(C)c(C)c34)c1,CHEMBL3613623,7.59,pIC50
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(C#N)c34)c1,CHEMBL3613620,7.6,pIC50
Cc1c[nH]c2ncnc(c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)cc3)c12,CHEMBL3410042,7.6,pIC50
CN(C)C(=O)Oc1cccc(NC(=O)C2(CN)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1,CHEMBL3356433,7.62,pIC50
CN(C)C(=O)Oc1cccc(NC(=O)C2(CN)CCN(CC2)c3ncnc4[nH]c5CCCCc5c34)c1,CHEMBL3797874,7.64,pIC50
CNC(=O)Nc1ncc(s1)c2cc(nc(n2)c3cnccn3)c4c(C)cc(OC)cc4C,CHEMBL2070614,7.64,pIC50
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]c(C)cc34)c1,CHEMBL3613622,7.64,pIC50
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]ccc34)c1,CHEMBL3613610,7.64,pIC50
CN(C)C(=O)Oc1cccc(NC(=O)C2(CN)CCN(CC2)c3ncnc4[nH]c(C)c(C)c34)c1,CHEMBL3799326,7.66,pIC50
CN(C)C(=O)Oc1cccc(NC(=O)C2(N)CCN(CC2)c3ncnc4[nH]c5CCCCc5c34)c1,CHEMBL3797469,7.66,pIC50
CN(C)CC1(CCN(CC1)c2ncnc3[nH]c(C)c(C)c23)C(=O)Nc4cccc(OC(=O)N(C)C)c4,CHEMBL3613624,7.66,pIC50
Cc1[nH]c2ncnc(c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)c(F)c3)c2c1C,CHEMBL3410054,7.68,pIC50
Cc1[nH]c2ncnc(c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)c(F)c3)c2c1C,CHEMBL3410053,7.68,pIC50
Cc1c[nH]c2ncnc(c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)cc3)c12,CHEMBL3410050,7.68,pIC50
CC(=O)Nc1ncc(s1)c2ccncc2c3ccccc3Cl,CHEMBL3623440,7.7,pIC50
CN(C)CC1(CCN(CC1)c2ncnc3[nH]c4CCCCc4c23)C(=O)Nc5cccc(OC(=O)N(C)C)c5,CHEMBL3800259,7.7,pIC50
CN(C)CCN(C(=O)Nc1ccc(cc1)c2ncnc3[nH]cc(C)c23)c4ccc(Cl)cc4,CHEMBL3410052,7.7,pIC50
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ncnc4[nH]cc(F)c34)c1,CHEMBL3613621,7.7,pIC50
CN(C)CC1(CCN(CC1)c2ncnc3[nH]cc(C)c23)C(=O)Nc4cccc(OC(=O)N(C)C)c4,CHEMBL3613599,7.72,pIC50
CN(C)CCN(C(=O)Nc1ccc(cc1F)c2ncnc3[nH]c(C)c(C)c23)c4ccc(Cl)cc4,CHEMBL3410055,7.72,pIC50
Cc1cc(NC(=O)Nc2ccc(cc2F)c3ncnc4[nH]cc(C)c34)ccn1,CHEMBL3629278,7.72,pIC50
CC(C)NC(=O)c1cccc(NC(=O)Nc2ccc(cc2F)c3ncnc4[nH]cc(C)c34)c1,CHEMBL3407526,7.75,pIC50
CN(C)C(=O)Oc1cccc(NC(=O)C2(CCN(CC2)c3ncnc4[nH]c5CCCCc5c34)N(C)C)c1,CHEMBL3798142,7.75,pIC50
COC(=O)c1cccc(NC(=O)C2(N)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1,CHEMBL3613601,7.75,pIC50
Fc1ccc(C(=O)Nc2ccc(Nc3ccnc4NC(=O)c5ccccc5c34)cc2)c(c1)C(F)(F)F,CHEMBL2380834,7.75,pIC50
COC(=O)c1cccc(NC(=O)C2(CN)CCN(CC2)c3ncnc4[nH]cc(C)c34)c1,CHEMBL3613598,7.8,pIC50
CCCNc1ncc(s1)c2ccncc2c3ccccc3Cl,CHEMBL3622867,7.82,pIC50
CCCNc1ncc(s1)c2ccncc2c3ccc(OC)cc3C(F)(F)F,CHEMBL3622874,7.89,pIC50
Cc1cc2cn[nH]c2cc1c3cccc4c(N)c(nnc34)C(=O)N,CHEMBL3586447,7.92,pIC50
Cc1ccc(NC(=O)Nc2ccc(cc2F)c3ncnc4[nH]cc(C)c34)cn1,CHEMBL3629277,7.96,pIC50
CC(C)C(=O)Nc1ncc(s1)c2cc(nn2c3c(Cl)cccc3Cl)C(F)F,CHEMBL2141887,8.0,pIC50
COc1ccc(NC(=O)Nc2ccc(cc2F)c3ncnc4[nH]cc(C)c34)cc1,CHEMBL3629276,8.0,pIC50
COCCN(C(=O)Nc1ccc(cc1F)c2ncnc3[nH]c(C)c(C)c23)c4ccc(Cl)cc4,CHEMBL3410056,8.1,pIC50
COc1ccc(c2cnccc2c3cnc(NC(=O)C(C)C)s3)c(c1)C(F)(F)F,CHEMBL3623443,8.1,pIC50
CN(C)CC1(CCN(CC1)c2ncnc3[nH]cc(C)c23)C(=O)Nc4cccc(c4)C(=O)OCC#C,CHEMBL3613609,8.12,pIC50
C[C@H]1CN(CCN1C(=O)Nc2ccc(F)c(Br)c2)c3ncnc4[nH]cc(C)c34,CHEMBL570820,8.18,pIC50
CC(C)CNc1ncc(s1)c2ccncc2c3ccccc3Cl,CHEMBL3623435,8.3,pIC50
CC(C)Nc1ncc(s1)c2cc(nc(NCCN(C)C)n2)c3ccccc3Cl,CHEMBL1258976,8.4,pIC50
C[C@@H](Nc1ncc(s1)c2ccncc2c3ccccc3Cl)c4ccccc4,CHEMBL3623437,8.4,pIC50
C[C@H]1CN(CCN1\C(=N\C#N)\Nc2ccc(F)c(Br)c2)c3ncnc4[nH]cc(C)c34,CHEMBL565452,8.43,pIC50
C[C@H]1CN(CCN1C(=O)Nc2cccc(OC(=O)N(C)C)c2)c3ncnc4[nH]cc(C)c34,CHEMBL570116,8.5,pIC50
CC(C)C(=O)Nc1ncc(s1)c2ccncc2c3ccccc3Cl,CHEMBL3623441,8.52,pIC50
Clc1ccccc1c2cnccc2c3cnc(Nc4ccccc4)s3,CHEMBL3623438,8.52,pIC50
CS(=O)(=O)O.Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1,CHEMBL3218297,8.76,pIC50
CC(C)C(=O)Nc1ncc(s1)c2ccncc2c3ccc(C)cc3Cl,CHEMBL3623442,9.0,pIC50
CCNC(=O)Nc1ncc(s1)c2cc(nc(n2)c3cnccn3)c4c(C)cc(OC)cc4C,CHEMBL2070615,9.0,pIC50
C[C@H]1CN(CCN1\C(=N\C#N)\Nc2cccc(Br)c2)c3ncnc4[nH]cc(C)c34,CHEMBL570126,9.3,pIC50
Oc1ccc(Nc2ncc(s2)c3ccncc3c4ccccc4Cl)cc1,CHEMBL3623439,9.52,pIC50
