SMILES,ChEMBL,target,metric
CCCN(O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL129597,6.1,pKi
OC1=C(Oc2cc(O)cc(O)c2C1=O)c3cc(O)c(O)c(O)c3,CHEMBL164,6.25,pIC50
CCCCCn1ccc2cc(cnc12)C3=CC(=CC(=O)N3O)c4ccccc4,CHEMBL2203967,6.29,pIC50
NC(=O)c1cccc(Cn2ccc3cc(ccc23)C4=CC(=CC(=O)N4O)c5ccccc5)c1,CHEMBL2203977,6.32,pIC50
NCCC(=O)NC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Cl)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL3629117,6.48,pKi
CCCCn1ccc2cc(cnc12)C3=CC(=CC(=O)N3O)c4ccccc4,CHEMBL2203966,6.52,pIC50
COCCCn1ccc2cc(ccc12)C3=CC(=CC(=O)N3O)c4ccccc4,CHEMBL2203965,6.52,pIC50
ON1C(=O)C=C(C=C1c2cnc3[nH]ccc3c2)c4ccccc4,CHEMBL2203974,6.55,pIC50
COCCn1ccc2cc(ccc12)C3=CC(=CC(=O)N3O)c4ccccc4,CHEMBL2203963,6.59,pIC50
ON1C(=O)C=C(C=C1c2ccc3[nH]ccc3c2)c4ccccc4,CHEMBL2203975,6.6,pIC50
CCCCN(O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL128447,6.75,pKi
CCCCCN(O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL129965,6.77,pKi
NC(CCC(=O)NC(CSC(=O)N(O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL1160353,6.8,pKi
N[C@@H](CCC(=O)N[C@@H](CSC(=O)N(O)c1ccccc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL128935,6.8,pKi
CC(=O)CNC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Cl)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL3629118,6.89,pKi
N[C@@H](CCC(=O)N[C@@H](CSCc1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL218644,7.1,pKi
CS(=O)(=O)Nc1ccccc1Nc2nc(Nc3ccc(Cl)cc3)ncc2F,CHEMBL3220932,7.27,pIC50
CS(=O)(=O)Nc1ccccc1Nc2nc(Nc3ccc(cc3)C(=O)OCc4ccccc4)ncc2F,CHEMBL3220930,7.29,pIC50
CCOC(=O)CCNC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Cl)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL3629119,7.34,pKi
CS(=O)(=O)Nc1ccccc1Nc2nc(Nc3ccc(Oc4ccccc4)cc3)ncc2F,CHEMBL3220931,7.34,pIC50
NC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Cl)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL1160350,7.34,pKi
N[C@@H](CCC(=O)N[C@@H](CSC(=O)N(O)c1ccc(Cl)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL131578,7.34,pKi
NC(=O)c1cccc(Cn2ccc3cc(cnc23)C4=CC(=CC(=O)N4O)c5ccccc5)c1,CHEMBL2203976,7.4,pIC50
CS(=O)(=O)Nc1ccccc1Nc2nc(Nc3ccc(cc3)C(=O)c4ccc(NC(=O)CCCC#C)cc4)ncc2F,CHEMBL3220929,7.58,pIC50
CCCCCCCN(O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL128836,7.75,pKi
CCCCCCN(O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL127840,7.8,pKi
COCCn1ccc2cc(cnc12)C3=CC(=CC(=O)N3O)c4ccccc4,CHEMBL2203978,7.85,pIC50
NC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL1160349,7.85,pKi
N[C@@H](CCC(=O)N[C@@H](CSC(=O)N(O)c1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O,CHEMBL128872,7.85,pKi
COCCCn1ccc2cc(cnc12)C3=CC(=CC(=O)N3O)c4ccccc4,CHEMBL2203964,7.96,pIC50
ON(C(=O)SCC(NC(=O)CCC(NCCC(=O)OCCOCCOCCOCCNC(=O)CCCCCCC(=O)NCCCOCCOCCOCCCNC(=O)CCCCCCC(=O)NCCOCCOCCOCCOC(=O)CCNC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O)C(=O)O)C(=O)NCC(=O)O)c2ccc(Br)cc2,CHEMBL3629115,9.0,pKi
ON(C(=O)SCC(NC(=O)CCC(NCCC(=O)OCCNC(=O)CCNC(=O)CC(=O)NCCNC(=O)CC(=O)NCCC(=O)NCCOC(=O)CCNC(CCC(=O)NC(CSC(=O)N(O)c1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O)C(=O)O)C(=O)NCC(=O)O)c2ccc(Br)cc2,CHEMBL3629116,9.52,pKi
