SMILES,ChEMBL,target,metric
C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)N)C(=O)O\C=C\C(=O)NCc2ccccc2,CHEMBL55249,6.0,pIC50
CC(C)Oc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3740796,6.01,pIC50
CC(C)Oc1cccc(c1)c2ccc(CN([C@@H](C)C(=O)N[C@@H](CC(=O)N)C#N)S(=O)(=O)C)cc2,CHEMBL3746549,6.06,pIC50
C[C@H](N(Cc1ccc(cc1)c2cccc(c2)C(F)(F)F)S(=O)(=O)C)C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3746339,6.22,pIC50
CCOc1cccc(c1)c2ccc(CN([C@@H](C)C(=O)N[C@@H](CC(=O)N)C#N)S(=O)(=O)C)cc2,CHEMBL3746123,6.23,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(Cl)cc2Cl)C#N,CHEMBL3742218,6.23,pIC50
CC(N(Cc1ccc(cc1)c2cccc(Cl)c2)S(=O)(=O)C)C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3745937,6.37,pIC50
COc1cccc(c1)c2ccc(CN([C@@H](C)C(=O)N[C@@H](CC(=O)N)C#N)S(=O)(=O)C)cc2,CHEMBL3746972,6.42,pIC50
C[C@H](N(Cc1ccc(cc1)c2ccccc2F)S(=O)(=O)C)C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3746513,6.45,pIC50
CC(C)(C)c1ccc(cc1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264576,6.46,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(cc2)c3cncc(Cl)c3)C#N,CHEMBL3264592,6.47,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)C(F)(F)F)C#N,CHEMBL3739710,6.48,pIC50
C[C@H](N(Cc1ccc(cc1)c2cccc(F)c2F)S(=O)(=O)C)C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3746873,6.49,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(Br)cc2)C#N,CHEMBL3264269,6.55,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(Br)cc2)C#N,CHEMBL3741126,6.55,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(F)cc2)C#N,CHEMBL3739555,6.57,pIC50
C[C@H](N(Cc1ccc(cc1)c2ccc(F)c(F)c2)S(=O)(=O)C)C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3746674,6.6,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccccc2Br)C#N,CHEMBL3264267,6.72,pIC50
CCc1ccc(cc1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264275,6.77,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2Cl)c3ccc(Cl)cc3)C#N,CHEMBL3739853,6.77,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccccc2)C#N,CHEMBL3264594,6.85,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2cccc(c2)c3ccccc3)C#N,CHEMBL3264271,6.86,pIC50
C[C@H](N(Cc1ccc(cc1)c2cccc(F)c2)S(=O)(=O)C)C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3746278,6.89,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(cc2)c3ccc(Cl)cc3)C#N,CHEMBL3264584,6.91,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3ccc(cc3)C(F)(F)F)C#N,CHEMBL3740086,6.92,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2cccc(Br)c2)C#N,CHEMBL3264268,6.97,pIC50
CC(C)c1ccc(cc1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264277,7.01,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F)C#N,CHEMBL3741666,7.03,pIC50
CC(C)(C)c1cccc(c1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264278,7.08,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(cc2)c3cc(F)cc(F)c3)C#N,CHEMBL3264579,7.1,pIC50
CCOc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3742365,7.14,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(Cl)cc2)C#N,CHEMBL3740719,7.14,pIC50
CC(C)(C)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3741594,7.15,pIC50
CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3742051,7.15,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(c(F)c2)c3ccc(F)cc3)C#N,CHEMBL3740166,7.17,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(cc2)c3cccc(c3)C(F)(F)F)C#N,CHEMBL3264586,7.19,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(cc2)c3cccc(F)c3)C#N,CHEMBL3264577,7.22,pIC50
C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)N)C(=O)O\C=C\C(=O)N(C)Cc2ccccc2,CHEMBL54825,7.26,pIC50
CC(C)c1cccc(c1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264276,7.31,pIC50
Cc1cccc(c1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264273,7.31,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3ccc4OCOc4c3)C#N,CHEMBL3741002,7.31,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3cccc(F)c3)C#N,CHEMBL3740206,7.33,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3ccc(Cl)cc3)C#N,CHEMBL3741072,7.35,pIC50
COc1ccc(cc1)c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N)cc2,CHEMBL3264588,7.39,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)OCc2ccc(cc2)c3ccc(F)cc3F)C#N,CHEMBL3264582,7.39,pIC50
C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)N)C(=O)O\C=C\C(=O)OCc2ccccc2,CHEMBL292589,7.42,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3ccccc3Cl)C#N,CHEMBL3739537,7.46,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3ccc(F)cc3)C#N,CHEMBL3739994,7.48,pIC50
NC(=O)C[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2ccc(cc2)c3ccc(cc3)C#N)C#N,CHEMBL3740368,7.48,pIC50
Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N,CHEMBL3740253,7.5,pIC50
