SMILES,ChEMBL,target,metric
CCCC[C@H](N)C(=O)Nc1cc(Cc2ccc(O)cc2)cc(c1)C(=O)N[C@@H]([C@H](C)CC)C(=O)NCc3ccccc3CC(=O)O,CHEMBL355434,6.0,pKi
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c2ccc(N)c(NC(=O)[C@@H](N)CCCNC(=N)N)c2,CHEMBL3416696,6.02,pIC50
N[C@@H](CCc1ccc(OCc2ccccc2)cc1)C(=O)Nc3cc(ccc3N)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)OCc6ccccc6,CHEMBL3416687,6.03,pIC50
CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c3ccnc4ccccc34,CHEMBL3125942,6.05,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CN)C(C)C)C(=O)N[C@H]2Cc3c(CN(CC(=O)N[C@@H](Cc4ccccc4)C(=O)O)C2=O)[nH]c5ccccc35,CHEMBL1077583,6.1,pKi
N[C@H]1CC\C=C\CC[C@H](NC(=O)[C@H](Cc2ccccc2)NC1=O)C(=O)NCc3ccccc3,CHEMBL1782889,6.16,pKi
N[C@@H](CCCNC(=N)N)C(=O)Nc1cc(ccc1N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O,CHEMBL3416697,6.18,pIC50
N[C@H]1CCSSC[C@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3cccnc3,CHEMBL1277810,6.2,pKi
CCOC(=O)C1=C(NC(=O)C)Oc2cc(O)ccc2C1c3cccnc3,CHEMBL3125936,6.32,pKi
CCCC[C@H](N)C(=O)Nc1ccc(cc1N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OCc4ccccc4,CHEMBL3416726,6.36,pIC50
CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c3cnc4ccccc4c3,CHEMBL3125960,6.44,pKi
N[C@H]1CCSSCC[C@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1277811,6.45,pKi
N[C@H]1CC\C=C/CC[C@H](NC(=O)[C@H](Cc2ccccc2)NC1=O)C(=O)NCc3ccccc3,CHEMBL1782890,6.46,pKi
CCCC[C@H](N)C(=O)Nc1cc(ccc1N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O,CHEMBL3416693,6.53,pIC50
N[C@H]1CCSSCC[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1277530,6.55,pKi
N[C@H]1CCSSC[C@@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1277717,6.62,pKi
N[C@H]1CCSSCC[C@@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1277893,6.64,pKi
CC(C)C[C@@H](CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)O,CHEMBL428457,6.7,pKi
N[C@H]1CCCCCC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3,CHEMBL1782884,6.71,pKi
CC[C@H](C)[C@H](NC(=O)C[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)O,CHEMBL259382,6.76,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC[C@H](CC(C)C)C(=O)O)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@H](CC(=O)O)Cc4ccccc4,CHEMBL261422,6.78,pKi
CC[C@H](C)[C@H](CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)O)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@@H](N)C(C)C,CHEMBL261731,6.83,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3CC(=O)N[C@@H](Cc4ccccc4)C(=O)O,CHEMBL261417,6.84,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)NC[C@H](Cc4ccccc4)C(=O)O,CHEMBL408132,6.96,pKi
CCCC[C@H](N)C(=O)Nc1cc(ccc1N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OCc4ccccc4,CHEMBL3416692,6.98,pIC50
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CN)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)O,CHEMBL260622,7.0,pKi
N[C@H]1CCSSCC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3,CHEMBL1277531,7.02,pKi
N[C@H]1CCCCCC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782883,7.19,pKi
CCC(C)C(NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C(=O)NC(C(C)C)C(=O)O,CHEMBL286500,7.28,pKi
N[C@H]1CC\C=C\CC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782885,7.3,pKi
N[C@H]1CC\C=C/CC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782886,7.39,pKi
N[C@H]1CCSSC[C@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1277623,7.46,pKi
CC(C)C[C@H](CP(=O)(O)[C@@H](N)CCc1ccccc1)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N,CHEMBL3416733,7.52,pIC50
CCOC(=O)C1=C(NC(=O)C)Oc2cc(O)ccc2C1c3cnc4ccccc4c3,CHEMBL1277437,7.52,pKi
N[C@H]1CC\C=C/CN[C@@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782888,7.52,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CN)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@H](CC(=O)O)Cc4ccccc4,CHEMBL259019,7.56,pKi
N[C@@H]1CCSSCC[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1277438,7.6,pKi
N[C@H]1CCCCCCC[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782882,7.6,pKi
N[C@H]1CCSSC[C@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3,CHEMBL1277718,7.65,pKi
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@H](CC(=O)O)Cc4ccccc4,CHEMBL408871,7.69,pKi
N[C@H]1CCCC\C=C\C[C@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782881,8.39,pKi
N[C@H]1CC\C=C\CC[C@H](NC(=O)C[C@H](Cc2ccc(O)cc2)NC1=O)C(=O)NCc3ccccc3CC(=O)O,CHEMBL1782887,8.75,pKi
