SMILES,ChEMBL,target,metric
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,masoprocol,7.07,pIC50
CCCc1c(OCCCOc2ccc3CCC(Oc3c2CCC)C(=O)O)ccc(c1OC)c4cocn4,CHEMBL168658,7.0,pIC50
COC(=O)CCCCCOc1cc(cc(n1)c2ccccc2)c3ccccc3,CHEMBL138174,7.0,pIC50
Cc1ccc(cc1)c2cc(OCCCCC(C)(C)C(=O)O)nc3ccccc23,CHEMBL342688,7.0,pIC50
[Li+].CCCCCCCCC(O)c1ccc2ccc(CCc3cccc(c3)C(=O)[O-])nc2c1,CHEMBL113528,7.0,pKi
CCCc1c(OCCCOc2ccc3CCC(Oc3c2CCC)C(=O)O)ccc(c1OC)c4cscn4,CHEMBL168944,7.03,pIC50
CCc1cc(c(O)cc1OCCCOc2ccc(CCC(=O)O)cc2)c3cc[nH]n3,CHEMBL420576,7.06,pIC50
CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2,CHEMBL52,7.07,pIC50
CCc1cc(C(=O)C)c(O)cc1OCCCCCC(C)(C)c2nn[nH]n2,CHEMBL15766,7.07,pIC50
[Na+].CCc1cc(C(=O)C)c(O)cc1OCCCCCC(C)(C)c2nn[n-]n2,CHEMBL45460,7.07,pIC50
[Na+].CCc1cc(OCCC(C)C)c(O)cc1OCCCCCC(C)(C)c2nn[n-]n2,CHEMBL295799,7.08,pKi
CCc1cc(c(O)cc1OCCCCCOc2ccc(cc2)C(=O)O)c3cc[nH]n3,CHEMBL81489,7.09,pIC50
CN(CCc1ccccc1)C(=O)Cn2cc(C=O)c3cc(OCc4ccccc4)ccc23,CHEMBL340180,7.1,pIC50
COc1ccc(CCCCCCCCOc2ccc(CSc3cccc(c3)C(=O)O)nc2\C=C\C(=O)O)cc1,CHEMBL115362,7.1,pKi
COc1ccc(CCCCCCCCOc2ccc(CSc3ccccc3)nc2\C=C\C(=O)O)cc1,CHEMBL264197,7.13,pKi
COc1ccc(CCCCCCCCOc2ccc(CSc3cccc(NC(=O)C(=O)O)c3)nc2\C=C\C(=O)O)cc1,CHEMBL334267,7.14,pKi
CCCc1c(OCCCOc2cc(O)c(cc2CC)C(=O)C)cccc1OCC(=O)O,CHEMBL15648,7.17,pIC50
COc1ccc(cc1NC(=O)\C=C\c2ccc(cc2)c3ccccc3)C(=O)O,CHEMBL367943,7.17,pIC50
CCc1cc(c(O)cc1OCCCCCC(C)(C)c2nn[nH]n2)c3cccc(c3)C(F)(F)F,CHEMBL167580,7.18,pKi
CCc1cc(c(O)cc1OCCCCCC(C)(C)c2nn[nH]n2)c3ccc(cc3)N(C)C,CHEMBL166862,7.2,pKi
CCc1cc(c(O)cc1OCCCCCC(C)(C)c2nn[nH]n2)c3cccc(C)c3,CHEMBL424361,7.21,pKi
CC(C)(CCCCCCOc1cc(cc(n1)c2ccccc2)c3ccccc3)C(=O)O,CHEMBL135612,7.22,pIC50
CC(C)(CCCCCc1sccc1CCCc2ccccc2)C(=O)O,CHEMBL108415,7.22,pIC50
CN(O)C(=O)c1cc(CC(=O)N(C)CCc2ccccc2)c3cccc(OCc4ccccc4)c3c1,CHEMBL125611,7.22,pIC50
[Li+].CCCCCCCCC(O)CCc1cccc(CC(O)c2cccc(c2)C(=O)[O-])n1,CHEMBL111811,7.22,pKi
CCc1cc(c(O)cc1OCCCCCC(C)(C)c2nn[nH]n2)c3ccccc3C,CHEMBL167261,7.23,pKi
CCc1cc(c(O)cc1OCCCCCOc2ccc(CC(=O)O)cc2)c3cc[nH]n3,CHEMBL309883,7.26,pIC50
