SMILES,ChEMBL,target,metric
CCC(=O)c1ccc2nc(CSc3nnc(CNc4ccccc4)n3CC)oc2c1,CHEMBL2058345,6.05,pIC50
CCN(C(=O)CN1CCN(CC1)c2ccc(F)cn2)c3nc4CCCCc4s3,CHEMBL2377618,6.11,pIC50
CCOC(=O)c1ccc2oc(CSc3nnc(CNc4ccccc4)n3CC)nc2c1,CHEMBL2058344,6.17,pIC50
CCn1c(CNc2ccccc2)nnc1SCc3oc4ccc(cc4n3)C(=O)C(C)C,CHEMBL2058346,6.22,pIC50
CCC(=O)c1ccc(cc1)N(C)C(=O)CSc2nnc(CNc3ccccc3)n2CC,CHEMBL2057220,6.24,pIC50
CCn1c(CNc2ccccc2)nnc1SCC(=O)Nc3ccc(cc3)C(=O)OC,CHEMBL2058078,6.27,pIC50
O=C(CN1CCN(CC1)c2nccs2)Nc3nc4CCCCc4s3,CHEMBL2377623,6.28,pIC50
Fc1ccc(cc1)N2CCN(CC(=O)Nc3nc4CCCc4s3)CC2,CHEMBL2377762,6.31,pIC50
Fc1ccc(cc1)N2CCN(CC(=O)Nc3nc4ccccc4s3)CC2,CHEMBL2377765,6.31,pIC50
Fc1ccc(nc1)N2CCN(CC(=O)c3coc4ccccc34)CC2,CHEMBL2377612,6.33,pIC50
Cc1nc(NC(=O)CN2CCN(CC2)c3ccc(F)cc3)sc1C,CHEMBL2377767,6.37,pIC50
Cc1nc2ccccn2c1C(=O)CN3CCN(CC3)c4ccc(F)cn4,CHEMBL2377619,6.37,pIC50
CCC(=O)c1ccc(NC(=O)CSc2nnc(CNc3ccccc3)n2CC)cc1,CHEMBL2058091,6.4,pIC50
CCC(=O)c1ccc(NC(=O)CSc2nnc(CNc3ccccc3)n2CC)cn1,CHEMBL2058339,6.4,pIC50
CCn1c(CNc2ccccc2)nnc1SCc3oc4ccc(cc4n3)C(F)(F)F,CHEMBL2058358,6.44,pIC50
CCOC(=O)c1ccc(NC(=O)CSc2nnc(CNc3ccccc3)n2CC)cc1,CHEMBL2058076,6.48,pIC50
Fc1ccc(nc1)N2CCN(CC(=O)c3cnn4ccccc34)CC2,CHEMBL2377614,6.48,pIC50
O=C(CN1CCN(CC1)c2ccccc2)Nc3nc4CCCCc4s3,CHEMBL2377760,6.55,pIC50
CC\C(=N\O)\c1ccc2oc(CSc3nnc(CNc4ccccc4)n3CC)nc2c1,CHEMBL2058349,6.59,pIC50
Cc1ccc(cc1)N2CCN(CC(=O)Nc3nc4CCCCc4s3)CC2,CHEMBL2377761,6.6,pIC50
CCCC(=O)c1ccc(NC(=O)CSc2nnc(CNc3ccccc3)n2CC)cc1,CHEMBL2058092,6.64,pIC50
O=C(CN1CCN(CC1)c2ccccn2)Nc3nc4CCCCc4s3,CHEMBL2377757,6.7,pIC50
CCC(=O)c1ccc2oc(CSc3nnc(CNc4ccccc4)n3CC)nc2c1,CHEMBL2058343,6.72,pIC50
Cc1nc2CCCCn2c1C(=O)CN3CCN(CC3)c4ccc(F)cn4,CHEMBL2377610,6.72,pIC50
Fc1ccc(cc1)N2CCN(CC(=O)Nc3oc4CCCCc4n3)CC2,CHEMBL2377764,6.75,pIC50
Fc1ccc(nc1)N2CCN(CC(=O)c3cnc4ccccn34)CC2,CHEMBL2377617,6.89,pIC50
Fc1ccc(cc1)N2CCN(CC(=O)Nc3nc4CCCCCc4s3)CC2,CHEMBL2377763,6.92,pIC50
CCn1c(CNc2ccccc2)nnc1SCc3oc4ccc(OC(F)(F)F)cc4n3,CHEMBL2058359,7.0,pIC50
Fc1ccc(nc1)N2CCN(CC(=O)Nc3oc4CCCCc4n3)CC2,CHEMBL2377622,7.0,pIC50
Fc1ccc(nc1)N2CCN(CC(=O)c3cnc4CCCCn34)CC2,CHEMBL2377611,7.0,pIC50
Fc1ccc(cc1)N2CCN(CC(=O)Nc3nc4CCCCc4s3)CC2,CHEMBL2377766,7.11,pIC50
Fc1ccc(nc1)N2CCN(CC(=O)Nc3nc4CCCCc4s3)CC2,CHEMBL2377621,7.34,pIC50
CN(C(=O)CN1CCN(CC1)c2ccc(F)cn2)c3nc4CCCCc4s3,CHEMBL2377620,7.39,pIC50
CC1CCc2sc(NC(=O)CN3CCN(CC3)c4ccc(F)cc4)nc2C1,CHEMBL2377769,7.59,pIC50
