SMILES,ChEMBL,target,metric
CC(C)(C)[C@H](NC(=O)[C@H](Cc1ccc2ncccc2c1)[C@H](O)C(=O)NO)C(=O)N,CHEMBL106233,6.0,pIC50
CC(C)C[C@H]([C@H](CSC(=O)C)C(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N,CHEMBL440712,6.0,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)CC(=O)NO,CHEMBL11306,6.0,pIC50
ONC(=O)C[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](Cc3ccccc3)C(=O)NCc4ccccc4,CHEMBL92762,6.0,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc3ccc(O)cc3c2)[C@H](O)C(=O)NO,CHEMBL106444,6.12,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc3ccccc3c2)[C@H](O)C(=O)NO,CHEMBL108842,6.22,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc3ccccc3c2)[C@H](O)C(=O)NO,CHEMBL322138,6.4,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSCC(=O)c2ccc(cc2)c3ccccc3)C(=O)NO,CHEMBL433197,6.42,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2nc3ccccc3s2)[C@H](O)C(=O)NO,CHEMBL110667,6.5,pIC50
CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc2ccccc2c1)[C@H](O)C(=O)NO)C(C)(C)C,CHEMBL108737,6.64,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc3cc(F)ccc3c2)[C@H](O)C(=O)NO,CHEMBL108412,6.66,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)[C@H](CSCC(=O)c3ccccc3)C(=O)NO,CHEMBL325608,6.68,pIC50
ONC(=O)C[C@@H](CC1CCCC1)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc3ccccc3,CHEMBL420077,6.7,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)[C@H](CSc3cccs3)C(=O)NO,CHEMBL113764,6.8,pIC50
CC(C)C[C@H]([C@H](CS)C(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N,CHEMBL324723,6.89,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSC\C(=N\O)\c2ccc(cc2)c3ccccc3)C(=O)NO,CHEMBL114332,6.89,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)[C@H](CSC\C(=N/O)\c3ccccc3)C(=O)NO,CHEMBL326814,6.89,pIC50
CC(C)C[C@H]([C@H](CSCC(=O)N)C(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N,CHEMBL326555,7.0,pIC50
CC(C)C[C@H]([C@H](CSC\C(=N\O)\c1ccccc1)C(=O)NO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL116435,7.0,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2ccc(cc2)[N+](=O)[O-])C(=O)NO,CHEMBL324205,7.0,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2ccccc2C(=O)OC)C(=O)NO,CHEMBL320798,7.0,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2cccs2)C(=O)NO,CHEMBL279786,7.0,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2oc3ccccc3c2)[C@H](O)C(=O)NO,CHEMBL316550,7.0,pIC50
CO\N=C(/CSC[C@@H]([C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)C(=O)NO)\c3ccccc3,CHEMBL115046,7.0,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc3ccc(F)cc3c2)[C@H](O)C(=O)NO,CHEMBL110546,7.0,pIC50
CC(C)(C)[C@H](NC(=O)[C@H](Cc1ccc2ccc(F)cc2c1)[C@H](O)C(=O)NO)C(=O)N,CHEMBL110713,7.1,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSC\C(=N\OC)\c2ccccc2)C(=O)NO,CHEMBL116506,7.1,pIC50
CC(C)(C)[C@H](NC(=O)C(C[C@@H]1CCc2ccccc2C1)[C@H](O)C(=O)NO)C(=O)N,CHEMBL2111687,7.16,pIC50
CC(C)(C)[C@H](NC(=O)C(C[C@H]1CCc2ccccc2C1)[C@H](O)C(=O)NO)C(=O)N,CHEMBL2112477,7.16,pIC50
CC(C)C[C@H]([C@H](CSC\C(=N\O)\c1ccc(Cl)cc1)C(=O)NO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL326148,7.22,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2ccc(cc2)C(=O)OC)C(=O)NO,CHEMBL320799,7.3,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2ccc(O)cc2)C(=O)NO,CHEMBL114657,7.4,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2ccccc2)C(=O)NO,CHEMBL114427,7.4,pIC50
CC(C)C[C@H]([C@H](CSc1cccs1)C(=O)NO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL424251,7.52,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSCc2ccccc2)C(=O)NO,CHEMBL115211,7.52,pIC50
CC(C)(C)[C@H](NC(=O)[C@H](Cc1ccc2ccccc2c1)[C@H](O)C(=O)NO)C(=O)N,CHEMBL432583,7.7,pIC50
CC(C)(C)[C@H](NC(=O)[C@H](Cc1cnc2ccccc2c1)[C@H](O)C(=O)NO)C(=O)N,CHEMBL323228,7.7,pIC50
CC(C)C[C@H]([C@H](CSCC(=O)c1ccccc1)C(=O)NO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N,CHEMBL115326,7.7,pIC50
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2cc3ccccc3s2)[C@H](O)C(=O)NO,CHEMBL322050,7.7,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSCC(=O)c2ccccc2)C(=O)NO,CHEMBL324564,7.8,pIC50
COC(=O)CSC[C@@H]([C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C(=O)NO,CHEMBL118054,7.89,pIC50
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSC\C(=N\O)\c2ccccc2)C(=O)NO,CHEMBL115348,7.92,pIC50
