SMILES,ChEMBL,target,metric
O=C1NC=Nc2cnccc12,CHEMBL3770256,6.0,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCCC4)cn3,CHEMBL3774710,6.13,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCCCC4)cn3,CHEMBL3775500,6.19,pIC50
CN(CCc1cnn(c1)c2nccc3C(=O)NC=Nc23)Cc4ccc(cc4)S(=O)(=O)C,CHEMBL3774701,6.4,pIC50
CN(CCc1cnn(c1)c2nccc3C(=O)NC=Nc23)Cc4ccc(F)cc4,CHEMBL3774747,6.41,pIC50
OC(=O)c1ccnc(c1)c2cscn2,CHEMBL3775933,6.46,pIC50
CN(CCc1cnn(c1)c2nccc3C(=O)NC=Nc23)Cc4ccc(cc4)C#N,CHEMBL3775135,6.47,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(CC4)c5ccccc5)cn3,CHEMBL3774457,6.56,pIC50
CN(CCCc1cnn(c1)c2nccc3C(=O)NC=Nc23)Cc4ccc(cc4)C#N,CHEMBL3774922,6.59,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(Cc5noc(n5)C6CC6)CC4)cn3,CHEMBL3775130,6.61,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(Cc5cccnc5)CC4)cn3,CHEMBL3775956,6.68,pIC50
Clc1ccccc1C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3775823,6.75,pIC50
[Li+].[O-]C(=O)c1ccnc(CNCc2occc2)c1,CHEMBL3775362,6.77,pIC50
CN(CCc1cnn(c1)c2nccc3C(=O)NC=Nc23)Cc4ccc(Cl)c(Cl)c4,CHEMBL3775145,6.78,pIC50
COc1cccc(CC2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)c1,CHEMBL3775465,6.83,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(Cc5ccccc5)CC4)cn3,CHEMBL3774392,6.93,pIC50
Clc1ccc(cc1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3775977,7.07,pIC50
Nc1nc(cs1)c2cc(ccn2)C(=O)O,CHEMBL3774692,7.08,pIC50
Fc1ccc(CC2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)cc1,CHEMBL3775040,7.1,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(Cc5ccc6OCOc6c5)CC4)cn3,CHEMBL3775451,7.14,pIC50
CS(=O)(=O)c1ccc(cc1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3774665,7.16,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(CC4)c5ccc(cc5)C#N)cn3,CHEMBL3775814,7.16,pIC50
Clc1ccc(CC2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)cc1Cl,CHEMBL3774940,7.17,pIC50
FC(F)(F)c1ccc(CC2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)cc1,CHEMBL3775516,7.21,pIC50
Fc1ccc(cc1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3775953,7.22,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(CC4)c5ccncc5)cn3,CHEMBL3775277,7.26,pIC50
Clc1ccc(CC2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)cc1,CHEMBL3775899,7.3,pIC50
Fc1cc(F)cc(c1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3774456,7.39,pIC50
COc1ccc(cc1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3775545,7.41,pIC50
FC(F)(F)c1cccc(c1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3775548,7.41,pIC50
Fc1ccc(C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2)c(F)c1,CHEMBL3775121,7.44,pIC50
Clc1cccc(c1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3774537,7.51,pIC50
O=C1NC=Nc2c1ccnc2n3cc(CCN4CCC(CC4)c5cccs5)cn3,CHEMBL3775668,7.54,pIC50
Clc1cc(Cl)cc(c1)C2CCN(CCc3cnn(c3)c4nccc5C(=O)NC=Nc45)CC2,CHEMBL3775894,7.77,pIC50
Oc1cc(cc2cccnc12)c3cccc(c3)C(=O)NCCCc4ccccc4,CHEMBL3785491,8.0,pIC50
