SMILES,ChEMBL,target,metric
CC(C)Cn1nc(Nc2cnccc2C(=O)NC#N)c3cc(F)ccc13,CHEMBL3787438,6.0,pIC50
CC(C)c1ccc(OC2=Nc3cnccc3C(=O)N2)cn1,CHEMBL3769511,6.0,pIC50
CCOC1=Nc2cnccc2C(=O)N1,CHEMBL3770515,6.0,pIC50
CCc1c(C)nc2c(cnn2c1OC)C#N,CHEMBL3786528,6.0,pIC50
CN(C)CCCCCCCCC(=O)N(O)CCC(=O)O,CHEMBL1229308,6.0,pIC50
COc1ccc(cc1)c2c(ncn2C)c3cc(ccn3)C(=O)O,CHEMBL3786803,6.0,pIC50
Cl.CN(C)CCCCCCCCC(=O)N(O)CCC(=O)O,CHEMBL1215519,6.0,pIC50
Clc1ccc(N\N=C(/c2ccccc2)\c3ccccn3)nc1,CHEMBL1982368,6.0,pIC50
OCCc1cnn(c1OCc2ccc(F)cc2)c3cc(ccn3)C(=O)O,CHEMBL3786579,6.0,pIC50
CCSC1=Nc2cnccc2C(=O)N1,CHEMBL3770812,6.1,pIC50
Cn1nccc1CNc2ccc(O)c(c2)c3cc(ccn3)C(=O)O,CHEMBL3774573,6.11,pIC50
COCC(=O)Nc1ccc(O)c(c1)c2cc(ccn2)C(=O)O,CHEMBL3775380,6.17,pKi
CC(Nc1cnccc1C(=O)O)c2ccccc2,CHEMBL3775110,6.2,pIC50
COc1cccc(Cn2cc(OC3=Nc4cnccc4C(=O)N3)cn2)c1,CHEMBL3769669,6.2,pIC50
Cc1ccc(C)c(CNc2cnccc2C(=O)O)c1,CHEMBL3774487,6.2,pIC50
Nc1cnccc1C(=O)O,CHEMBL1383671,6.2,pIC50
O=C1NC(=Nc2cnccc12)Oc3ccccc3,CHEMBL3771289,6.2,pIC50
O=C1NC(=Nc2cnccc12)Oc3cnn(CC4CCCCC4)c3,CHEMBL3771198,6.2,pIC50
O=C1NC(=Nc2cnccc12)Oc3cnn(Cc4cccnc4)c3,CHEMBL3770030,6.2,pIC50
O=C1NC(=Nc2cnccc12)Oc3cnn(c3)C4CCCC4,CHEMBL3769724,6.2,pIC50
OC(=O)c1ccc(O)c2ncccc12,CHEMBL1230640,6.2,pIC50
OC(=O)c1ccnc(c1)C(=O)O,CHEMBL316034,6.21,pIC50
