SMILES,ChEMBL,target,metric
CC(C)c1ccc(OC2=Nc3cnccc3C(=O)N2)cn1,CHEMBL3769511,6.2,pIC50
O=C1NC(=Nc2cnccc12)Oc3cnn(c3)C4CCCC4,CHEMBL3769724,6.3,pIC50
O=C1NC(=Nc2cnccc12)Oc3cnn(CC4CCCCC4)c3,CHEMBL3771198,6.4,pIC50
O=C1NC(=Nc2cnccc12)Oc3cnn(Cc4ccccc4)c3,CHEMBL3771180,6.4,pIC50
OC(=O)c1ccncc1NC(=O)CCc2ccccc2,CHEMBL3775245,6.4,pIC50
Oc1cc(OC2=Nc3cnccc3C(=O)N2)ccc1Cl,CHEMBL3770740,6.5,pIC50
OC(=O)c1ccncc1NC(=O)CCCc2ccccc2,CHEMBL3774845,6.6,pIC50
OC(=O)c1ccncc1NC(=O)Cc2ccccc2,CHEMBL3775431,6.7,pIC50
Cc1ccsc1CNc2cnccc2C(=O)O,CHEMBL3775889,7.0,pIC50
OC(=O)c1ccncc1NCc2occc2,CHEMBL3775237,7.0,pIC50
OC(=O)c1ccncc1NCc2ccccc2,CHEMBL3775612,7.2,pIC50
