SMILES,ChEMBL,target,metric
COc1cc(COc2cc3nccc(C(=O)O)c3[nH]2)ccc1Cl,CHEMBL3786108,6.0,pIC50
COc1ccc(cc1)c2c(ncn2C)c3cc(ccn3)C(=O)O,CHEMBL3786803,6.0,pIC50
Cn1cnc(c2cc(ccn2)C(=O)O)c1c3ccc(OCC4CC4)cc3,CHEMBL3787664,6.0,pIC50
O=C1C2=C(CCCC2)Nc3c(cnn13)C#N,CHEMBL3786862,6.0,pIC50
OC(=O)c1ccnc(c1)C(=O)O,CHEMBL316034,6.12,pIC50
CC(C)Cn1cc(cn1)C2=C(C(C)C)C(=O)n3ncc(C#N)c3N2,CHEMBL3785443,6.28,pEC50
Clc1ccc(N\N=C(/c2ccccc2)\c3ccccn3)nc1,CHEMBL1982368,6.6,pIC50
NNc1nccc(n1)C(=O)O,CHEMBL3793278,6.66,pIC50
CC(C)C1=C(Nc2c(cnn2C1=O)C#N)c3cnn(c3)C(C)(C)C,CHEMBL3785583,6.75,pEC50
COC(=O)c1ccnc(c1)n2nccc2OCc3ccc(Cl)cc3,CHEMBL3786987,7.0,pIC50
Cn1cnc(c1)c2cc(ccn2)c3nnn[nH]3,CHEMBL3786225,7.0,pIC50
Cn1nc(Nc2cnccc2C(=O)O)c3cccnc13,CHEMBL3786617,7.0,pIC50
OC(=O)c1ccnc(c1)n2nccc2OCc3ccc(Cl)cc3,CHEMBL3785832,7.0,pIC50
OC(=O)c1ccnc2cc(OCc3ccc(Cl)c(OC(F)(F)F)c3)[nH]c12,CHEMBL3785421,7.0,pIC50
OC(=O)c1ccnc2cc(OCc3ccc(Cl)c(OCC4CC4)c3)[nH]c12,CHEMBL3787548,7.0,pIC50
OC(=O)c1ccncc1NCC23CC4CC(CC(C4)C2)C3,CHEMBL3786596,7.0,pIC50
OC(=O)c1ccncc1Nc2nn(C3CCCC3)c4ccc(F)cc24,CHEMBL3785470,7.0,pIC50
CCC1=C(C)Nc2c(cnn2C1=O)c3cnn(c3)c4cc(CO)ccn4,CHEMBL3786038,8.64,pIC50
