SMILES,ChEMBL,target,metric
CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,CHEMBL364797,7.08,pEC50
CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,CHEMBL117021,8.09,pEC50
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=S)(O)O)OC,CHEMBL153043,8.31,pEC50
CCCCCCCCCCCCCCCCCCOC[C@H](COP(=S)(O)O)OC,CHEMBL2335048,8.31,pEC50
[Na+].CCCCCCCCCCCCCCCCCOC(COC)COP(=S)(O)[O-],CHEMBL2335050,8.35,pEC50
CCCCCCCCCCCCCCCCCCOCC(COP(=S)(O)O)OC,CHEMBL2335052,8.42,pEC50
[Na+].CCCCCCCCCCCCCCCCOC(COC)COP(=S)(O)[O-],CHEMBL2335049,8.42,pEC50
CCCCCCCCCCCCCCCCCCOC[C@@H](COP(=S)(O)O)OC,CHEMBL2335047,8.46,pEC50
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)S)OC,CHEMBL2017139,8.48,pEC50
CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(=S)(O)O)OC,CHEMBL357053,8.57,pEC50
[Na+].CCCCCCCCCCCCCCCCCC(=O)OC(COC)COP(=S)(O)[O-],CHEMBL2335051,8.61,pEC50
