SMILES,ChEMBL,target,metric
CC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)NCCCN(C)C)c(C)c23,CHEMBL3640011,7.54,pIC50
CC(Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NCCO)c(C)c23)C(=O)NCCN,CHEMBL3702315,7.54,pIC50
CCOc1cc(ccc1Nc2ncnc3sc(C(=O)N)c(C)c23)C(=O)N,CHEMBL3659484,7.55,pIC50
CN(C)CCCNC(=O)c1sc2ncnc(Nc3ccc(F)cc3OC4CCOCC4)c2c1C,CHEMBL3659486,7.57,pIC50
CNC(=O)CNC(=O)c1sc2ncnc(Nc3cccnc3OC(C)C)c2c1C,CHEMBL3702284,7.57,pIC50
Cc1c(sc2ncnc(Nc3ccc(F)cc3OCCO)c12)C(=O)N,CHEMBL3702347,7.57,pIC50
CC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)NCC#N)c(C)c23,CHEMBL3702295,7.59,pIC50
CCNC(=O)c1sc2ncnc(Nc3cccnc3OC(C)C)c2c1C,CHEMBL3702280,7.59,pIC50
CN(C)CCCNC(=O)c1sc2ncnc(Nc3ccc(F)cc3OCCC(F)(F)F)c2c1C,CHEMBL3702353,7.59,pIC50
COCC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)N)c(C)c23,CHEMBL3702258,7.59,pIC50
COCC(CF)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NCCO)c(C)c23,CHEMBL3702339,7.59,pIC50
CC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)NCC4CNCCO4)c(C)c23,CHEMBL3702282,7.6,pIC50
CC(CC(C)(C)O)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)O)c(C)c23,CHEMBL3698944,7.6,pIC50
CC(CC(F)(F)F)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NC4CCN(C)CC4)c(C)c23,CHEMBL3702355,7.6,pIC50
CN(C)CC#CCNC(=O)c1sc2ncnc(Nc3ccc(cc3OC(CF)CF)C#N)c2c1C,CHEMBL3702308,7.6,pIC50
COCC(C)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NCCO)c(C)c23,CHEMBL3702351,7.6,pIC50
COCC(CF)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NCCCN(C)C)c(C)c23,CHEMBL3702340,7.6,pIC50
CC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)NCc4cn(C)cn4)c(C)c23,CHEMBL3702292,7.62,pIC50
CC(CCNS(=O)(=O)C)Oc1ncccc1Nc2ncnc3sc(C(=O)O)c(C)c23,CHEMBL3702300,7.62,pIC50
CC(Oc1ncccc1Nc2ncnc3sc(C(=O)NCC#CCN(C)C)c(C)c23)C(F)(F)F,CHEMBL3698951,7.62,pIC50
CN(C)CCCNC(=O)c1sc2ncnc(Nc3ccc(F)cc3OCC(F)F)c2c1C,CHEMBL3702335,7.64,pIC50
CNC(=O)c1sc2ncnc(Nc3ccc(F)cc3OC(C)CN)c2c1C,CHEMBL3698915,7.64,pIC50
COCC(CF)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)O)c(C)c23,CHEMBL3702321,7.64,pIC50
CC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)NCC#CCN(C)C)c(C)c23,CHEMBL3702293,7.66,pIC50
CCN1CCN(Cc2ccc(NC(=O)Cc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,CHEMBL3805074,7.66,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.66,pKd
CC(CCNS(=O)(=O)C)Oc1ncccc1Nc2ncnc3sc(C(=O)N)c(C)c23,CHEMBL3702301,7.7,pIC50
CC(Oc1ncccc1Nc2ncnc3sc(C(=O)NCCO)c(C)c23)C(F)(F)F,CHEMBL3698952,7.7,pIC50
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,CHEMBL574738,7.7,pIC50
CCNC(=O)C(C)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NCCCN(C)C)c(C)c23,CHEMBL3702271,7.7,pIC50
CN(C)C(=O)c1cccc(c1)c2cnc(N)c(n2)c3nc4cccc(N5CCNCC5)c4[nH]3,CHEMBL3798066,7.7,pIC50
Cc1c(sc2ncnc(Nc3cccnc3OCC(F)F)c12)C(=O)O,CHEMBL3702263,7.7,pIC50
CC(C)Oc1ncccc1Nc2ncnc3sc(C(=O)NCc4ocnc4)c(C)c23,CHEMBL3702285,7.72,pIC50
CCNC(=O)C(C)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)O)c(C)c23,CHEMBL3702268,7.72,pIC50
Cc1c(sc2ncnc(Nc3ccc(F)cc3OCC4(CC#N)CC4)c12)C(=O)O,CHEMBL3702318,7.72,pIC50
Cc1c(sc2ncnc(Nc3ccc(F)cc3OCC4CC4(F)F)c12)C(=O)NCCO,CHEMBL3702336,7.72,pIC50
CC(CNS(=O)(=O)C)Oc1cc(F)ccc1Nc2ncnc3sc(C(=O)NCCCN(C)C)c(C)c23,CHEMBL3698918,7.75,pIC50
CCNC(=O)c1sc2ncnc(Nc3ccc(F)cc3OC(C)C)c2c1C,CHEMBL3632745,7.75,pKi
