SMILES,ChEMBL,target,metric
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,sunitinib,8.7,pKd
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1,pazopanib,8.1,pKd
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3C)c2cc1OC,CHEMBL481407,7.54,pIC50
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,sorafenib,7.55,pKd
CO[C@@H]1CC[C@H](CC1)N2C(=O)CNc3ncc(nc23)c4ccc(nc4)C(C)(C)O,CHEMBL3586404,7.55,pIC50
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(cc5)C(F)(F)C(F)(F)F,CHEMBL3673489,7.55,pIC50
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(F)c3)c2cc1OC,CHEMBL479846,7.55,pIC50
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)c5oc(nn5)C6CCCNC6)cc2OC)cn1,CHEMBL3673444,7.55,pIC50
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)C5CCOCC5)cc2OC)cn1,CHEMBL3673446,7.57,pIC50
COc1ccc(c2ccc(NC(=O)Nc3cc(C)ccc3F)cc2)c4c(N)noc14,CHEMBL270084,7.57,pIC50
COc1cc2ncc(C(=O)N)c(Nc3cccc(F)c3F)c2cc1OC,CHEMBL482192,7.59,pIC50
CN(c1ccc(NC(=O)c2oc(cc2)C#N)c(c1)N3CCCCC3)S(=O)(=O)C,CHEMBL400259,7.6,pIC50
COc1cc(Cn2cnc3cc(cnc23)C#CCCO)ccc1OCc4ccc(nc4)C(F)F,CHEMBL3678302,7.6,pIC50
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1OC,CHEMBL479847,7.6,pIC50
COc1ccc(cc1)c2ccc3c(Nc4ccccc4)c(cnc3c2)C(=O)N,CHEMBL251174,7.6,pIC50
CS(=O)(=O)Cc1cccc(c1)c2ccc3c(Nc4ccccc4)c(cnc3c2)C(=O)N,CHEMBL249139,7.6,pIC50
Fc1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3,CHEMBL512385,7.6,pIC50
OCc1ccc(N2CCCCC2)c(NC(=O)c3oc(cc3)C#N)c1,CHEMBL399542,7.6,pIC50
CC1CCN(CC1)c2ccc(CO)cc2NC(=O)c3oc(cc3)C#N,CHEMBL400754,7.62,pIC50
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)c(cnc2cc1N4CCN(C)CC4)C(=O)N,CHEMBL519924,7.62,pIC50
COc1cc2c(Nc3ccc(F)cc3F)c(cnc2cc1NCCN(C)C)C(=O)N,CHEMBL479447,7.64,pIC50
COc1cc2c(Nc3cccc(Cl)c3Cl)c(cnc2cc1N4CCN(C)CC4)C(=O)N,CHEMBL480617,7.64,pIC50
Nc1ccc(cc1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4,CHEMBL1172530,7.64,pIC50
O=C(Nc1ccc(cc1C2=CCCCC2)c3nnn[nH]3)c4nc(c[nH]4)C#N,CHEMBL3086169,7.64,pIC50
CC(C)Nc1c(nnc2cc(ccc12)N3CCOCC3)C(=O)N,CHEMBL2333120,7.66,pIC50
COc1cc(ccc1O)c2cncc(NC(C)c3cccc(NC(=O)c4cccnc4)c3)n2,CHEMBL473487,7.66,pIC50
COc1cc2ncc(C(=O)N)c(Nc3cc(Cl)cc(Cl)c3)c2cc1OC,CHEMBL479267,7.66,pIC50
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCCCC4,CHEMBL518760,7.66,pIC50
COc1cc2ncc(C(=O)N)c(Nc3ccccc3Cl)c2cc1OC,CHEMBL450208,7.66,pIC50
NC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(CN6CCOCC6)cc5)ncc4C1=O,CHEMBL256406,7.66,pIC50
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(CC3)c4ccccn4)c5nc(c[nH]5)C#N,CHEMBL2158222,7.66,pIC50
CCOc1ccc(NC(=O)c2oc(cc2)C#N)c(c1)N3CCCCC3,CHEMBL253884,7.68,pIC50
CN(C)Cc1ccc(Nc2ncc3C(=O)C(=CN(c4ccc5CCCc5c4)c3n2)C(=O)N)cc1,CHEMBL256405,7.68,pIC50
CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,axitinib,7.68,pKd
COCCOc1ccn2c(cnc2c1)c3ccc4cccc(O[C@H]5CCCNC5)c4n3,CHEMBL3109344,7.68,pIC50
CCn1cc(NC(=O)Cc2ncc(Oc3ccnc4cc(OC)ccc34)cc2OC)cn1,CHEMBL2023495,7.7,pIC50
CN(C)S(=O)(=O)c1ccc(cc1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4,CHEMBL1172529,7.7,pIC50
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1CC(=O)Nc4noc(C)c4C,CHEMBL2023477,7.7,pIC50
COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)Nc5ccc(Cl)cc5)c2cc1OC,CHEMBL429743,7.7,pIC50
COc1cc2ncnc(Oc3cnn(CC(=O)Nc4ccc(cn4)N(C)C)c3)c2cc1OC,CHEMBL1940107,7.7,pIC50
CC(C)(Nc1ccccn1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4,CHEMBL3085827,7.72,pIC50
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1,imatinib,7.72,pKd
COc1cc(ccc1OCc2ccc(cc2)C(F)(F)F)[C@H](C)n3c(N)nc4cc(cnc34)c5cnn(C)c5,CHEMBL3678297,7.72,pIC50
COc1cc(ccc1OCc2ccc(nc2)C(F)(F)F)C(C)n3c(N)nc4cc(cnc34)c5cnn(C)c5,CHEMBL3678300,7.72,pIC50
OCC(O)COCc1ccc(N2CCCCC2)c(NC(=O)c3oc(cc3)C#N)c1,CHEMBL398360,7.72,pIC50
CSc1ccn2c(cnc2c1)C(=O)Nc3cccc4c3c(nn4Cc5cccc(C)n5)C6CC6,CHEMBL3644248,7.73,pIC50
CN1CCN(CC1)c2ccc(NC(=O)c3oc(cc3)C#N)c(c2)C4=CCCCC4,CHEMBL265432,7.75,pIC50
COCCN(C)CCOc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,CHEMBL481222,7.75,pIC50
COc1cc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)ccc1OCc5ccc(SC(F)(F)F)cc5,CHEMBL3678284,7.75,pIC50
COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)cc3F)c2cc1OC,CHEMBL479845,7.75,pIC50
COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3)c2cc1OC,CHEMBL517544,7.75,pIC50
Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1,CHEMBL101253,7.75,pKd
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN4CCCC4)C(=O)N,CHEMBL521422,7.77,pIC50
COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCNC4CC4)C(=O)N,CHEMBL521255,7.77,pIC50
C[C@@H](Nc1c(nnc2cc(ccc12)c3ccc(cc3)S(=O)(=O)C)C(=O)N)C4CC4,CHEMBL2333128,7.77,pIC50
O=C(Nc1cc(ccc1N2CCCCC2)N3CCCCC3)c4oc(cc4)C#N,CHEMBL249957,7.77,pIC50
O=C(Nc1ccc(cc1N2CCCCC2)N3CCCCC3)c4oc(cc4)C#N,CHEMBL398238,7.77,pIC50
Oc1ccc(N2CCCCC2)c(NC(=O)c3oc(cc3)C#N)c1,CHEMBL249747,7.77,pIC50
CC1CCN(CC1)c2cc(ccc2NC(=O)c3oc(cc3)C#N)C#CCN(C)S(=O)(=O)C,CHEMBL430214,7.8,pIC50
CN(C)c1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3,CHEMBL516813,7.8,pIC50
COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,CHEMBL482000,7.8,pIC50
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCN(C)CC5)cc2OC)cn1,CHEMBL3673454,7.8,pIC50
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCN(CC5)C6CC6)cc2OC)cn1,CHEMBL3673457,7.8,pIC50
CS(=O)(=O)c1ccc(cc1)c2ccc3c(Nc4ccccc4)c(cnc3c2)C(=O)N,CHEMBL250364,7.8,pIC50
FC(F)(F)c1cccc(c1)C(=O)Nc2ccc(Cl)c(c2)C(=O)Nc3cccnc3,CHEMBL510386,7.8,pIC50
NC(=O)c1cnc2cc(ccc2c1Nc3ccccc3)c4ccc(Br)cc4,CHEMBL399441,7.8,pIC50
