SMILES,ChEMBL,target,metric
CC(C)C(=O)Nc1noc(C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL380764,6.0,pIC50
CCCCN(C(=O)C(C)C)c1ncc(s1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL212381,6.01,pIC50
CCOC(=O)c1noc(C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL382503,6.02,pIC50
CN(CCc1ccccc1)C(=O)c2ccc(cc2)C(=O)C(F)(F)F,CHEMBL245829,6.02,pIC50
CCCC(=O)c1noc(C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL373070,6.03,pIC50
CN(C(=O)COc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL203290,6.03,pIC50
CC(C)CNC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211319,6.1,pIC50
CCN(C(=O)C(C)C)c1ncc(s1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL378457,6.1,pIC50
CN(C(=O)CCc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL427589,6.11,pIC50
CC(C)C(=O)Nc1onc(c2ccccc2)c1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL383490,6.14,pIC50
CC(C)C(=O)N(Cc1ccccc1)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL378975,6.16,pIC50
CC(C)CN(C)C(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211541,6.17,pIC50
CCCCCCNC(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL449355,6.17,pIC50
CCCCc1noc(N)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL203588,6.17,pIC50
CCc1noc(N)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL204498,6.17,pIC50
FC(F)(F)C(=O)c1ccc(cc1)C(=O)NCc2cc(cc(c2)C(F)(F)F)C(F)(F)F,CHEMBL245625,6.18,pIC50
Nc1onc(CCCO)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202654,6.19,pIC50
CC(C)C(=O)N(CC(=O)O)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL203444,6.2,pIC50
CCOCc1noc(N)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202022,6.2,pIC50
Cc1ccc(Sc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL1258593,6.22,pIC50
OC(c1ccc(cc1)N(Cc2ccccc2)C(=O)CCc3ccccc3)(C(F)(F)F)C(F)(F)F,CHEMBL206570,6.24,pIC50
FC(F)(F)C(=O)c1ccc(cc1)C(=O)NCCc2ccccc2,CHEMBL397381,6.25,pIC50
CCCCN(C(=O)CCC)c1ncc(s1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211056,6.28,pIC50
FC(F)(F)C(=O)c1ccc(cc1)C(=O)NCc2cccc(c2)C(F)(F)F,CHEMBL437954,6.3,pIC50
CC(C)(C)CCNC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL377830,6.31,pIC50
CC(C)c1noc(N)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL377926,6.33,pIC50
CCC(C)c1ncc(C(O)c2ccccc2)n1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL264476,6.33,pIC50
CCOC(=O)CCNC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL379846,6.33,pIC50
OC(c1cnc(Oc2ccccc2)s1)(C(F)(F)F)C(F)(F)F,CHEMBL1258594,6.35,pIC50
CC(C)C(=O)N(Cc1ccc(Cl)c(Cl)c1)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL209976,6.36,pIC50
CCC(C(=O)Nc1onc(C(C)C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)c3ccccc3,CHEMBL201996,6.38,pIC50
CCOC(=O)CCCNC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL210137,6.38,pIC50
Cc1onc(C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202488,6.39,pIC50
CCN(CC(C)(C)O)C(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL246034,6.4,pIC50
CN(C(=O)c1ccncc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL380364,6.4,pIC50
CC(C)c1noc(NC(=O)c2ccc(cc2)C#N)c1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202168,6.41,pIC50
Cc1onc(NC(=O)c2ccncc2)c1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL383009,6.41,pIC50
OC(=O)CN(C(=O)CCc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL206201,6.43,pIC50
CC(C)C(=O)N(Cc1nccn1C)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL210650,6.45,pIC50
COc1ccc(CN(C(=O)C(C)C)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL378879,6.45,pIC50
CC(C)CO\N=C/1\CN=C(C(C)C)N1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL201244,6.46,pIC50
CC(C)CO\N=C\1/CN=C(C(C)C)N1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL255089,6.46,pIC50
CC(C)c1noc(NC(=O)c2ccncc2)c1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202019,6.47,pIC50
CCC(C)c1ncc(CNCCOC)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202543,6.47,pIC50
CN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL206341,6.49,pIC50
CCOC(=O)c1cn(c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)c(n1)C(C)CC,CHEMBL202205,6.5,pIC50
OC(c1cnc(s1)N2CCN(CC2)c3cccc(OC(F)(F)F)c3)(C(F)(F)F)C(F)(F)F,CHEMBL1257667,6.5,pIC50
CC1CCCCC1NC(=O)c2ccc(cc2)C(=O)C(F)(F)F,CHEMBL396690,6.52,pIC50
CCCCNCc1cnc(C(C)CC)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL201153,6.52,pIC50
CCN(CCC#N)C(=O)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL380487,6.54,pIC50
Cc1onc(\C=C\C#N)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL201855,6.54,pIC50
CC(C)c1ncc(CO)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL370815,6.56,pIC50
CCCCCCCCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL204248,6.57,pIC50
CC(C)C(=O)Nc1onc(c2ccncc2)c1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202467,6.6,pIC50
OC(=O)CCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL203516,6.61,pIC50
CC(C)CC(C)NC(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL246029,6.62,pIC50
CC(C)c1ncc(CCC(=O)O)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL378578,6.62,pIC50
OC(c1cnc(s1)N2CCN(CC2)c3cccc(c3)C(F)(F)F)(C(F)(F)F)C(F)(F)F,CHEMBL1257666,6.62,pIC50
CC(C)CN(CC(C)C)C(=O)c1ccc([n+]([O-])c1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211217,6.63,pIC50
CC(C)c1ncc(CC(C)C(=O)O)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202333,6.65,pIC50
CCN(CCC#N)C(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL246033,6.67,pIC50
CC(C)C1N=C\C(=N\Oc2ccccc2)\N1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL252776,6.68,pIC50
CC(C)N(C(=O)CCc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL204767,6.7,pIC50
CCCCC(CC)C(=O)Nc1onc(C(C)C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202276,6.7,pIC50
CCOC(=O)c1cn(c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)c(n1)c3ccncc3,CHEMBL370601,6.72,pIC50
Nc1onc(c2ccncc2)c1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202404,6.72,pIC50
CC(C)C(=O)N(Cc1ccccn1)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL379061,6.73,pIC50
CC(C)C(=O)N(C)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL206808,6.75,pIC50
CCCCN(C(=O)C)c1ncc(s1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL377742,6.75,pIC50
CCN(C(=O)CCc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL205016,6.76,pIC50
CC(C)c1ncc(COCCCCCC#N)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202772,6.77,pIC50
C[C@H](CC(=O)OC(C)(C)C)NC(=O)C1=NO[C@@H](C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL209829,6.78,pIC50
OCCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL204273,6.78,pIC50
CCC(C)c1ncc(CCC(=O)O)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL203691,6.79,pIC50
CC(C)c1ncc(COCCCCCc2nnn[nH]2)n1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL402264,6.81,pIC50
FC(F)(F)C(=O)c1ccc(cc1)C(=O)N(CCC#N)c2ccccc2,CHEMBL245830,6.81,pIC50
CC(C)C1N=C\C(=N\O)\N1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL254034,6.82,pIC50
CCCN(CCC)C(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL247256,6.82,pIC50
OC(c1ccc(cc1)N(C2CCCCC2)C(=O)CCc3ccccc3)(C(F)(F)F)C(F)(F)F,CHEMBL381266,6.82,pIC50
CC(C)C(=O)N(Cc1ccc(Cl)cc1)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL212691,6.83,pIC50
CCC(C)c1ncc(C(C)O)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202008,6.83,pIC50
CC(C)c1ncc(\C=C\C#N)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL381423,6.85,pIC50
CCCCC(=O)Nc1onc(C(C)C)c1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL201995,6.85,pIC50
CC(C)CN(CC(C)C)C(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211594,6.86,pIC50
C[C@@H](CC(=O)OC(C)(C)C)NC(=O)C1=NO[C@@H](C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL386147,6.87,pIC50
CCCN(CC1CC1)C(=O)c2ccc(nc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211238,6.93,pIC50
CCO\N=C/1\C=NC(C(C)C)N1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL399897,6.93,pIC50
CC(C)c1ncc(COCCCCc2nnn[nH]2)n1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202016,6.94,pIC50
CCCCCC(C)NC(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL245824,6.94,pIC50
OCc1cnc(c2ccncc2)n1c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL383613,6.94,pIC50
CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NC(=O)C2=NOC(C2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL210509,6.95,pIC50
CCCCN(C(=O)c1ccncc1)c2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL441535,6.95,pIC50
OC(c1cnc(s1)N2CCN(CC2)c3ccc(cc3)C(F)(F)F)(C(F)(F)F)C(F)(F)F,CHEMBL1257789,6.96,pIC50
CC(C)c1ncc(COCCCCC#N)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL440043,6.97,pIC50
CC(C)C(=O)N(CCO)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL204109,6.98,pIC50
COC(=O)CN(C(=O)CCc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL381580,6.98,pIC50
COC(=O)CCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL203871,7.0,pIC50
CCN(C(=O)c1ccncc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL382794,7.02,pIC50
Cc1ccc(Sc2ncc(s2)C(O)(C(F)(F)F)C(F)(F)F)cc1,CHEMBL1258592,7.04,pIC50
CCC(C)c1ncc(\C=C\C(=O)OC)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL370451,7.06,pIC50
OC(c1ccc(cn1)N(CC2CCOC2)C(=S)N3CCOCC3)(C(F)(F)F)C(F)(F)F,CHEMBL210925,7.08,pIC50
CC(C)CN(CCOC(=O)c1cccc(c1)[N+](=O)[O-])C(=O)c2ccc(cc2)C(=O)C(F)(F)F,CHEMBL392724,7.1,pIC50
CCCCN(C(=O)CCc1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL204960,7.1,pIC50
COC(=O)CN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL378375,7.1,pIC50
OC(c1cnc(s1)N2CCN(CC2)c3cccc(Cl)c3)(C(F)(F)F)C(F)(F)F,CHEMBL1258017,7.1,pIC50
COC(=O)CCCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL382246,7.12,pIC50
COc1ccc(cc1)N2CCN(CC2)c3ncc(s3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL1257906,7.12,pIC50
CCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL205931,7.13,pIC50
CC(C)CN(CC(C)C)C(=O)c1ccc(cc1)C(=O)C(F)(F)F,CHEMBL396148,7.14,pIC50
CCCCCCCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL205719,7.14,pIC50
CC(C)CN(CC(C)C)C(=O)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL205986,7.15,pIC50
CCCN(CC1CC1)C(=O)c2ccc(cc2)C(=O)C(F)(F)F,CHEMBL247462,7.17,pIC50
COC(=O)CCc1cnc(C(C)C)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL202161,7.19,pIC50
CCCCCC(C)NC(=O)C1=NOC(C1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL211992,7.22,pIC50
CCN(CCCCO)C(=O)N(CC)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL205462,7.22,pIC50
CCC(C)c1ncc(C(O)C(C)C)n1c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL370452,7.23,pIC50
