SMILES,ChEMBL,target,metric
CC(=O)N1CCc2ccc(OCCCN3CCC(CC3)c4ccc(Cl)cc4)cc2CC1,CHEMBL1914860,7.0,pIC50
CC(CNCC1CCCC1)Oc2cccc3ccc(N)nc23,CHEMBL369116,7.0,pIC50
CC(CNCc1ccccc1)Oc2cccc3ccc(N)nc23,CHEMBL184087,7.0,pIC50
CCc1c(NC(=O)c2ccc(cc2)c3ccc(F)cc3)ccc4cc(CN5CCCC5)cnc14,CHEMBL2031729,7.0,pIC50
COc1cc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)ccc1OCCN4CCCC4,CHEMBL246790,7.0,pKi
COc1cc(ccc1OCCN(C(C)C)C(C)C)N(C)C(=O)c2ccc(cc2)C3CCCCC3,CHEMBL213198,7.0,pKi
COc1ccc(C2=CC(=O)N(C=C2)c3ccc4c(cnn4CCN5CCCC5)c3)c(F)c1,CHEMBL1290379,7.0,pKi
COc1ccc(NCc2c[nH]cn2)c(c1)C(=O)NC3CCN(Cc4ccc5ncccc5c4)CC3,CHEMBL373235,7.0,pIC50
COc1ccc(NCc2cncn2C)c(c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,CHEMBL365734,7.0,pIC50
COc1ccc(Sc2ccc3CN(C(=O)c3n2)c4ccc(OCCN5CCCC5)c(OC)c4)cc1,CHEMBL2337728,7.0,pIC50
COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CCc4nc5ccc(Cl)cc5[nH]4,CHEMBL1760243,7.0,pIC50
COc1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)COc4cccc(Cl)c4)c2,CHEMBL472195,7.0,pIC50
COc1ccc2cc(CN3CCC(CC3)NC(=O)c4cc(OC)cc(OC)c4)ccc2c1,CHEMBL387065,7.0,pKi
COc1cccc(c1)N2C(=O)N(C3CC3)C4(CCN(Cc5ccc(cc5)c6cccc(c6)C#N)CC4)C2=O,CHEMBL427107,7.0,pKi
C[C@@H](NC(=O)c1ccc(CC2CCN(Cc3ccc4OCOc4c3)CC2)cc1)c5ccc(Br)cc5,CHEMBL550545,7.0,pKi
C[C@@H]1CN(CCN1)c2cc(C)c3cc(NC(=O)COc4ccc(OC(F)(F)F)cc4)ccc3n2,CHEMBL204801,7.0,pIC50
C[C@@H]1CN(C[C@H](C)N1)c2cc(C)c3cc(NC(=O)\C=C\c4ccc(OC(F)(F)F)cc4)ccc3n2,CHEMBL195250,7.0,pIC50
Cc1ccc(CN2CCC(CC2)Nc3[nH]nc4ccc(Cl)cc34)cc1C,CHEMBL197283,7.0,pIC50
Cc1nc(nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12)N4CCC(O)(CC4)C5CC5,CHEMBL2016780,7.0,pIC50
Cc1nn(C)c2ccc(cc12)N3C=CC(=CC3=O)OCc4ccc(Cl)cc4,CHEMBL3794501,7.0,pIC50
Cn1c(nc2ccc(cc12)N3C=CC(=CC3=O)OCc4cccc(Cl)c4)C5CC5,CHEMBL3792529,7.0,pIC50
Cn1c2CC3CCC(N3)c2c4ccc(nc14)N5CCN(CCc6ccc(Cl)cc6)CC5=O,CHEMBL3640816,7.0,pKi
Cn1c2CCCNC(=O)c2c3ccc(cc13)N4C=CC(=CC4=O)OCc5ccccc5,CHEMBL3665345,7.0,pKi
FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)N4CC(C4)N5CCS(=O)(=O)CC5)c2,CHEMBL555135,7.0,pIC50
Fc1cc(F)c2OC(=CC(=O)c2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,CHEMBL441542,7.0,pIC50
