SMILES,ChEMBL,target,metric
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,afamelanotide,8.65,pKi
[H]N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N1CCC[C@H]1C(O)=O,tetracosactide,9.19,pEC50
CC(=O)N[C@H]1CCC(=O)NCCC[C@H](N(CCCCN=C(N)N)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc3c[nH]cn3)NC1=O)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N,CHEMBL437899,7.0,pIC50
CC(C)CC1(CCN(CC1)C(=O)C(C)C)N2CCN(CC2)C(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)CC4NCc5ccccc45.OC(=O)C(F)(F)F,CHEMBL209417,7.0,pKi
CC(C)N1CCN(CC1)C(CN2CCN(CCCc3ccccc3c4ccc(cc4)C(C)(C)C)CC2)c5ccc(F)cc5,CHEMBL226391,7.0,pIC50
CC(C)[C@H](N)c1cc(C)ccc1N2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(Cl)cc4)C(=O)CCCc5ccccc5,CHEMBL396868,7.0,pKi
CCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc2ccc(OCC)cc2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)NCC(=O)N,CHEMBL2112918,7.0,pIC50
CCCC[C@@H](NC(=O)C)C(=O)N[C@H]1CC(=O)NCCCC[C@H](N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)[C@H](Cc6cnc[nH]6)N(C)C1=O)C(=O)N,CHEMBL3600916,7.0,pIC50
CCN(CC)CC(N1CCN(C)CC1)c2ccc(F)cc2F,CHEMBL197288,7.0,pKi
CC[C@H](NC(=O)C)c1cc(Cl)ccc1C2CCN(CC2)C(=O)[C@H]3CN(C[C@@H]3c4cc(F)c(F)cc4F)C(C)(C)C,CHEMBL257615,7.0,pIC50
