SMILES,ChEMBL,target,metric
[H][C@@]1(CNC(=O)CC)C[C@@]1([H])C1=C2CCOC2=CC=C1,tasimelteon,9.80000019,pKi
CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2,ramelteon,10.39,pKi
COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,agomelatine,10.0,pKi
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,melatonin,9.7,pEC50
COc1cc2CCN(C(CC(c3ccccc3)c4ccccc4)c2cc1OC)C(=O)C(F)(F)F,CHEMBL366115,7.0,pIC50
CCNC(=O)N[C@H]1CCN(C1)c2cccc3oc(CCCCc4ccccc4)cc23,CHEMBL359561,7.01,pKi
C[S+]([O-])c1ccc2cccc(CCNC(=O)C)c2c1,CHEMBL456646,7.01,pIC50
CC(=O)NCCCc1cn2CCCc3cccc1c23,CHEMBL241928,7.02,pKi
CCC1=C(C)C2=Cc3c(CCNC(=O)C)c4cc(OC)ccc4n3[B-](F)(F)[N+]2=C1C,CHEMBL3109562,7.02,pKi
O=C(NCCCc1cccc2oc(CCCCc3ccccc3)cc12)C4CC4,CHEMBL183846,7.02,pKi
CCNC(=O)N1CCN(CC1)C2CCCc3ccc(OC)cc23,CHEMBL19503,7.03,pIC50
CN(CCNC(=O)C)c1cccc(OCCCCCCCCOc2cccc(c2)N(C)CCNC(=O)C)c1,CHEMBL1813322,7.03,pKi
CN(CCNC(=O)C)c1cccc(OCCCCc2ccccc2)c1,CHEMBL3260987,7.04,pKi
CC(=O)NCCC1Cc2ccccc2Cc3ccccc13,CHEMBL364835,7.05,pKi
CC(=O)NCCCc1cccc2nc(oc12)c3ccccc3,CHEMBL126005,7.05,pKi
CC(C)C(=O)NC[C@@H]1C[C@H]1c2cccc3O[C@H](CCCCc4ccccc4)Cc23,CHEMBL361854,7.05,pKi
CCNC(=O)NC[C@@H]1C[C@H]1c2c(Cl)ccc3O[C@H](CCCCc4ccccc4)Cc23,CHEMBL181457,7.05,pKi
CCNC(=O)NC[C@@H]1C[C@H]1c2cccc3oc(CCCCc4ccccc4)cc23,CHEMBL362097,7.05,pKi
COc1ccc2c(c1)c(cn2C)C3(CNC(=O)C)CC3,CHEMBL209711,7.05,pKi
COc1ccc2cccc(N3CCN(CC3)C(=O)C4CC4)c2c1,CHEMBL19442,7.05,pIC50
CC(=O)NCCc1c[nH]c2ccc(OCCCOc3ccccc3)cc12,CHEMBL3260986,7.06,pKi
CC(C)C(=O)NCCCc1cccc2nc(oc12)C(C)C,CHEMBL123973,7.06,pKi
CC(=O)NCC1=Cc2ccccc2Cc3ccccc13,CHEMBL365249,7.07,pKi
CC(=O)NCCc1cccc2ccc(OCCCCOc3ccc4[nH]cc(CCNC(=O)C)c4c3)cc12,CHEMBL1095522,7.07,pKi
CC(C)C(=O)N[C@@H]1CCN(C1)c2cccc3OCCc23,CHEMBL336024,7.07,pKi
CCCC(=O)NCC1(CCCC1)c2cn(C)c3ccc(OC)cc23,CHEMBL206419,7.07,pKi
CCOc1ccc2c(c1)c(CCNC(=O)C3CC3)c4c5ccccc5CCCn24,CHEMBL9935,7.07,pKi
COc1ccc(OC)c(c1)[C@@H]2C[C@H]2NC(=O)C,CHEMBL2314263,7.07,pKi
CC(C)C(=O)NCCCc1cccc2oc(CCCCc3ccccc3)cc12,CHEMBL187186,7.08,pKi
COc1cc2CCN(C=O)C(CCc3ccccc3)c2cc1OC,CHEMBL360641,7.08,pIC50
COc1cccc(Nc2ccc(NC(=O)C(C)C)cc2)c1,CHEMBL7874,7.08,pKi
CCCC(=O)NCCCc1cccc2oc(CCCCc3ccccc3)cc12,CHEMBL184990,7.09,pKi
COc1ccc2[nH]c(Cn3ccc4ccccc34)c(CCNC(=O)C5CCC5)c2c1,CHEMBL3219325,7.09,pKi
COc1ccc2[nH]cc(CC(=O)NCC#C)c2c1,CHEMBL3580907,7.09,pEC50
CC(=O)NCCc1c(Cc2ccccc2)oc3ccc(O)cc13,CHEMBL91813,7.1,pKi
CCCC(=O)N1CCc2cc(OC)c(OC)cc2C1CC(c3ccccc3)c4ccccc4,CHEMBL186451,7.1,pIC50
COc1cc2CCN(C(CCc3ccccc3)c2cc1OC)C(=O)C,CHEMBL187593,7.12,pIC50
COc1ccc2CCCC(N3CCN(CC3)C(=O)C4CC4)c2c1,CHEMBL275205,7.13,pIC50
CC(=O)NCCc1cccc2ccc(OCCCCOc3ccc4cccc(CCNC(=O)C)c4c3)cc12,CHEMBL14453,7.14,pKi
CCC(=O)NCCc1c(OCCI)ccc2ccc(OC)cc12,CHEMBL79224,7.14,pKi
COc1ccc(OCCCc2ccccc2)c(CCCNC(=O)C)c1,CHEMBL1091896,7.14,pKi
COc1ccc2c(c1)c(cn2C)C3(CNC(=O)C)CCC3,CHEMBL379413,7.14,pKi
COc1ccc2[nH]cc(Cc3oc(C)nn3)c2c1,CHEMBL3580915,7.15,pEC50
O=C(NCCCc1cn2CCCc3cccc1c23)C4CC4,CHEMBL242573,7.15,pKi
COc1cc(CCCNC(=O)C)ccc1OCc2ccccc2,CHEMBL1092647,7.16,pKi
CCCC(=O)NC[C@@H](C)Oc1cccc(OC)c1,CHEMBL1223194,7.17,pKi
COc1ccc2[nH]cc(CCc3ocnn3)c2c1,CHEMBL3580917,7.17,pKi
COc1cccc(OCCNC(=O)C)c1,CHEMBL396132,7.17,pKi
COc1ccc2c(c1)c(cn2C)C3(CNC(=O)C)CCCC3,CHEMBL379403,7.18,pKi
COc1ccc2[nH]c(C(=O)OCCCCCCCOC(=O)c3[nH]c4ccc(OC)cc4c3CCNC(=O)C)c(CCNC(=O)C)c2c1,CHEMBL226163,7.19,pKi
COc1ccc2c(c1)c(CCNC(=O)C)c3CN4C(Cc5ccccc45)Cn23,CHEMBL514413,7.19,pKi
COc1cccc(Nc2ccc(NC(=O)C3CC3)cc2)c1,CHEMBL7713,7.19,pKi
CCCC(=O)NCCc1c2c3ccccc3CCCn2c4ccccc14,CHEMBL9815,7.2,pKi
COc1ccc2[nH]c(CN(C)c3ccc(cc3)C(F)(F)F)c(CCNC(=O)C)c2c1,CHEMBL563847,7.2,pKi
