SMILES,ChEMBL,target,metric
O[C@@](C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4ccccc4,CHEMBL3124953,6.02,pKd
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5CCCCC5)NC1=O,CHEMBL2314571,6.06,pKi
Cc1nnc(s1)N2CCN(CC2)c3ncnc4sc(CC(F)(F)F)cc34,CHEMBL3612085,6.11,pIC50
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5cccc(c5)C(F)(F)F)NC1=O,CHEMBL2314576,6.14,pKi
CC1(C)CN=C(S1)N2CCN(CC2)c3ncnc4sc(cc34)C(F)(F)C(F)(F)F,CHEMBL3613790,6.17,pIC50
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC1=O,CHEMBL2315084,6.18,pIC50
CC(C)c1cc2c(ncnc2s1)N3CCN(CC3)C4=NCC(C)(C)S4,CHEMBL3696180,6.19,pIC50
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCCCCCCNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC1=O)NC(=O)C,CHEMBL2315085,6.23,pKi
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccc(Cl)cc5)NC1=O,CHEMBL2314574,6.26,pKi
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCCCNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC1=O)NC(=O)[C@H](Cc5c[nH]c6ccccc56)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C,CHEMBL2314831,6.29,pIC50
OC(C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4cc(F)cc(F)c4,CHEMBL3126189,6.36,pIC50
CCCc1cc2c(ncnc2s1)N3CCN(CC3)C4=NCC(C)(C)S4,CHEMBL3586089,6.37,pIC50
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccc(F)cc5)NC1=O,CHEMBL2314818,6.38,pIC50
OC(C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4ccccc4,CHEMBL3126185,6.41,pIC50
Cc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C4(CCC4)NC(=O)[C@@H]5CCCN5C2=O)c1,CHEMBL2314575,6.48,pKi
OC(C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4ccccn4,CHEMBL3126191,6.52,pIC50
O[C@](C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4ccccc4,CHEMBL3126187,6.55,pKd
CC1(C)CN=C(S1)N2CCN(CC2)c3ncnc4sc(CCF)cc34,CHEMBL3613788,6.59,pIC50
OC(C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4nccs4,CHEMBL3126192,6.62,pIC50
CC1(C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC1=O,CHEMBL2315087,6.65,pIC50
OC(C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4cccc(Cl)c4,CHEMBL3126190,6.65,pIC50
OC(C1CCN(CCCOc2ccc(cc2)C#N)CC1)(c3cccc(F)c3)c4ccccn4,CHEMBL3126193,6.65,pIC50
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccccc5)NC1=O,CHEMBL2314568,6.71,pIC50
OC(C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4cccc(F)c4,CHEMBL3126188,6.71,pIC50
O[C@@](C1CCCC1)(C2CCN(CCCOc3ccc(cc3)C#N)CC2)c4ccccn4,CHEMBL3126201,6.71,pIC50
N[C@H]1CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5cccc(Cl)c5)NC1=O,CHEMBL2314573,6.8,pIC50
NS(=O)(=O)c1ccc(OCCCN2CCC(CC2)C(O)(c3cccc(F)c3)c4ccccn4)cc1,CHEMBL3126200,6.83,pIC50
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CCCCCCCCCNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC1=O)NC(=O)[C@H](Cc5c[nH]c6ccccc56)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C,CHEMBL2314834,6.84,pIC50
NS(=O)(=O)c1ccc(OCCCN2CCC(CC2)C(O)(C3CCCC3)c4ccccn4)cc1,CHEMBL3126199,6.94,pIC50
