SMILES,ChEMBL,target,metric
CC(C)CCN1CCc2nc(C#Cc3ccccc3)sc2C1,CHEMBL2403674,7.0,pEC50
CC(C)N1CCc2nc(ccc2C1=O)C#Cc3cccc(Cl)c3,CHEMBL1779863,7.0,pKi
CC1CCCC(C1)C(=O)N2CCc3nc(C#Cc4ccccc4)sc3C2,CHEMBL2403698,7.0,pEC50
Cc1cc(ccn1)C#Cc2cn(c(C)n2)c3cccc(c3)S(=O)(=O)C,CHEMBL3410218,7.0,pIC50
Cc1cc(ncc1C2CC(F)CN2C(=O)c3cncs3)c4cccc(Cl)c4,CHEMBL1808899,7.0,pKi
Cc1cccc(c1)C(=O)N2CCc3nc(C#Cc4ccccc4)sc3C2,CHEMBL2403588,7.0,pEC50
Cc1csc(NC(=O)c2cc(Oc3cccnc3)ccn2)n1,CHEMBL3660217,7.0,pIC50
Clc1cccc(c1)C(=O)Nc2cncc(Oc3cccnc3)n2,CHEMBL3314809,7.0,pIC50
Clc1cccc(c1)C(=O)Nc2cncc(Oc3cncnc3)n2,CHEMBL3314811,7.0,pIC50
Fc1ccc(N2CCn3nc(COc4ccccc4)cc3C2=O)c(F)c1,CHEMBL3746540,7.0,pEC50
Fc1ccc(OCc2cc3C(=O)N(CCn3n2)c4ccc(F)cc4)cc1,CHEMBL3745812,7.0,pEC50
Fc1ccc(cc1)N2CCn3nc(COc4cccc(F)c4)cc3C2=O,CHEMBL3747118,7.0,pEC50
Fc1cccc(c1)c2noc(n2)C3CN(C3)C(=O)[C@@H]4CC5CCC4C5,CHEMBL2151639,7.0,pEC50
O=C1CN=C(C=C2N1CCc3c2cccc3c4cnccn4)n5cnc(c5)C6CC6,CHEMBL3702442,7.0,pIC50
Cc1cc(ccc1F)c2cn(CC(=O)N3CCN(CC3)c4ncc(F)cn4)c(n2)c5ccccc5,CHEMBL2431409,7.01,pEC50
Cc1cc(ccn1)C#Cc2cn(c(C)n2)c3ccc(F)cc3F,CHEMBL3410221,7.01,pIC50
Cc1cccc(c1)C(=O)Nc2cncc(Oc3cncnc3)n2,CHEMBL3314814,7.01,pIC50
Clc1cccc(c1)c2noc(n2)C3CN(C3)C(=O)[C@@H]4CC5CCC4C5,CHEMBL2151641,7.01,pEC50
CCCCN1CCc2cc(ccc2C1=O)C#Cc3ccccc3,CHEMBL1684103,7.02,pEC50
Cc1cccc(NC(=O)c2cc(c3ccccc3)n(C)n2)n1,CHEMBL2349532,7.02,pIC50
Cc1cccc(NC(=O)c2cccc3OC(=O)Nc23)n1,CHEMBL396691,7.02,pKi
Fc1ccc(cc1)N2CCc3nc(COc4ccccc4)sc3C2=O,CHEMBL2426603,7.02,pEC50
CC1CC(=O)c2cnc(Nc3ccc(C)cc3)nc2C1,CHEMBL2408565,7.03,pIC50
Cc1cc(NC(=O)c2nn(C)c(c2C)c3ccc(F)cc3)ccn1,CHEMBL2346718,7.03,pIC50
Fc1ccc2C3=CC(=NCC(=O)N3CCc2c1c4cnc(F)nc4)n5cnc(c5)C6CC6,CHEMBL3644414,7.03,pIC50
